Time,FLOW,TEMP,SALT
1970-01-01 00:00:00,17.740229,NA,0
1970-01-02 00:00:00,17.642082,NA,0
1970-01-03 00:00:00,17.474975,NA,0
1970-01-04 00:00:00,17.466504,NA,0
1970-01-05 00:00:00,17.515905,NA,0
1970-01-06 00:00:00,17.522034,NA,0
1970-01-07 00:00:00,17.608113,NA,0
1970-01-08 00:00:00,17.7498,NA,0
1970-01-09 00:00:00,17.596516,NA,0
1970-01-10 00:00:00,17.470412,NA,0
1970-01-11 00:00:00,17.173348,NA,0
1970-01-12 00:00:00,16.933757,NA,0
1970-01-13 00:00:00,16.928746,NA,0
1970-01-14 00:00:00,16.992245,NA,0
1970-01-15 00:00:00,16.745016,NA,0
1970-01-16 00:00:00,16.673288,NA,0
1970-01-17 00:00:00,17.106647,NA,0
1970-01-18 00:00:00,17.144977,NA,0
1970-01-19 00:00:00,16.938439,NA,0
1970-01-20 00:00:00,17.294752,NA,0
1970-01-21 00:00:00,17.227908,NA,0
1970-01-22 00:00:00,17.186362,NA,0
1970-01-23 00:00:00,17.124089,NA,0
1970-01-24 00:00:00,17.040462,NA,0
1970-01-25 00:00:00,16.907006,NA,0
1970-01-26 00:00:00,16.938701,NA,0
1970-01-27 00:00:00,16.994162,NA,0
1970-01-28 00:00:00,17.00277,NA,0
1970-01-29 00:00:00,17.020787,NA,0
1970-01-30 00:00:00,17.233382,NA,0
1970-01-31 00:00:00,18.344084,NA,0
1970-02-01 00:00:00,18.29035,NA,0
1970-02-02 00:00:00,18.164136,NA,0
1970-02-03 00:00:00,17.860502,NA,0
1970-02-04 00:00:00,17.588505,NA,0
1970-02-05 00:00:00,17.428819,NA,0
1970-02-06 00:00:00,17.179177,NA,0
1970-02-07 00:00:00,16.638212,NA,0
1970-02-08 00:00:00,16.192302,NA,0
1970-02-09 00:00:00,16.181966,NA,0
1970-02-10 00:00:00,16.200138,NA,0
1970-02-11 00:00:00,16.11707,NA,0
1970-02-12 00:00:00,16.134313,NA,0
1970-02-13 00:00:00,16.454054,NA,0
1970-02-14 00:00:00,16.809468,NA,0
1970-02-15 00:00:00,16.892167,NA,0
1970-02-16 00:00:00,17.072349,NA,0
1970-02-17 00:00:00,17.204295,NA,0
1970-02-18 00:00:00,17.406425,NA,0
1970-02-19 00:00:00,17.616422,NA,0
1970-02-20 00:00:00,17.793711,NA,0
1970-02-21 00:00:00,17.911489,NA,0
1970-02-22 00:00:00,18.164516,NA,0
1970-02-23 00:00:00,18.541407,NA,0
1970-02-24 00:00:00,18.288538,NA,0
1970-02-25 00:00:00,18.200383,NA,0
1970-02-26 00:00:00,18.332772,NA,0
1970-02-27 00:00:00,18.287804,NA,0
1970-02-28 00:00:00,18.366226,NA,0
1970-03-01 00:00:00,18.270712,NA,0
1970-03-02 00:00:00,17.958416,NA,0
1970-03-03 00:00:00,19.06918,NA,0
1970-03-04 00:00:00,19.728055,NA,0
1970-03-05 00:00:00,20.17476,NA,0
1970-03-06 00:00:00,20.330052,NA,0
1970-03-07 00:00:00,20.528662,NA,0
1970-03-08 00:00:00,20.779352,NA,0
1970-03-09 00:00:00,21.084975,NA,0
1970-03-10 00:00:00,21.851619,NA,0
1970-03-11 00:00:00,23.36272,NA,0
1970-03-12 00:00:00,23.76832,NA,0
1970-03-13 00:00:00,23.668184,NA,0
1970-03-14 00:00:00,24.304492,NA,0
1970-03-15 00:00:00,27.17048,NA,0
1970-03-16 00:00:00,26.247065,NA,0
1970-03-17 00:00:00,25.340242,NA,0
1970-03-18 00:00:00,24.584787,NA,0
1970-03-19 00:00:00,24.971795,NA,0
1970-03-20 00:00:00,24.235672,NA,0
1970-03-21 00:00:00,24.905024,NA,0
1970-03-22 00:00:00,25.221873,NA,0
1970-03-23 00:00:00,25.8084,NA,0
1970-03-24 00:00:00,26.481905,NA,0
1970-03-25 00:00:00,25.728376,NA,0
1970-03-26 00:00:00,27.165655,NA,0
1970-03-27 00:00:00,28.8516,NA,0
1970-03-28 00:00:00,28.891265,NA,0
1970-03-29 00:00:00,28.972145,NA,0
1970-03-30 00:00:00,29.290583,NA,0
1970-03-31 00:00:00,30.108963,NA,0
1970-04-01 00:00:00,30.702664,NA,0
1970-04-02 00:00:00,32.39898,NA,0
1970-04-03 00:00:00,36.795093,NA,0
1970-04-04 00:00:00,40.204524,NA,0
1970-04-05 00:00:00,40.021586,NA,0
1970-04-06 00:00:00,40.940965,NA,0
1970-04-07 00:00:00,43.774373,NA,0
1970-04-08 00:00:00,45.858942,NA,0
1970-04-09 00:00:00,49.759711,NA,0
1970-04-10 00:00:00,53.002458,NA,0
1970-04-11 00:00:00,55.489256,NA,0
1970-04-12 00:00:00,56.405516,NA,0
1970-04-13 00:00:00,56.685335,NA,0
1970-04-14 00:00:00,58.428702,NA,0
1970-04-15 00:00:00,59.486922,NA,0
1970-04-16 00:00:00,61.411087,NA,0
1970-04-17 00:00:00,62.757307,NA,0
1970-04-18 00:00:00,64.437936,NA,0
1970-04-19 00:00:00,66.30759,NA,0
1970-04-20 00:00:00,67.947476,NA,0
1970-04-21 00:00:00,68.663774,NA,0
1970-04-22 00:00:00,69.932254,NA,0
1970-04-23 00:00:00,71.937009,NA,0
1970-04-24 00:00:00,70.309445,NA,0
1970-04-25 00:00:00,70.020938,NA,0
1970-04-26 00:00:00,70.098653,NA,0
1970-04-27 00:00:00,72.059079,NA,0
