wind_speed,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
1.0916,4.3641e-13,0.67542,0.48216,0.87233,p001
0.84523,1.2181e-13,2.8945,0.73378,0.92973,p002
1.0556,1.6668e-13,1.8637,0.41836,0.86173,p003
0.80178,5.281e-10,1.5891,0.79042,0.98312,p004
1.1516,1.3648e-12,2.0589,0.67474,0.96019,p005
1.0213,1.276e-09,1.7699,0.52053,0.79327,p006
0.87343,6.1212e-15,1.3983,0.59195,1.0528,p007
1.0629,1.9368e-09,0.57831,0.70497,1.0623,p008
0.97948,1.4697e-06,1.6593,0.62773,0.91987,p009
0.90433,7.3295e-06,1.5697,0.70821,0.97446,p010
1.1991,1.805e-06,0.5935,0.53243,0.80043,p011
0.96933,8.3352e-07,1.3552,0.43034,0.85191,p012
0.83513,7.1583e-05,0.78417,0.79827,0.84432,p013
1.0247,0.00042255,1.2366,0.63371,0.75853,p014
0.96155,9.1778e-14,3.1608,0.57844,0.90857,p015
0.83198,0.00024288,0.63525,0.73956,0.81155,p016
1.1465,5.7958e-12,0.68656,0.50586,0.80562,p017
1.1708,1.8385e-11,2.1649,0.51793,0.74387,p018
0.82146,1.1096e-06,3.2433,0.74687,0.84126,p019
1.1732,1.0277e-09,1.4553,0.44567,0.95013,p020
0.95184,2.5607e-14,2.3,0.48725,0.91216,p021
0.87636,8.3426e-11,3.3604,0.4732,0.7648,p022
0.93025,8.2348e-09,3.4072,0.7793,0.77342,p023
1.0973,4.2605e-12,0.84989,0.40808,0.86733,p024
0.9945,0.0003158,1.4151,0.53022,0.93604,p025
0.85666,4.2466e-09,1.0385,0.69207,1.0291,p026
0.81217,5.7094e-06,1.9845,0.56914,0.83401,p027
1.1773,4.281e-06,3.2919,0.42394,0.7913,p028
1.1026,2.4187e-09,2.3637,0.78577,1.0277,p029
1.1362,1.5219e-08,1.0936,0.56626,1.0166,p030
1.0768,1.0754e-08,2.6406,0.70136,0.98492,p031
1.02,3.7023e-05,1.9472,0.79512,0.85487,p032
0.85103,6.464e-07,1.0078,0.66774,0.82124,p033
0.99876,2.662e-12,2.9246,0.60705,1.0649,p034
1.0664,9.4867e-13,3.1399,0.64624,1.0737,p035
0.89013,4.8763e-07,2.5409,0.77492,0.70726,p036
1.1612,4.6131e-08,1.7059,0.45479,1.0328,p037
1.0924,2.0847e-06,2.4906,0.53907,1.0945,p038
0.96416,2.898e-05,2.2935,0.60828,0.77645,p039
0.82448,1.7051e-07,2.6622,0.71914,1.0682,p040
1.1341,3.235e-13,3.0335,0.67657,0.70829,p041
0.86686,1.8659e-05,1.7941,0.72659,1.0834,p042
0.91721,6.2398e-12,2.831,0.76444,1.099,p043
1.1044,6.3644e-08,0.52116,0.75988,0.99371,p044
1.1901,1.1278e-14,1.539,0.65277,0.73141,p045
1.1671,1.4421e-11,2.7635,0.66019,0.82861,p046
0.93619,5.66e-09,3.2052,0.65147,0.95266,p047
1.1821,3.1841e-06,1.139,0.76237,1.0059,p048
1.0502,7.8232e-10,1.9163,0.64318,1.0082,p049
0.92264,2.2286e-10,2.691,0.59511,0.74635,p050
0.9854,1.8669e-12,2.0719,0.78019,0.76219,p051
0.95247,6.5501e-11,1.8225,0.75506,1.0599,p052
0.93263,1.9599e-08,2.9765,0.68526,0.92001,p053
0.95808,2.2476e-14,1.0458,0.49693,0.75002,p054
1.0593,1.4724e-05,0.97476,0.50331,0.89067,p055
0.9027,2.7689e-10,2.4159,0.59787,0.9991,p056
1.0846,8.3102e-08,2.5282,0.54874,0.75256,p057
1.1423,4.5749e-09,0.76772,0.46026,0.88439,p058
1.0399,3.763e-14,0.81667,0.4405,1.0496,p059
0.89214,2.2677e-08,3.4607,0.65905,0.9908,p060
0.87081,1.0767e-11,3.272,0.43212,0.73939,p061
0.94349,1.0733e-10,0.88993,0.44831,0.86895,p062
1.0052,4.9404e-13,2.1026,0.4943,1.0395,p063
1.0341,1.1269e-12,1.1918,0.51025,0.94695,p064
0.86386,2.6201e-11,1.7464,0.40346,1.0152,p065
0.97353,7.2396e-15,1.3104,0.58556,0.95771,p066
1.042,1.3023e-10,2.6162,0.40619,1.0772,p067
1.1231,0.00019028,3.3381,0.41257,0.70157,p068
1.0811,5.1697e-11,2.8694,0.61275,0.89711,p069
0.92414,4.1211e-10,1.2618,0.63935,0.92428,p070
1.0154,1.0164e-05,2.1201,0.68251,0.73558,p071
1.073,6.3439e-14,1.4692,0.58166,0.77114,p072
0.88344,2.7206e-09,2.5749,0.54265,1.0206,p073
0.85274,5.4082e-14,2.723,0.60039,0.83696,p074
1.1095,6.4057e-13,2.7811,0.74226,0.97003,p075
0.91582,3.7556e-07,1.6291,0.69191,0.81234,p076
1.0471,1.6852e-14,0.73921,0.62335,0.90011,p077
1.0707,8.5216e-12,0.89788,0.57256,1.0013,p078
1.1853,3.1285e-08,2.2698,0.51235,1.0468,p079
1.1948,1.1819e-07,3.1889,0.61784,0.96406,p080
0.81033,4.8101e-14,2.3339,0.69753,0.87722,p081
0.84043,1.844e-10,3.0542,0.56189,0.78697,p082
1.1174,3.4582e-08,3.435,0.42532,0.72727,p083
0.88666,2.0503e-07,2.2164,0.46703,1.087,p084
1.0088,3.0682e-12,1.6923,0.55988,0.85954,p085
1.1307,2.2183e-13,1.2951,0.46983,0.72146,p086
1.1533,2.7144e-06,2.4284,0.43979,0.82503,p087
1.1246,0.00012693,1.5115,0.66806,0.89386,p088
0.83969,5.326e-05,3.1097,0.55412,1.0892,p089
1.1596,0.00015272,0.94891,0.72377,0.93486,p090
0.81868,1.2194e-05,2.9504,0.74905,0.94351,p091
0.91014,1.1697e-07,2.4758,0.49191,0.97848,p092
0.99037,4.174e-05,3.4825,0.52534,1.0426,p093
0.94517,9.4771e-15,3.0128,0.47636,0.79988,p094
1.004,3.8091e-11,1.8853,0.72963,0.71238,p095
1.0282,2.7396e-13,2.0039,0.63004,0.90734,p096
0.98214,3.2681e-11,1.1804,0.71281,0.88081,p097
0.80697,6.9987e-10,1.1017,0.76829,0.81888,p098
1.1147,9.5329e-05,2.1916,0.54483,0.71645,p099
0.89912,2.5794e-07,0.54455,0.45867,0.78227,p100
