wind_speed,swr,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
0.98727,0.96147,0.10375,0.01663,0.0021915,p0001
1.1655,1.074,0.15482,0.05848,0.0070921,p0002
1.1465,0.86868,0.1829,0.03039,0.0013304,p0003
1.0872,0.82883,0.19461,0.11058,0.0082833,p0004
0.90016,1.0652,0.12301,0.30584,0.0030691,p0005
1.0433,1.001,0.14734,0.10264,0.0032396,p0006
0.83683,0.92871,0.18841,0.14792,0.0023672,p0007
0.94879,0.90646,0.16019,0.22987,0.0028607,p0008
0.99455,1.0974,0.15531,0.27616,0.0073384,p0009
0.93035,1.0434,0.1824,0.18001,0.0029059,p0010
1.1336,0.93939,0.15209,0.25006,0.0058179,p0011
0.80748,0.87746,0.16218,0.051412,0.0024232,p0012
0.85765,0.85357,0.13785,0.24573,0.0054962,p0013
0.81336,1.0462,0.16454,0.15714,0.003208,p0014
0.86597,1.1054,0.14054,0.29901,0.0088068,p0015
1.1528,1.0142,0.15389,0.12321,0.0088757,p0016
0.80913,0.86785,0.10858,0.22698,0.0019157,p0017
0.91411,1.1616,0.10156,0.16886,0.0033699,p0018
1.1403,0.95047,0.14787,0.048974,0.0056374,p0019
0.96343,1.0499,0.1888,0.078207,0.0043708,p0020
1.1827,0.94156,0.15144,0.26427,0.0069226,p0021
0.82956,1.1643,0.18445,0.088888,0.0050929,p0022
1.1639,0.89609,0.13434,0.21939,0.0044072,p0023
0.96492,0.99438,0.18423,0.047638,0.00062151,p0024
0.84293,0.96746,0.14116,0.092446,0.0077158,p0025
1.1444,0.81907,0.10481,0.21228,0.0016495,p0026
1.1855,1.1924,0.1666,0.29785,0.0027507,p0027
0.89182,0.80537,0.17485,0.14811,0.00095304,p0028
1.1997,0.94161,0.17566,0.2971,0.0034221,p0029
1.0285,0.88894,0.11418,0.062742,0.003964,p0030
1.1699,0.89816,0.10579,0.17026,0.0019218,p0031
1.1935,0.95781,0.18108,0.14631,0.0059095,p0032
1.1245,0.85518,0.16344,0.2229,0.001078,p0033
0.85883,1.0998,0.17687,0.15231,0.001086,p0034
0.83144,1.1919,0.19826,0.091348,0.0042073,p0035
1.0402,0.94697,0.16155,0.28928,0.0031871,p0036
0.93208,1.1848,0.14361,0.034565,0.0067778,p0037
0.83523,0.81212,0.19226,0.054486,0.0080174,p0038
0.83509,0.96976,0.16587,0.21758,0.0053666,p0039
1.0974,1.1627,0.14708,0.23406,0.0018844,p0040
0.97182,0.8671,0.1302,0.010634,0.0057917,p0041
0.87858,0.90241,0.18904,0.11222,0.0016822,p0042
0.82168,0.94899,0.19801,0.10815,0.0068501,p0043
0.87258,0.86494,0.11818,0.28355,0.0066956,p0044
0.90863,1.0348,0.11995,0.082131,0.0039915,p0045
1.0242,1.168,0.18342,0.10086,0.00022687,p0046
1.1939,0.98299,0.14305,0.10552,0.0080221,p0047
1.1263,1.1296,0.14591,0.20328,0.0028007,p0048
1.1458,0.94274,0.1021,0.088136,0.0014515,p0049
1.0388,0.97041,0.12088,0.23167,0.007171,p0050
1.1516,1.0471,0.11538,0.1215,0.0034672,p0051
1.0966,1.0898,0.1899,0.2686,0.0062383,p0052
0.89535,0.90833,0.11939,0.26949,0.0082433,p0053
1.0873,1.0583,0.10818,0.15596,0.0029862,p0054
0.87929,0.85967,0.11039,0.2108,0.0053463,p0055
0.81097,0.84341,0.19085,0.031363,0.00059406,p0056
1.1716,1.1209,0.16044,0.26706,0.0013724,p0057
1.0069,1.0082,0.18661,0.27753,0.0062641,p0058
0.88916,0.82976,0.18381,0.29879,0.0073575,p0059
0.88851,1.138,0.19727,0.23493,0.0010375,p0060
