wind_speed,swr,fetch_lk,c_relax_C,par_id
1.1222,0.56354,12502,0.09581,p001
0.8972,1.0293,24495,0.090074,p002
0.8202,1.689,62887,0.055356,p003
1.0355,1.4719,52692,0.046138,p004
1.0586,0.53299,68061,0.0069369,p005
1.1851,0.57852,35572,0.0045331,p006
0.98534,1.5891,54199,0.078026,p007
1.1977,1.0669,38992,0.071375,p008
1.0491,0.85963,64369,0.076472,p009
0.88304,1.16,73853,0.083285,p010
1.1102,1.5083,32195,0.043372,p011
0.92798,1.4296,11282,0.063835,p012
0.98951,1.6441,5034.5,0.022383,p013
0.83409,1.3816,40613,0.079506,p014
0.9497,1.0211,25787,0.039015,p015
0.88695,0.86866,17954,0.062621,p016
1.1137,1.075,14974,0.082284,p017
0.81398,1.2435,28794,0.070095,p018
0.9523,1.4813,29343,0.094192,p019
1.1635,1.9719,38196,0.096002,p020
1.0429,0.80254,23189,0.045367,p021
1.0096,1.5568,43028,0.066,p022
0.85088,1.3007,2237.6,0.027098,p023
1.0061,0.81964,74299,0.042872,p024
1.0858,1.6076,21178,0.066867,p025
0.92942,1.6718,25904,0.0080392,p026
0.84426,1.5038,51059,0.056592,p027
0.87346,1.5743,30002,0.0050678,p028
0.94487,1.3331,48255,0.033152,p029
1.1923,1.3917,53487,0.03667,p030
1.0808,1.6581,66328,0.013674,p031
1.0174,1.5239,73458,0.034424,p032
0.82724,1.4141,61940,0.0018032,p033
0.98351,0.55069,1940.4,0.064387,p034
1.0474,1.8383,37665,0.072843,p035
0.9994,1.6208,9870.7,0.081205,p036
1.0984,1.0982,41244,0.097289,p037
0.81181,1.8541,47160,0.068661,p038
1.1891,1.9206,68805,0.052329,p039
1.1466,1.4316,67480,0.060053,p040
0.94258,0.99097,36472,0.075966,p041
0.84133,1.7076,23863,0.011554,p042
1.1526,1.1025,31448,0.00044123,p043
1.093,0.62094,9064.1,0.038797,p044
0.892,1.2646,6508.3,0.073465,p045
1.1271,1.8178,52351,0.084596,p046
1.0674,0.9514,8633.9,0.0029061,p047
1.1794,0.97149,4876.5,0.05064,p048
1.0737,1.133,27798,0.053089,p049
0.96319,0.51909,7492.2,0.099688,p050
1.1411,0.79004,42005,0.020271,p051
1.0138,0.69996,69055,0.012348,p052
1.0882,1.446,50081,0.05488,p053
0.83188,1.2929,34788,0.077137,p054
1.1308,1.2254,17598,0.029081,p055
0.97681,1.9885,30679,0.074762,p056
0.86225,1.9655,20149,0.021119,p057
1.1566,0.77059,16543,0.041874,p058
1.1697,1.0027,19523,0.023716,p059
0.90917,1.2731,54951,0.049514,p060
0.92273,0.93019,65099,0.059889,p061
0.99241,0.63548,13591,0.030954,p062
0.90205,1.2023,71711,0.0033942,p063
0.97258,1.8281,56019,0.091878,p064
1.0017,1.0419,72314,0.017737,p065
0.86726,1.541,58077,0.0071732,p066
0.96402,0.59049,32783,0.0474,p067
1.0712,0.88097,34187,0.024115,p068
0.81607,1.7631,46072,0.018832,p069
1.1004,1.2111,33502,0.019508,p070
0.9064,1.9078,5888.6,0.086171,p071
0.96824,0.51321,43862,0.087855,p072
1.06,1.7955,60914,0.089729,p073
1.0385,0.83257,10315,0.035183,p074
0.80109,1.3613,14258,0.069949,p075
1.0271,1.7488,561.05,0.026033,p076
1.1503,1.9369,57483,0.051929,p077
0.87048,0.72607,65479,0.016915,p078
1.1653,0.6848,15694,0.05784,p079
1.1355,1.3496,49348,0.067621,p080
0.85912,1.7813,48155,0.098937,p081
1.1075,1.3175,22720,0.044372,p082
1.0281,0.66277,44909,0.025655,p083
0.95751,1.7244,42892,0.080704,p084
0.80452,0.76082,58629,0.015756,p085
0.85235,0.66972,18898,0.028828,p086
0.9152,1.6291,63257,0.009868,p087
0.93805,0.93932,26896,0.040885,p088
0.83919,1.1863,56456,0.031401,p089
1.1753,1.8881,51802,0.093763,p090
0.87966,1.8734,12004,0.092389,p091
0.93589,0.8964,3279.1,0.010713,p092
1.0219,0.74283,70434,0.085415,p093
1.1365,0.908,60260,0.032646,p094
1.1193,1.1155,4062.7,0.037203,p095
1.0793,1.1681,45784,0.088276,p096
1.0555,0.60809,21484,0.061955,p097
0.91989,1.731,59928,0.014159,p098
0.8893,0.71511,70603,0.048136,p099
1.1836,1.948,39792,0.05848,p100
