wind_speed,swr,mixing/coef_mix_hyp,light/Kw,par_id
1.0027,0.83411,7.3433e-06,0.25302,p001
0.80155,0.82807,3.1879e-05,0.28307,p002
0.94923,0.81637,1.3332e-05,0.45069,p003
1.081,0.8074,3.503e-06,0.76924,p004
1.0691,0.81823,4.68e-05,0.52578,p005
0.84838,0.91122,2.7947e-05,0.45214,p006
1.1579,0.92187,7.852e-05,0.76065,p007
1.0431,0.87445,1.6368e-05,0.58272,p008
1.1328,0.97454,3.9105e-05,0.69975,p009
0.85678,0.85883,5.6973e-06,0.32444,p010
1.0241,0.93696,7.1131e-05,0.35172,p011
1.1976,0.97035,7.5103e-05,0.2061,p012
0.95943,1.0033,2.0137e-05,0.26953,p013
1.1516,0.89686,1.0125e-05,0.72325,p014
0.86553,0.80282,6.16e-05,0.30954,p015
1.0631,0.89609,4.0645e-05,0.74092,p016
0.88793,0.9273,1.551e-05,0.79176,p017
1.1657,0.9337,5.169e-05,0.77902,p018
0.92746,0.96402,7.6417e-05,0.59414,p019
0.81678,0.84608,3.3004e-05,0.36588,p020
0.87578,0.9889,3.7255e-05,0.33892,p021
1.1772,0.98199,2.4494e-05,0.67072,p022
1.1412,0.9031,8.7973e-05,0.37801,p023
0.98958,1.01,8.8077e-05,0.49934,p024
1.1225,0.95131,2.9959e-05,0.43511,p025
0.83751,0.97707,9.7651e-06,0.52291,p026
0.8125,0.86287,6.4953e-05,0.66697,p027
1.0953,0.8693,4.9698e-05,0.54297,p028
0.97909,0.85601,5.527e-05,0.41613,p029
0.83178,0.88082,5.9232e-05,0.41469,p030
0.9041,0.93141,4.4222e-05,0.55884,p031
0.91792,1.0171,6.3448e-05,0.50471,p032
0.84111,0.83663,9.7295e-05,0.72858,p033
1.0398,0.94878,9.8279e-05,0.22009,p034
0.97477,0.81286,5.3398e-05,0.62467,p035
1.116,0.9932,6.9334e-05,0.29117,p036
0.99286,1.0142,2.2625e-05,0.64147,p037
1.0736,0.85181,6.6542e-05,0.38685,p038
1.0168,0.95873,9.1912e-05,0.60853,p039
0.93649,0.95606,8.2251e-05,0.30474,p040
1.1866,0.82358,9.4748e-05,0.56964,p041
1.0138,0.91588,3.4782e-05,0.70561,p042
1.1029,0.94276,7.3085e-05,0.47561,p043
0.96296,0.88382,9.2419e-05,0.68454,p044
0.89069,0.87524,5.6525e-05,0.39692,p045
1.0524,0.8897,8.1978e-05,0.23035,p046
1.1733,0.8421,4.2322e-05,0.24227,p047
0.93592,0.90995,8.5976e-05,0.65198,p048
1.1113,0.99446,3.1698e-07,0.60686,p049
0.89679,1.0002,1.9327e-05,0.48492,p050
