wind_speed,swr,fetch_lk,c_relax_C,par_id
1.0325,0.81044,62689,0.04445,p001
1.1085,0.91699,46479,0.032146,p002
0.85689,0.94716,48278,0.072282,p003
0.8232,0.96909,56565,0.082336,p004
0.88051,0.73512,7501.8,0.029495,p005
0.87888,0.99948,40328,0.045238,p006
1.1427,0.72542,28708,0.0011293,p007
0.93402,0.71783,63728,0.0277,p008
1.0058,0.81393,39290,0.043189,p009
1.1458,0.75273,71355,0.00445,p010
0.89735,0.88883,7164.2,0.018435,p011
1.1595,0.82132,29149,0.0764,p012
1.0929,0.78563,42345,0.038511,p013
1.1965,0.73197,32118,0.02323,p014
1.12,0.92202,24900,0.03646,p015
1.0569,0.90362,44442,0.064495,p016
0.95175,0.88395,66396,0.099609,p017
0.96315,0.85703,35474,0.019136,p018
0.90186,0.86063,56230,0.088118,p019
1.1125,0.74036,20780,0.047895,p020
1.0498,0.93441,68568,0.056695,p021
0.82661,0.77313,27867,0.049409,p022
0.81363,0.99558,61846,0.095637,p023
1.0365,0.7894,44673,0.07979,p024
1.1322,0.87834,72206,0.062765,p025
0.85207,0.99313,23735,0.0050297,p026
1.0703,0.89603,54905,0.093894,p027
1.1863,0.98982,67624,0.054176,p028
0.99444,0.77121,599.14,0.02055,p029
0.95809,0.75099,69785,0.017148,p030
0.95201,0.76013,47357,0.00021065,p031
1.0019,0.8341,25199,0.010916,p032
1.1179,0.80142,15340,0.081238,p033
1.1913,0.91354,22378,0.087936,p034
0.89041,0.89143,20599,0.033349,p035
0.81618,0.95215,53062,0.06354,p036
1.0312,0.75968,2911,0.08474,p037
1.128,0.9005,37471,0.028493,p038
1.1391,0.9581,25875,0.096258,p039
0.91604,0.95196,18375,0.08311,p040
0.83812,0.7921,47606,0.078002,p041
1.1769,0.73658,43478,0.022854,p042
0.88704,0.82541,8536,0.013472,p043
1.0674,0.92009,45846,0.090822,p044
0.86555,0.96436,33615,0.085222,p045
1.0882,0.94269,50628,0.012714,p046
1.152,0.70975,31714,0.080636,p047
0.8508,0.93746,49319,0.031207,p048
0.8727,0.8687,36986,0.016494,p049
0.93018,0.83967,70652,0.057657,p050
1.1057,0.9614,9614.2,0.065099,p051
1.1249,0.76607,65649,0.0074548,p052
0.91163,0.97357,60898,0.048484,p053
1.014,0.9823,64788,0.094156,p054
0.83003,0.80687,60244,0.070872,p055
1.1733,0.98134,22888,0.071216,p056
0.9684,0.90638,57829,0.068629,p057
0.89336,0.70499,16228,0.053814,p058
0.9898,0.77561,21604,0.059768,p059
0.91588,0.78109,8802.9,0.058196,p060
1.0609,0.93243,11273,0.060567,p061
0.83592,0.74706,4215.5,0.008893,p062
1.1668,0.94515,30222,0.039931,p063
0.9231,0.72988,54806,0.061456,p064
1.1543,0.9782,19308,0.026829,p065
1.1719,0.71997,15458,0.042476,p066
0.97463,0.85344,38914,0.055133,p067
1.1836,0.86483,59362,0.07305,p068
1.0445,0.79639,73807,0.0097969,p069
1.0241,0.83579,10217,0.037735,p070
0.94292,0.71391,49863,0.097386,p071
0.98242,0.87491,72958,0.011687,p072
1.0848,0.8187,14522,0.034906,p073
0.80838,0.97199,34304,0.078383,p074
0.90653,0.8162,33231,0.040019,p075
0.96703,0.75482,5580.1,0.0062509,p076
1.1034,0.89344,1876.4,0.03517,p077
1.0812,0.84509,6239.3,0.030586,p078
0.93803,0.72346,51518,0.0027596,p079
1.0983,0.87354,40785,0.015711,p080
1.0726,0.70857,18912,0.098255,p081
0.98598,0.84804,53999,0.086226,p082
0.87034,0.78025,11771,0.050898,p083
0.86368,0.79556,35939,0.091792,p084
1.0083,0.8803,58273,0.052931,p085
1.0187,0.92894,4249,0.014185,p086
0.92552,0.82986,58858,0.066731,p087
0.97642,0.90894,67101,0.069379,p088
1.0429,0.95648,17582,0.075266,p089
0.80604,0.91032,13480,0.051814,p090
1.0551,0.85046,38395,0.089326,p091
0.84497,0.76381,2649.1,0.041686,p092
0.94653,0.86546,69474,0.0252,p093
1.0797,0.82742,12944,0.074988,p094
0.99878,0.74464,41791,0.0032393,p095
0.84269,0.98722,27086,0.04689,p096
1.195,0.84324,64222,0.024081,p097
0.80271,0.80393,74535,0.067866,p098
1.1634,0.92757,30333,0.021902,p099
1.0205,0.70267,52057,0.092345,p100
