wind_speed,mixing/coef_mix_hyp,par_id
1.1346,7.0917e-05,p001
1.0234,7.163e-05,p002
1.1244,6.5931e-05,p003
0.9417,6.199e-05,p004
1.004,3.0597e-05,p005
1.1952,7.3562e-05,p006
1.1972,8.6965e-05,p007
1.083,8.9545e-05,p008
1.0726,7.6663e-05,p009
0.97251,4.3099e-05,p010
0.8875,9.1763e-05,p011
1.0285,1.2551e-05,p012
0.83212,9.2777e-05,p013
1.0572,2.1216e-05,p014
0.95783,7.4724e-05,p015
0.961,8.8545e-05,p016
0.83129,4.2786e-05,p017
1.0394,7.1104e-06,p018
0.80834,8.7406e-05,p019
0.96946,2.5257e-06,p020
0.92677,6.367e-05,p021
1.1407,3.8729e-05,p022
1.0249,3.5741e-05,p023
0.87419,1.9496e-06,p024
0.9559,3.3832e-06,p025
1.1051,5.9434e-05,p026
1.123,6.5922e-06,p027
1.0355,7.9259e-05,p028
1.0651,1.5506e-05,p029
1.1899,7.5061e-05,p030
0.80748,3.3025e-05,p031
1.0699,1.0133e-05,p032
1.0788,7.8318e-05,p033
0.81268,1.3679e-05,p034
1.1698,8.5659e-05,p035
0.85924,5.4079e-05,p036
0.90577,9.6216e-05,p037
0.84798,1.46e-05,p038
1.1099,4.6766e-05,p039
1.1393,9.3029e-05,p040
1.1564,2.6748e-07,p041
1.1853,6.6316e-05,p042
1.0953,8.0202e-05,p043
1.1189,4.1648e-05,p044
0.94894,8.4852e-05,p045
0.96419,1.79e-05,p046
0.84107,3.3404e-05,p047
0.99672,3.1574e-05,p048
0.91127,4.9923e-05,p049
0.84904,9.7246e-05,p050
0.81887,6.8588e-05,p051
1.0872,6.5026e-05,p052
0.86597,3.7675e-05,p053
1.0626,6.2471e-05,p054
0.82425,5.7146e-05,p055
0.91585,3.6788e-05,p056
0.87779,9.4948e-05,p057
1.1748,5.6063e-06,p058
0.88381,4.8781e-05,p059
1.0404,1.9353e-05,p060
1.1447,2.8364e-05,p061
0.88959,2.5909e-05,p062
1.1804,2.7337e-05,p063
1.1795,2.3992e-05,p064
0.92353,8.2735e-05,p065
1.0886,7.2401e-05,p066
0.86935,8.1988e-05,p067
1.0189,1.8975e-05,p068
0.9015,2.4501e-05,p069
1.1147,8.4007e-05,p070
0.99378,9.5808e-05,p071
0.83723,5.3794e-05,p072
0.91833,9.939e-05,p073
1.1017,4.4581e-05,p074
0.86289,3.4736e-05,p075
0.89954,2.9936e-05,p076
1.1516,4.7151e-05,p077
1.1524,6.0603e-05,p078
1.1669,6.9554e-05,p079
0.92977,2.0924e-05,p080
1.0545,5.1819e-05,p081
1.0964,4.0886e-05,p082
0.99153,9.0357e-05,p083
1.16,9.8301e-05,p084
1.0145,9.3923e-06,p085
0.80126,5.0696e-06,p086
1.011,5.6995e-05,p087
0.89396,5.8343e-05,p088
1.0477,5.2241e-05,p089
1.0503,2.274e-05,p090
0.98336,4.544e-05,p091
1.0013,8.1216e-06,p092
0.82229,7.769e-05,p093
0.94671,5.5818e-05,p094
0.9864,1.6223e-05,p095
0.9339,1.1115e-05,p096
1.1306,3.9272e-05,p097
0.93884,2.6472e-05,p098
0.8535,5.077e-05,p099
0.97904,6.7337e-05,p100
