wind_speed,turb_param/k_min,par_id
0.84006,2.966e-13,p001
0.87524,5.7275e-10,p002
0.93188,6.4311e-15,p003
0.90933,1.5766e-05,p004
0.88337,1.0395e-06,p005
1.0514,5.006e-08,p006
0.97113,3.2742e-06,p007
0.81595,3.7268e-05,p008
1.0309,7.2149e-13,p009
1.0219,1.859e-05,p010
1.0669,4.0101e-10,p011
1.1083,2.535e-08,p012
1.0153,1.2336e-12,p013
0.98626,5.5278e-09,p014
1.1983,9.9087e-12,p015
0.99872,1.3191e-12,p016
0.85615,8.2838e-13,p017
0.93622,6.993e-07,p018
0.86493,3.2177e-07,p019
0.80836,4.7149e-12,p020
0.97474,0.00011902,p021
1.0352,4.9186e-05,p022
1.0539,3.8774e-08,p023
1.1759,3.8618e-14,p024
0.85127,0.00018104,p025
0.83854,8.9061e-09,p026
1.1648,3.251e-11,p027
1.1342,0.00032235,p028
1.122,0.00043833,p029
0.85584,3.0766e-08,p030
1.0571,3.6307e-11,p031
0.92048,1.1538e-07,p032
0.9047,9.1809e-11,p033
0.86255,1.2748e-07,p034
0.88408,4.75e-13,p035
0.91211,9.5556e-15,p036
0.8173,2.4637e-09,p037
0.96336,6.3772e-06,p038
0.87631,1.3011e-11,p039
0.80782,2.0256e-12,p040
0.84659,1.7385e-07,p041
1.071,2.1833e-06,p042
0.90358,1.8791e-06,p043
1.0969,3.3571e-12,p044
0.82784,2.9497e-10,p045
1.1928,5.4814e-14,p046
1.1413,1.0089e-10,p047
0.89791,1.0886e-11,p048
0.924,6.4093e-09,p049
1.0784,2.4003e-14,p050
1.0076,7.4049e-08,p051
0.9778,7.725e-12,p052
1.1387,9.3403e-05,p053
0.98089,2.5777e-05,p054
0.95969,1.7769e-11,p055
1.1171,5.0815e-11,p056
1.1897,3.8964e-09,p057
1.0756,1.5344e-09,p058
0.87166,0.00023301,p059
0.89403,2.1572e-11,p060
1.1528,1.3078e-05,p061
1.0936,1.1636e-09,p062
0.99512,2.2305e-13,p063
1.1266,6.9376e-08,p064
0.82916,1.4417e-14,p065
0.94267,6.1678e-07,p066
0.94443,2.5487e-12,p067
1.102,6.7217e-11,p068
1.0264,7.6369e-10,p069
1.1441,9.0505e-14,p070
1.1074,1.7515e-09,p071
1.1303,7.5941e-14,p072
0.98838,6.7512e-05,p073
0.96673,2.0736e-10,p074
1.0458,2.4179e-07,p075
1.0432,0.00024422,p076
1.0004,1.4603e-10,p077
0.80269,1.4386e-08,p078
1.0907,1.4284e-06,p079
1.0826,3.3058e-07,p080
1.0184,4.7403e-06,p081
1.1777,4.6457e-07,p082
0.889,1.2901e-14,p083
1.011,7.593e-06,p084
1.1578,3.8651e-12,p085
0.91924,1.6855e-08,p086
1.1612,2.2673e-10,p087
0.83237,2.5703e-13,p088
0.95415,1.4615e-13,p089
1.0608,3.0332e-14,p090
0.9493,1.988e-14,p091
0.93232,5.7984e-05,p092
1.1711,1.1158e-13,p093
1.1839,6.0991e-13,p094
1.1868,1.0083e-05,p095
1.0871,2.6389e-06,p096
1.1503,3.1246e-09,p097
0.82319,7.961e-15,p098
1.0395,1.1297e-08,p099
1.1156,7.1869e-10,p100
