wind_speed,turb_param/k_min,par_id
1.0986,5.1901e-10,p001
1.0697,1.1584e-07,p002
1.1736,5.4905e-13,p003
1.1102,1.4184e-09,p004
0.97108,2.551e-07,p005
1.1024,1.9132e-07,p006
1.0182,1.0006e-08,p007
0.99782,1.5891e-13,p008
1.0425,5.7195e-11,p009
1.0919,2.1384e-13,p010
1.1699,5.8855e-07,p011
0.90273,3.8788e-09,p012
0.98153,4.354e-06,p013
0.91453,7.5668e-05,p014
0.82811,1.0497e-10,p015
0.89209,4.1005e-05,p016
0.85774,8.6287e-08,p017
1.1882,1.8831e-08,p018
1.157,3.9735e-14,p019
1.1389,0.00013516,p020
0.84705,1.1048e-09,p021
0.99588,1.0451e-05,p022
1.037,3.7102e-12,p023
1.0675,2.7559e-06,p024
1.105,6.0234e-14,p025
1.0295,1.1309e-12,p026
0.80124,2.3308e-07,p027
0.93288,6.3626e-13,p028
1.1762,3.9088e-10,p029
1.1481,1.374e-11,p030
0.92862,9.3409e-07,p031
1.0109,5.0662e-09,p032
1.0122,3.2783e-11,p033
0.87206,2.2508e-09,p034
0.92606,3.2263e-06,p035
0.99004,9.3604e-05,p036
0.82295,1.2595e-11,p037
0.93989,1.1406e-14,p038
1.1339,9.2875e-11,p039
0.92193,1.6241e-06,p040
0.87937,4.3499e-08,p041
1.1828,1.3848e-10,p042
1.0811,6.4682e-12,p043
1.0203,6.5173e-06,p044
0.89718,1.6658e-12,p045
0.95349,2.6069e-08,p046
1.1155,6.6186e-11,p047
1.0066,3.3153e-08,p048
0.85116,1.8594e-14,p049
1.0934,1.8869e-10,p050
1.0852,7.8242e-12,p051
0.81914,2.2686e-13,p052
1.1865,7.0879e-06,p053
0.94216,3.8956e-11,p054
0.83728,6.8169e-15,p055
0.84267,1.5465e-14,p056
0.96166,1.2638e-08,p057
1.0498,5.7453e-10,p058
0.97708,0.00040273,p059
1.1527,4.6854e-12,p060
1.1966,3.3156e-10,p061
0.88549,3.0625e-14,p062
0.83312,2.2787e-05,p063
1.0472,2.8487e-05,p064
1.1621,4.4889e-13,p065
1.1463,2.7809e-14,p066
1.1303,1.4647e-06,p067
1.1171,1.8178e-05,p068
1.0537,2.559e-10,p069
0.94504,3.4132e-12,p070
0.86398,6.1974e-09,p071
0.86684,2.6171e-11,p072
0.80798,2.4288e-08,p073
0.97411,6.0348e-05,p074
0.98684,3.1378e-13,p075
0.87024,6.6984e-14,p076
1.1675,5.9432e-08,p077
0.90724,7.4807e-10,p078
1.0266,1.0058e-12,p079
1.0733,5.6544e-15,p080
0.91882,2.3026e-12,p081
1.061,9.2931e-15,p082
1.0566,1.9032e-11,p083
0.85467,6.9923e-07,p084
0.80948,0.00034533,p085
0.95663,0.00023672,p086
0.88324,2.4053e-06,p087
1.142,9.145e-14,p088
0.94913,1.2065e-13,p089
1.123,3.4488e-05,p090
1.1952,8.6592e-09,p091
1.0323,0.00020684,p092
1.1248,4.7566e-07,p093
0.91142,1.372e-07,p094
0.81598,3.3068e-07,p095
1.0795,1.8939e-09,p096
0.88801,0.00014141,p097
1.0018,3.0571e-09,p098
0.96506,1.3631e-05,p099
0.82589,1.8989e-12,p100
