wind_speed,swr,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
0.85035,1.1314,6.7533e-15,3.2439,0.40554,0.91437,p01
1.1968,0.91642,7.6991e-06,2.8435,0.54127,1.0503,p02
0.98083,0.84132,1.6939e-11,3.0298,0.61082,1.0096,p03
1.011,0.97617,1.5791e-07,1.7832,0.45409,0.72947,p04
0.89873,0.92399,4.9856e-05,0.56723,0.50078,1.0943,p05
1.1145,1.0827,1.1494e-13,1.056,0.59696,0.96142,p06
0.83522,0.8197,2.524e-07,2.5761,0.72212,0.89218,p07
1.0664,1.0307,5.1671e-12,2.2374,0.76363,0.78763,p08
1.1417,1.1886,4.9457e-10,1.2649,0.69557,0.85082,p09
0.95725,1.0475,5.146e-09,1.4873,0.6768,0.75467,p10
