wind_speed,mixing/coef_mix_hyp,meteorology/ch,meteorology/ce,par_id
0.84438,2.0907e-05,0.0023948,0.0023034,p0001
1.1338,8.5481e-05,0.0010971,0.0027764,p0002
1.1593,5.1668e-05,0.0017809,0.0022898,p0003
0.89984,1.5024e-05,0.0029372,0.0010452,p0004
1.163,1.8336e-05,0.0010912,0.001303,p0005
1.1381,2.4446e-05,0.0015785,0.0014837,p0006
0.92295,5.2924e-05,0.0012745,0.0010413,p0007
1.0891,7.9356e-05,0.0010089,0.0011807,p0008
0.84219,3.315e-05,0.0010418,0.0017993,p0009
1.0491,1.9657e-05,0.0019229,0.0017725,p0010
0.99513,1.643e-05,0.0019624,0.0023181,p0011
1.0764,8.4436e-06,0.0015881,0.0023776,p0012
1.0079,5.7954e-05,0.0028714,0.0020303,p0013
0.83855,5.6284e-06,0.0013192,0.002007,p0014
1.1547,8.2866e-05,0.0022101,0.0024342,p0015
1.1965,3.9311e-05,0.0018688,0.0028713,p0016
0.93256,5.13e-05,0.002834,0.0028851,p0017
1.0005,7.4162e-05,0.0013451,0.0021855,p0018
0.98108,2.6533e-05,0.0026298,0.0022439,p0019
0.88937,5.7225e-05,0.0010028,0.0010315,p0020
0.94034,6.5271e-05,0.001474,0.0010597,p0021
1.0746,4.5188e-05,0.0021182,0.0024669,p0022
1.0351,5.2494e-05,0.0011929,0.0014624,p0023
1.087,9.2459e-05,0.0017558,0.0028908,p0024
0.97339,1.0647e-06,0.0017623,0.00264,p0025
0.8438,5.0141e-05,0.0020509,0.0011908,p0026
1.0901,4.3605e-05,0.0013714,0.0027099,p0027
1.1422,2.8057e-05,0.0022937,0.0012193,p0028
1.1454,7.7639e-05,0.0010382,0.0013977,p0029
0.98895,5.6572e-05,0.0010554,0.0013796,p0030
0.91948,7.4289e-05,0.0011413,0.0016185,p0031
0.90054,5.0011e-05,0.0021081,0.0014396,p0032
1.1673,5.4806e-05,0.0012594,0.0020365,p0033
0.85078,3.8813e-05,0.0019345,0.0029534,p0034
0.86548,9.8698e-05,0.0014297,0.001592,p0035
0.91058,5.1822e-07,0.001707,0.0011127,p0036
0.93869,8.7687e-05,0.0016529,0.0028944,p0037
0.9823,7.4604e-05,0.0026421,0.0029089,p0038
1.0741,2.3423e-05,0.0027847,0.0013565,p0039
