wind_speed,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
1.0071,7.6196e-08,0.63897,0.41011,0.76288,p0001
1.1776,2.2108e-09,1.8592,0.66992,0.72703,p0002
0.84972,3.1114e-10,1.0414,0.70001,1.0948,p0003
1.0027,5.3205e-07,2.6723,0.65237,0.83134,p0004
0.8955,1.2829e-07,2.9518,0.45818,0.82167,p0005
0.80827,2.611e-09,2.697,0.40015,0.96285,p0006
0.85288,6.1122e-12,2.3348,0.48049,1.0851,p0007
0.94472,5.8105e-15,0.83397,0.76326,0.78785,p0008
0.83192,4.1536e-08,0.69426,0.5707,0.89895,p0009
0.83863,4.0996e-07,3.3285,0.65752,0.73831,p0010
1.027,0.00015677,2.7865,0.5479,1.0146,p0011
0.91044,9.1704e-13,3.0254,0.4972,0.94665,p0012
0.88285,1.6794e-11,3.0601,0.7928,0.76955,p0013
1.0527,9.9567e-07,0.86835,0.75797,0.96658,p0014
0.8872,2.3616e-06,1.3863,0.46704,1.0423,p0015
1.1505,2.363e-07,2.3637,0.74757,0.7917,p0016
1.1396,2.1667e-09,3.3948,0.79536,0.8055,p0017
0.97473,3.4955e-05,2.7249,0.72717,0.72563,p0018
1.1456,1.005e-11,2.7838,0.40846,0.74288,p0019
0.96219,2.4669e-13,1.0555,0.62877,1.0538,p0020
0.85615,3.2466e-12,1.7209,0.41635,0.85426,p0021
1.0826,3.2625e-05,3.2788,0.56096,0.86158,p0022
0.82944,7.5079e-13,2.7502,0.45207,0.86018,p0023
0.91266,0.00019556,2.6119,0.72749,0.76688,p0024
0.98645,3.2796e-09,1.4598,0.76587,1.0703,p0025
1.1751,1.558e-07,1.641,0.43309,0.9343,p0026
1.1647,3.8819e-11,0.62241,0.61769,0.71704,p0027
0.9092,1.248e-09,1.1239,0.52062,0.82239,p0028
0.92751,6.9297e-08,2.325,0.70078,0.76901,p0029
1.0493,6.6324e-06,2.5144,0.55457,1.0737,p0030
0.90416,0.00012149,1.5352,0.65683,0.78992,p0031
0.88551,9.1589e-11,0.74198,0.76291,0.82323,p0032
0.81687,1.8884e-05,2.9127,0.72934,1.0748,p0033
