wind_speed,turb_param/k_min,par_id
0.91975,0.00016031,p001
1.1127,6.1808e-14,p002
0.81612,3.8223e-14,p003
1.0788,4.5267e-10,p004
0.93938,1.3062e-08,p005
0.97377,4.4177e-07,p006
0.86393,1.8612e-07,p007
0.93182,2.4989e-12,p008
0.85878,0.00030341,p009
0.98646,6.735e-08,p010
0.90218,2.3606e-10,p011
1.0591,1.5292e-09,p012
0.88058,2.6448e-08,p013
0.89952,7.0687e-07,p014
1.1597,3.2186e-12,p015
1.191,1.5304e-13,p016
0.82766,1.9444e-13,p017
1.0642,9.8697e-15,p018
1.1962,8.5196e-12,p019
1.1848,2.5934e-05,p020
0.98092,1.3002e-06,p021
0.95519,7.564e-05,p022
1.0183,2.6648e-09,p023
0.89579,1.4929e-11,p024
1.0993,1.4229e-14,p025
1.1251,1.821e-12,p026
1.1355,3.4026e-11,p027
1.1416,1.5699e-12,p028
0.84932,1.822e-09,p029
0.93538,1.3371e-14,p030
0.90624,4.4081e-05,p031
0.80327,1.1683e-11,p032
1.0288,2.0748e-05,p033
1.0704,6.3756e-11,p034
1.0152,1.4671e-10,p035
1.0556,1.1322e-06,p036
1.0485,5.5343e-11,p037
0.91391,7.7653e-13,p038
1.0004,6.9307e-12,p039
1.0443,1.0159e-12,p040
1.0874,4.256e-06,p041
1.1193,1.1257e-08,p042
0.9575,3.6655e-14,p043
1.1822,5.1326e-12,p044
1.1554,7.3577e-06,p045
1.1929,1.1858e-05,p046
1.161,1.2664e-13,p047
0.84126,1.8067e-06,p048
0.95007,1.6734e-11,p049
1.0891,1.9327e-08,p050
0.88637,6.1555e-07,p051
0.81599,1.8202e-10,p052
0.94305,0.00039325,p053
0.97928,2.9245e-14,p054
0.87313,7.1319e-08,p055
0.8466,7.6098e-14,p056
1.0221,1.9867e-06,p057
1.0413,7.7146e-11,p058
1.0356,5.7192e-05,p059
1.1211,5.4827e-15,p060
0.87972,6.3783e-10,p061
0.92013,1.0828e-12,p062
1.0832,2.2855e-07,p063
0.9919,1.6902e-05,p064
1.167,2.8462e-10,p065
1.0398,1.0803e-05,p066
0.91003,4.0401e-06,p067
1.1072,9.7217e-10,p068
0.92508,6.0139e-13,p069
1.1496,7.5391e-10,p070
0.811,5.4528e-09,p071
1.0736,3.8101e-11,p072
1.1725,1.7993e-14,p073
0.82307,1.1085e-07,p074
1.1462,8.0757e-09,p075
0.96874,6.8465e-09,p076
0.85571,2.7892e-06,p077
0.80698,0.00013872,p078
0.83607,4.3371e-09,p079
0.96437,3.5158e-05,p080
0.96299,1.1989e-07,p081
1.1089,0.00021139,p082
1.1767,2.5224e-11,p083
0.99505,4.2317e-08,p084
1.012,2.2834e-08,p085
1.1307,3.7325e-12,p086
1.172,4.9557e-08,p087
0.86602,9.8799e-14,p088
1.0266,2.3697e-13,p089
0.82875,6.1589e-06,p090
0.83233,4.1412e-10,p091
1.0063,9.8045e-11,p092
0.86954,0.00029256,p093
0.94552,3.6538e-13,p094
0.89125,3.2416e-07,p095
1.1381,2.1804e-09,p096
1.0639,4.248e-13,p097
1.1035,0.00010449,p098
1.0936,8.2251e-15,p099
0.99838,2.6275e-07,p100
