wind_speed,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
1.0951,0.10195,0.041842,0.0071883,p0001
1.0657,0.13431,0.3007,0.0029086,p0002
1.0648,0.19296,0.13236,0.0052438,p0003
0.83683,0.15388,0.093832,0.0072071,p0004
1.029,0.18706,0.050409,0.0025616,p0005
1.0478,0.1363,0.1671,0.00495,p0006
1.0377,0.16354,0.17138,0.0038447,p0007
0.81571,0.10321,0.052908,0.0029776,p0008
1.0233,0.13572,0.096214,0.0037678,p0009
0.83214,0.16217,0.039781,0.0035298,p0010
0.82817,0.18046,0.11404,0.0085894,p0011
0.90551,0.14713,0.18525,0.0043217,p0012
0.81176,0.18104,0.055836,0.00026391,p0013
1.0677,0.15628,0.21288,0.0017458,p0014
1.1346,0.10386,0.14426,0.0022726,p0015
1.0283,0.11145,0.054594,0.0029373,p0016
0.98328,0.12985,0.27213,0.00071699,p0017
1.0202,0.14015,0.015099,0.0020017,p0018
0.84764,0.18893,0.1224,0.0022795,p0019
0.91755,0.14538,0.25888,0.0050395,p0020
0.9415,0.11441,0.25072,0.0053022,p0021
1.0619,0.15514,0.1037,0.0073239,p0022
0.84152,0.15574,0.14294,0.0017896,p0023
1.1809,0.14458,0.14624,0.0039724,p0024
0.96504,0.13068,0.071034,0.0028255,p0025
1.1696,0.11194,0.14545,0.006266,p0026
0.83453,0.11261,0.27744,0.0089717,p0027
1.0818,0.10602,0.093775,0.0039069,p0028
1.0241,0.18598,0.013064,0.004842,p0029
0.87005,0.10239,0.11611,0.007164,p0030
1.0634,0.13356,0.072403,0.0046933,p0031
0.80878,0.12124,0.22563,0.0059721,p0032
0.85459,0.19318,0.28068,0.0065786,p0033
1.1031,0.19044,0.28707,0.008819,p0034
1.1863,0.18307,0.1172,0.0024333,p0035
0.85866,0.17545,0.27025,0.0021174,p0036
0.97423,0.10907,0.25553,0.0046656,p0037
1.1945,0.1021,0.042258,0.0025855,p0038
1.0073,0.19953,0.13716,0.0020614,p0039
0.97722,0.19131,0.13895,0.0051267,p0040
1.0541,0.12144,0.26354,0.0077762,p0041
1.0553,0.17716,0.22851,0.0020897,p0042
0.87783,0.14943,0.25982,0.0023462,p0043
1.0835,0.19901,0.1302,0.003023,p0044
1.0851,0.10571,0.18421,0.005147,p0045
1.1499,0.1181,0.28519,0.00045544,p0046
1.005,0.12267,0.14034,0.0077902,p0047
1.1019,0.12901,0.23048,0.00087246,p0048
1.0812,0.10859,0.13304,0.0032006,p0049
0.91335,0.1661,0.024845,0.0036278,p0050
0.93008,0.19874,0.18115,0.0014714,p0051
1.0269,0.13597,0.038374,0.00036312,p0052
1.0892,0.12886,0.16929,0.0065835,p0053
1.0507,0.13668,0.048701,0.0017089,p0054
0.80288,0.13214,0.097524,0.0019398,p0055
1.0324,0.12528,0.1944,0.0082496,p0056
0.83575,0.18079,0.043163,0.007,p0057
1.0752,0.11022,0.1981,0.0078845,p0058
0.87156,0.19243,0.17395,0.0061664,p0059
1.0884,0.10556,0.27618,0.0068127,p0060
0.91958,0.19391,0.081907,0.0001358,p0061
1.1558,0.11499,0.28575,0.0016175,p0062
1.0963,0.19813,0.083583,0.0058811,p0063
0.95963,0.14105,0.28771,0.0021413,p0064
1.1166,0.11913,0.24377,0.0035838,p0065
0.96821,0.14605,0.13864,0.0070234,p0066
1.0697,0.11168,0.19859,0.0044599,p0067
0.89605,0.12497,0.14141,0.0015372,p0068
0.90628,0.19974,0.16456,0.0073752,p0069
1.0981,0.18419,0.14091,0.00058269,p0070
1.0104,0.14137,0.29046,0.0054158,p0071
0.90096,0.16566,0.24318,0.0063876,p0072
0.8997,0.19065,0.12664,0.0029303,p0073
1.1517,0.17024,0.13554,0.001658,p0074
0.82382,0.19744,0.0094405,0.0071718,p0075
0.90034,0.19852,0.23504,0.0021835,p0076
0.87056,0.15943,0.13684,0.0053638,p0077
1.172,0.1314,0.29113,0.00087035,p0078
1.1132,0.12963,0.22144,0.0049115,p0079
1.1414,0.15667,0.21082,0.0088377,p0080
0.86343,0.17567,0.23705,0.0089358,p0081
1.1174,0.13954,0.1799,0.0020454,p0082
1.0616,0.1344,0.28007,0.0026378,p0083
0.86118,0.16758,0.21606,0.0040345,p0084
1.1118,0.11259,0.06762,0.0028743,p0085
1.1598,0.16388,0.25386,0.0035201,p0086
0.92466,0.17332,0.15272,0.0078226,p0087
1.0094,0.17633,0.04911,0.0074657,p0088
1.1107,0.1529,0.22988,0.0010472,p0089
0.90955,0.10281,0.18914,0.005538,p0090
0.97126,0.14736,0.24435,0.00098882,p0091
1.0766,0.14411,0.2219,0.0089568,p0092
1.14,0.11735,0.15398,0.003239,p0093
1.0403,0.1689,0.17569,0.0009731,p0094
0.96001,0.18329,0.23791,0.0013379,p0095
1.1746,0.13009,0.20542,0.0039962,p0096
0.97648,0.133,0.22503,0.00042422,p0097
0.91427,0.10805,0.21044,0.0044795,p0098
0.89913,0.17644,0.071554,0.0052566,p0099
