wind_speed,swr,fetch_lk,c_relax_C,par_id
1.1732,0.87255,57721,0.031206,p0001
0.9574,0.96075,37693,0.037115,p0002
0.86361,1.017,70429,0.042348,p0003
0.8282,1.1599,68854,0.026838,p0004
1.1918,0.93514,36405,0.00064772,p0005
0.88097,0.83827,25674,0.021046,p0006
1.0461,0.94217,16690,0.069414,p0007
1.127,1.0528,50848,0.088521,p0008
0.86633,0.81223,32376,0.066693,p0009
1.1462,1.0117,18650,0.0040519,p0010
1.05,0.8572,1291.8,0.055328,p0011
1.196,1.1783,51270,0.049115,p0012
0.89154,1.1394,36084,0.022801,p0013
1.0965,0.88451,14081,0.057351,p0014
1.1059,0.86363,65336,0.049803,p0015
0.96428,1.0251,19045,0.093565,p0016
0.89971,0.82564,20158,0.024739,p0017
0.8047,0.9679,70273,0.044387,p0018
0.89886,1.1651,6676.8,0.018061,p0019
0.85104,1.0677,59871,0.026329,p0020
0.93823,1.0041,33476,0.0635,p0021
0.85827,1.0973,68089,0.072449,p0022
0.84723,1.1941,13579,0.086653,p0023
0.96081,1.033,38176,0.056785,p0024
0.90957,1.0192,74296,0.014583,p0025
1.0208,1.0241,29073,0.0030839,p0026
0.90793,0.90755,59306,0.03556,p0027
1.0957,0.82076,29923,0.015592,p0028
0.83971,1.0221,67248,0.0044515,p0029
0.9002,0.91337,15615,0.028149,p0030
0.97855,0.91638,16292,0.069113,p0031
1.0623,0.99533,40150,0.072249,p0032
1.1707,1.2,43345,0.013379,p0033
0.91342,0.85464,48679,0.099901,p0034
1.0297,0.97753,60434,0.012026,p0035
0.81051,1.1161,71605,0.090144,p0036
0.88307,0.96653,13459,0.096254,p0037
0.9651,1.0771,66252,0.045271,p0038
1.1869,1.0645,60342,0.052018,p0039
0.87435,0.80708,27395,0.095722,p0040
0.9905,0.98435,39880,0.044979,p0041
0.83019,0.91127,54476,0.020442,p0042
1.16,0.93393,23789,0.056327,p0043
0.89675,0.98557,65890,0.041419,p0044
0.90868,0.96399,23205,0.046893,p0045
1.0286,0.98878,69246,0.023386,p0046
