wind_speed,swr,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
1.0286,0.89179,2.2659e-06,2.5604,0.69599,0.78572,p001
0.97616,0.70933,2.5065e-08,3.1887,0.58174,0.70204,p002
0.88606,0.84183,1.5486e-11,0.54563,0.62861,0.75019,p003
0.9427,0.94463,8.8503e-10,1.5087,0.63761,1.0311,p004
1.0722,0.83294,1.0732e-08,2.9655,0.49129,0.85532,p005
0.82301,0.82948,0.00015655,3.0124,0.44652,0.99268,p006
1.1996,0.91512,1.4166e-14,1.9213,0.78654,0.97016,p007
0.83728,0.94891,1.3024e-05,2.0455,0.42233,0.74121,p008
1.0164,0.90716,2.9055e-07,0.93677,0.55897,0.93571,p009
1.1291,0.80373,2.2321e-14,1.8564,0.53448,0.72354,p010
1.1849,0.93995,1.9263e-10,3.076,0.49524,0.8958,p011
1.0611,0.97041,2.5734e-10,1.4873,0.70312,1.0329,p012
0.91224,0.81542,2.3013e-09,1.6384,0.59922,0.87805,p013
1.1044,0.96375,5.386e-05,0.73193,0.42892,1.039,p014
1.1462,0.79618,1.1096e-05,1.6057,0.48088,0.77259,p015
1.0599,0.98828,1.9451e-12,1.975,0.4547,0.99061,p016
1.1521,0.73795,1.4172e-12,1.5568,0.52938,0.8759,p017
0.92617,0.87778,1.8207e-11,2.9524,0.45821,0.81736,p018
0.85716,0.92838,1.2654e-06,3.3452,0.43964,1.0215,p019
0.90596,0.89859,2.3503e-11,0.99369,0.7754,0.82395,p020
1.1682,0.79353,6.8845e-15,1.1401,0.57833,0.93105,p021
0.90993,0.86638,4.9006e-06,1.3565,0.67013,0.8107,p022
1.0682,0.99736,4.7509e-13,2.7524,0.79634,0.94374,p023
1.1789,0.94914,3.3334e-06,0.90202,0.41452,0.78846,p024
1.0557,0.93612,1.0359e-12,2.0108,0.58632,0.89122,p025
0.94831,0.97826,1.2804e-09,3.4012,0.62432,0.96695,p026
0.81484,0.75217,2.2043e-05,1.6445,0.52616,0.92003,p027
1.0147,0.73127,3.7494e-11,2.3043,0.60889,0.72608,p028
1.1338,0.8229,3.9337e-05,2.8029,0.76442,0.9995,p029
0.95553,0.90538,9.1913e-14,0.6785,0.44923,1.0709,p030
0.90143,0.86091,9.2371e-05,3.3136,0.40207,1.046,p031
1.0479,0.99614,7.1978e-10,1.5238,0.67652,1.0951,p032
1.1433,0.95685,2.0801e-07,1.4438,0.47676,0.89945,p033
1.0766,0.75946,1.8271e-13,2.8655,0.50858,1.0246,p034
1.0256,0.91779,2.536e-13,2.4459,0.68174,0.75247,p035
0.99478,0.7885,1.5381e-08,2.2889,0.64472,0.82853,p036
0.82407,0.8833,7.5939e-12,1.2676,0.6852,0.76241,p037
0.8661,0.79248,1.1667e-13,3.2204,0.71957,0.84031,p038
0.85461,0.72972,3.1886e-09,2.5164,0.67218,1.0018,p039
1.0079,0.89219,5.059e-07,0.80965,0.4268,0.86319,p040
1.1736,0.81853,4.2394e-14,2.0678,0.54498,1.006,p041
0.96059,0.85672,4.9239e-11,3.138,0.58853,0.7828,p042
1.1642,0.88058,2.8259e-05,1.32,0.54302,0.90541,p043
1.1902,0.77308,1.6347e-06,0.96751,0.43219,1.0867,p044
1.0027,0.76299,7.5243e-08,2.2339,0.61882,0.9037,p045
0.83293,0.99225,7.9469e-05,3.0463,0.76915,0.74571,p046
0.93557,0.84441,6.2335e-07,1.1019,0.71232,0.83574,p047
1.1367,0.83578,4.1824e-12,2.155,0.55008,0.70627,p048
0.9199,0.76952,8.8751e-09,3.2469,0.6489,0.94617,p049
1.0856,0.9105,4.9746e-05,1.817,0.46218,0.92554,p050
1.1123,0.925,1.0349e-09,3.0985,0.72793,1.0654,p051
0.87786,0.7475,3.8993e-10,2.3653,0.74776,0.87026,p052
0.84485,0.98369,1.1244e-07,2.2456,0.7307,0.79438,p053
1.1237,0.82894,1.3898e-13,0.63251,0.70879,1.0909,p054
0.87411,0.76808,2.7572e-14,2.1892,0.79266,0.91108,p055
0.93973,0.70048,6.986e-08,2.9107,0.5671,0.73367,p056
0.81187,0.72471,1.5278e-10,1.7202,0.79167,0.86403,p057
1.162,0.72011,2.808e-08,3.4736,0.46619,1.0626,p058
0.98107,0.82315,5.26e-15,1.2062,0.64009,1.0173,p059
0.96692,0.8702,1.2406e-10,0.69499,0.50765,0.91476,p060
1.0508,0.85028,1.027e-11,2.7043,0.75029,1.057,p061
0.98884,0.9415,1.0244e-06,2.6546,0.70429,0.76785,p062
0.86043,0.71388,0.0002959,1.688,0.6909,0.85155,p063
0.95859,0.86433,5.6069e-09,2.105,0.69875,0.71597,p064
1.0391,0.70328,7.4125e-11,2.4999,0.40719,0.76812,p065
0.89452,0.72275,4.8971e-14,2.3578,0.56929,0.9164,p066
1.0666,0.77596,6.5044e-09,1.0769,0.44316,0.97527,p067
1.1264,0.74907,1.1168e-14,0.76355,0.6658,0.81399,p068
1.0424,0.85433,9.6475e-12,2.4144,0.41949,0.80385,p069
1.0332,0.76447,4.3681e-08,2.4521,0.47413,0.82707,p070
0.94702,0.81393,6.9409e-06,2.7488,0.73618,0.79837,p071
1.1953,0.89695,3.0939e-06,2.6721,0.66282,1.0809,p072
0.84199,0.70803,3.9098e-07,3.2776,0.46834,0.88509,p073
1.0803,0.96977,1.6301e-08,3.453,0.62292,0.98018,p074
0.89761,0.78133,4.0485e-08,2.1464,0.77821,0.97928,p075
0.80147,0.75576,2.7408e-10,0.59959,0.63364,0.85625,p076
1.0102,0.8406,0.00011682,1.41,0.51383,0.83762,p077
0.98438,0.87635,0.00020644,3.1404,0.75873,0.98413,p078
0.81811,0.92429,7.7608e-07,2.8136,0.53836,0.75639,p079
1.0916,0.78487,5.9345e-06,1.1602,0.48716,0.96014,p080
0.99675,0.74454,0.00036144,0.52396,0.74387,0.93655,p081
1.1164,0.87107,3.5681e-12,1.2492,0.60791,0.71882,p082
0.87135,0.95229,4.4917e-10,0.87739,0.51669,0.95336,p083
0.88098,0.77889,5.3479e-12,1.9522,0.56339,0.95083,p084
0.93192,0.80992,7.7999e-11,0.79039,0.76258,1.0504,p085
0.83041,0.8064,0.00041751,1.7666,0.60137,1.0557,p086
0.97564,0.9034,8.2479e-13,2.5987,0.73252,0.73013,p087
