wind_speed,mixing/coef_mix_hyp,light/Kw,par_id
0.86967,6.5492e-05,0.4567,p001
0.97309,9.5814e-05,0.36434,p002
0.8179,4.3535e-05,0.79518,p003
0.90153,7.2687e-05,0.23967,p004
0.90451,7.7886e-05,0.33268,p005
1.0497,8.9139e-06,0.44251,p006
0.92069,8.7404e-05,0.69073,p007
1.0094,1.0121e-05,0.70953,p008
0.96675,5.9154e-05,0.61375,p009
0.97942,4.6835e-05,0.28121,p010
1.1983,2.9891e-05,0.25928,p011
0.91311,8.8978e-05,0.65191,p012
0.94499,9.9085e-05,0.63949,p013
1.0808,7.1769e-05,0.21119,p014
1.061,8.3274e-05,0.39529,p015
0.8085,4.0078e-05,0.5645,p016
0.88323,5.4736e-05,0.26219,p017
1.189,5.3363e-05,0.48613,p018
1.0034,8.5967e-05,0.57707,p019
1.1415,2.5485e-05,0.5129,p020
0.89151,2.0924e-05,0.76875,p021
0.95685,3.7835e-05,0.29363,p022
1.1814,9.2469e-05,0.65865,p023
1.159,3.7552e-06,0.59934,p024
1.1102,4.4785e-05,0.74302,p025
0.9426,6.96e-05,0.42546,p026
0.8448,5.803e-05,0.50112,p027
0.879,7.8574e-05,0.30049,p028
1.1682,6.1569e-05,0.22859,p029
1.0232,8.0945e-05,0.69943,p030
1.0299,2.7802e-05,0.39028,p031
0.83244,3.0346e-05,0.37907,p032
1.1506,6.2616e-07,0.63004,p033
0.85784,6.2769e-05,0.4993,p034
1.0414,5.1961e-06,0.42989,p035
0.85442,2.2125e-05,0.5432,p036
1.0926,1.9362e-05,0.53467,p037
1.1344,6.6303e-06,0.34697,p038
1.1619,7.5701e-05,0.32567,p039
1.1033,3.4893e-05,0.72983,p040
0.82816,1.6699e-05,0.78087,p041
0.99684,3.3165e-05,0.21334,p042
1.0385,3.9822e-05,0.67549,p043
1.0654,5.0192e-05,0.71944,p044
1.0787,9.0176e-05,0.76343,p045
0.98522,1.3687e-05,0.31909,p046
1.1135,1.4999e-05,0.59584,p047
0.80791,6.7717e-05,0.47401,p048
0.93323,4.8718e-05,0.55437,p049
1.1274,9.666e-05,0.40449,p050
