wind_speed,swr,a_seiche,par_id
0.82459,0.80121,0.11841,p001
1.1601,0.87425,0.051784,p002
0.91656,0.9724,0.25912,p003
1.1509,0.97764,0.006123,p004
1.0543,0.8149,0.17683,p005
1.0843,0.85212,0.077698,p006
0.84034,0.84179,0.015635,p007
1.0213,0.83435,0.16101,p008
0.97883,0.91406,0.02453,p009
1.0083,0.99684,0.13883,p010
1.1157,1.0016,0.10408,p011
1.0798,0.83754,0.23716,p012
0.80598,0.9293,0.16369,p013
1.1771,0.93952,0.19398,p014
1.1932,0.81876,0.23267,p015
0.80875,0.86396,0.18795,p016
0.82239,0.92689,0.25157,p017
1.1081,0.87665,0.25646,p018
0.85765,0.85962,0.057487,p019
1.0385,0.86808,0.091477,p020
1.1867,0.89258,0.16969,p021
0.88009,0.80516,0.11384,p022
0.94554,1.0029,0.069797,p023
1.0032,0.9353,0.06469,p024
0.96585,0.98313,0.12303,p025
0.95729,0.81259,0.28863,p026
0.83289,0.94992,0.29825,p027
0.92775,0.89138,0.221,p028
1.1275,1.0122,0.1548,p029
1.0403,0.90146,0.038474,p030
1.1288,0.96125,0.20753,p031
1.0631,0.8561,0.26584,p032
1.0919,0.98615,0.21125,p033
1.1572,0.96896,0.18327,p034
1.0661,1.0072,0.1368,p035
0.89843,0.9663,0.2872,p036
0.99504,0.9166,0.24288,p037
1.1691,0.8986,0.085855,p038
1.0997,0.82255,0.003828,p039
0.93471,0.88155,0.096699,p040
0.99036,0.94939,0.12821,p041
0.90996,0.91974,0.019048,p042
1.027,0.90752,0.22233,p043
0.87076,1.0158,0.27648,p044
0.94289,0.84733,0.033398,p045
0.85128,0.82987,0.046555,p046
0.89146,0.98921,0.20095,p047
0.97217,0.95767,0.083964,p048
0.87831,0.8846,0.14857,p049
1.1373,0.94123,0.27099,p050
