wind_speed,swr,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
1.0374,0.87832,0.14664,0.13271,0.0023585,p001
1.103,0.85727,0.13638,0.083,0.0058629,p002
1.1686,0.9012,0.13279,0.057192,0.0072262,p003
1.1596,1.1007,0.18647,0.042036,9.4365e-05,p004
1.0174,1.1291,0.15362,0.18401,0.0069368,p005
0.94983,1.0079,0.11492,0.1991,0.0071483,p006
0.87211,0.84222,0.16098,0.19388,0.0039521,p007
0.94498,1.0186,0.1113,0.085693,0.0018076,p008
0.82374,0.88622,0.14896,0.24525,0.00051561,p009
0.98703,1.0353,0.1944,0.18226,0.007512,p010
1.0156,1.1901,0.13325,0.25554,0.0056043,p011
1.1402,1.1674,0.12067,0.25634,0.0087507,p012
1.1459,1.1093,0.10879,0.20099,0.0057686,p013
0.85336,0.86268,0.14141,0.046916,0.0022326,p014
0.96718,0.88146,0.19567,0.16327,0.0053828,p015
0.87087,0.89791,0.13786,0.096907,0.0055986,p016
1.1182,1.1273,0.14245,0.17512,0.007991,p017
0.82994,0.93781,0.15577,0.13593,0.001118,p018
1.0643,0.82366,0.19334,0.023029,0.0040884,p019
0.97139,0.94571,0.10087,0.06678,0.0049117,p020
0.84805,1.1934,0.17923,0.25904,0.00024582,p021
0.89726,1.1994,0.11298,0.12214,0.0051134,p022
0.80543,0.95653,0.15203,0.028826,0.0077052,p023
0.81876,0.97569,0.16332,0.13904,0.0027178,p024
1.108,1.0275,0.1615,0.22077,0.0061199,p025
0.99417,0.90412,0.17568,0.15981,0.0016718,p026
0.87799,0.9522,0.13848,0.15046,0.0014348,p027
0.90188,1.0814,0.15197,0.30241,0.0053039,p028
0.81138,1.0449,0.18266,0.28459,0.0020731,p029
1.0012,0.84498,0.15895,0.11884,0.0059586,p030
1.1267,0.83349,0.13066,0.23977,0.0029469,p031
1.162,0.89194,0.12871,0.1066,0.0025084,p032
1.1116,0.9632,0.10909,0.070734,0.0025935,p033
0.81425,1.1752,0.10641,0.14085,0.0033832,p034
0.86058,0.97851,0.12368,0.21223,0.0012349,p035
0.97929,0.92416,0.10187,0.29344,0.0034978,p036
1.0621,1.1502,0.18509,0.27829,0.0045246,p037
1.1358,0.99849,0.13974,0.2319,0.0033254,p038
0.98372,1.0782,0.10372,0.049264,0.0010239,p039
1.0689,0.82756,0.14789,0.044545,0.0028731,p040
0.92666,0.90841,0.17799,0.11051,0.0081617,p041
1.0429,0.85565,0.13464,0.15244,0.0078351,p042
1.0981,1.0681,0.18119,0.21792,0.0054322,p043
1.054,0.86937,0.18332,0.26864,0.0048546,p044
1.0217,1.0128,0.10202,0.080187,0.00064566,p045
1.1853,1.0418,0.12595,0.0088221,0.0030765,p046
1.1977,1.1127,0.16722,0.013205,0.008404,p047
0.80213,1.1763,0.12914,0.13021,0.0077488,p048
1.1898,0.86459,0.18729,0.02099,0.0019894,p049
1.179,0.80735,0.19253,0.038172,0.004717,p050
0.92361,1.0224,0.19806,0.075546,0.008593,p051
1.082,1.1349,0.16287,0.20577,0.0049805,p052
0.99057,1.1875,0.16545,0.10217,0.0074393,p053
1.0847,1.181,0.10758,0.24897,0.0044041,p054
1.0512,1.0741,0.11017,0.19631,0.0083028,p055
0.89458,1.1639,0.14365,0.011761,0.0043186,p056
1.1733,0.87534,0.19126,0.26675,0.0066848,p057
1.0073,0.93134,0.11374,0.14624,0.0031849,p058
0.8591,1.106,0.1644,0.29959,0.00055272,p059
1.0271,0.99138,0.10457,0.22297,0.00035785,p060
0.91924,0.93589,0.18867,0.11866,0.006928,p061
1.1372,0.83116,0.18499,0.24315,0.0088772,p062
1.0289,0.96721,0.10588,0.21524,0.00076615,p063
0.97494,1.0094,0.14085,0.19176,0.0013613,p064
0.90563,0.83962,0.14487,0.14332,0.0012895,p065
0.84266,0.81919,0.1184,0.032517,0.0046206,p066
0.88451,0.85075,0.16969,0.0337,0.0036468,p067
1.0957,0.98291,0.18916,0.29223,0.0080199,p068
1.0357,1.0912,0.12409,0.063361,0.0076005,p069
0.88061,0.99558,0.16869,0.18853,0.0067801,p070
1.0565,1.1704,0.19643,0.025191,0.0017583,p071
1.0907,1.1414,0.17304,0.28719,0.008244,p072
0.92801,0.916,0.17879,0.093653,0.0040931,p073
1.0768,0.92328,0.1702,0.12731,0.0024401,p074
1.1952,0.80125,0.12603,0.1663,0.0002771,p075
1.0113,0.81506,0.19714,0.27681,0.0070311,p076
0.95825,1.1371,0.15448,0.20731,0.0035912,p077
0.95454,1.0287,0.15695,0.298,0.0028285,p078
1.1283,1.0553,0.12141,0.0051455,0.0062936,p079
1.113,1.0365,0.17226,0.30461,0.0019394,p080
0.86557,1.0982,0.12723,0.22795,0.008658,p081
1.1527,1.1595,0.11737,0.2299,0.0073686,p082
0.83557,1.1233,0.13558,0.10515,0.0051917,p083
0.8382,1.0921,0.17604,0.11318,0.0042088,p084
0.91275,1.0596,0.17404,0.076175,0.0038019,p085
0.88804,1.0859,0.16602,0.099824,0.005869,p086
0.99679,1.0019,0.11667,0.053743,0.0089625,p087
1.1824,1.1453,0.11505,0.01626,0.0032705,p088
1.1207,0.96899,0.13198,0.17894,0.0085103,p089
1.0456,0.94965,0.19024,0.26337,0.00083281,p090
0.94135,1.1175,0.14987,0.25224,0.00089036,p091
0.93648,1.1542,0.17101,0.088388,0.0015893,p092
0.96201,0.91706,0.15034,0.16765,0.0063221,p093
0.8466,0.8091,0.19992,0.15735,0.0046398,p094
0.93376,1.0504,0.15759,0.17259,0.002156,p095
1.1516,0.98459,0.14597,0.28157,0.0064035,p096
1.1644,1.0679,0.18099,0.2737,0.0066653,p097
0.82525,1.0609,0.11977,0.06836,0.0065557,p098
0.90992,0.94322,0.15972,0.059989,0.0061955,p099
1.0731,0.89221,0.1223,0.23717,0.0038283,p100
