wind_speed,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
1.1878,0.15461,0.21765,0.0082198,p0001
1.186,0.19141,0.22313,0.0021794,p0002
0.99021,0.14451,0.10331,0.0069811,p0003
0.903,0.15246,0.1498,0.0055016,p0004
0.83443,0.17945,0.19978,0.0015753,p0005
0.82092,0.11651,0.11953,0.0020124,p0006
0.91902,0.13329,0.17772,0.0074369,p0007
0.8434,0.11484,0.24097,0.0056091,p0008
0.81892,0.19366,0.080866,0.0029914,p0009
0.9296,0.1793,0.2103,0.0049377,p0010
0.92602,0.13448,0.17127,0.0081014,p0011
0.95601,0.15773,0.072154,0.0081895,p0012
1.0241,0.14488,0.1587,0.0017292,p0013
1.0567,0.10832,0.074184,0.0048575,p0014
0.90419,0.14092,0.28622,0.0051726,p0015
0.91143,0.18921,0.060048,0.0010206,p0016
0.97507,0.11206,0.235,0.0075679,p0017
0.87877,0.12346,0.17103,0.006411,p0018
0.90337,0.16165,0.30656,0.00023391,p0019
0.90896,0.11125,0.12147,0.0035121,p0020
1.0866,0.19678,0.015124,0.0061787,p0021
1.1141,0.14046,0.18866,0.00098501,p0022
1.1323,0.16988,0.10762,0.0027352,p0023
1.1191,0.14369,0.2962,0.00048871,p0024
0.95041,0.16374,0.10031,0.0012647,p0025
0.80076,0.19201,0.13688,0.0047639,p0026
1.1911,0.18548,0.18336,0.0026727,p0027
1.0921,0.17473,0.034243,0.0068147,p0028
0.93054,0.14382,0.028242,0.0082026,p0029
1.1411,0.10659,0.086108,0.0024011,p0030
1.1915,0.19616,0.24767,0.0054197,p0031
0.81362,0.17009,0.20576,0.0067746,p0032
1.0444,0.18168,0.079023,0.0071173,p0033
0.96306,0.17149,0.26263,0.0083601,p0034
0.87082,0.10004,0.23403,0.00084326,p0035
1.1768,0.11903,0.30189,0.0034831,p0036
0.8836,0.15314,0.30061,0.0052016,p0037
0.90049,0.10613,0.15255,0.0028188,p0038
0.84116,0.15624,0.18672,0.008121,p0039
0.88013,0.14589,0.16146,0.005276,p0040
0.86518,0.19284,0.0057207,0.0011513,p0041
0.88622,0.12796,0.1857,0.0031575,p0042
0.93569,0.16185,0.14874,0.0037012,p0043
0.85672,0.15868,0.21371,0.0013003,p0044
1.1672,0.15786,0.2701,0.0050919,p0045
0.9176,0.13526,0.27873,0.005449,p0046
0.92071,0.19254,0.027351,0.0066859,p0047
1.0089,0.16695,0.086726,0.0051488,p0048
0.89569,0.1478,0.10645,0.0046023,p0049
0.98835,0.14675,0.27286,0.0082869,p0050
1.0312,0.17491,0.23368,0.0010026,p0051
1.173,0.18711,0.11402,0.0029436,p0052
1.1852,0.13949,0.059649,0.0067415,p0053
0.85406,0.12694,0.12024,0.0027783,p0054
1.0123,0.14339,0.29412,0.0083781,p0055
0.98601,0.17646,0.27212,0.0018426,p0056
1.0042,0.13361,0.28231,0.0086054,p0057
1.0948,0.17225,0.23118,0.0056439,p0058
1.0897,0.18372,0.2503,0.0065533,p0059
1.1351,0.11391,0.096051,0.0059075,p0060
0.90821,0.16903,0.04453,0.0019355,p0061
1.1371,0.16749,0.11293,0.0034642,p0062
0.80132,0.10731,0.19558,0.0079475,p0063
1.0709,0.19023,0.21504,0.0023629,p0064
1.0366,0.13406,0.095048,0.004477,p0065
0.89155,0.16819,0.3001,0.0016895,p0066
1.1213,0.16585,0.020287,0.002081,p0067
1.0781,0.12363,0.10065,0.0063965,p0068
1.0408,0.18738,0.18714,0.0030761,p0069
1.1083,0.16511,0.26445,0.0036296,p0070
1.1401,0.17875,0.11681,0.0039693,p0071
0.91683,0.17602,0.033616,0.0001006,p0072
0.87205,0.12394,0.07738,0.0070588,p0073
1.0227,0.17994,0.24491,0.00041518,p0074
0.80826,0.14405,0.16023,0.0025169,p0075
1.1517,0.1125,0.18783,0.0021565,p0076
0.82521,0.1128,0.067103,0.0021012,p0077
1.0918,0.18965,0.22225,0.0043231,p0078
0.96464,0.12981,0.28782,0.0036985,p0079
1.1793,0.12895,0.022739,0.0018708,p0080
0.83852,0.17405,0.046966,0.0062555,p0081
1.0416,0.15578,0.25002,0.0076523,p0082
0.92385,0.1004,0.22401,0.0027969,p0083
1.0115,0.1769,0.25274,0.0059614,p0084
0.80784,0.19717,0.030234,0.0075239,p0085
0.99277,0.18631,0.2534,0.0023193,p0086
1.0074,0.15539,0.25506,0.007011,p0087
1.0111,0.16229,0.29181,0.0044439,p0088
0.94063,0.10929,0.055745,0.0076763,p0089
0.96197,0.14545,0.17694,0.0087452,p0090
1.008,0.16349,0.065753,0.0079526,p0091
0.92204,0.18654,0.11488,0.0026136,p0092
0.88947,0.17514,0.011789,0.0010324,p0093
1.0008,0.11039,0.10873,0.0072824,p0094
1.1476,0.18026,0.074848,0.0040281,p0095
0.85069,0.18118,0.20815,0.0087705,p0096
1.1286,0.11755,0.26636,0.0053248,p0097
1.028,0.13422,0.19235,0.0069238,p0098
0.81666,0.16015,0.088326,0.0041752,p0099
1.0614,0.13845,0.012253,0.0069956,p0100
0.95701,0.16406,0.085826,0.00072721,p0101
1.1236,0.14816,0.26493,0.001973,p0102
0.8027,0.16852,0.13305,0.0045599,p0103
0.92439,0.14283,0.016123,0.0014015,p0104
1.1304,0.13201,0.16931,0.0046511,p0105
0.99994,0.16896,0.21469,0.0089491,p0106
0.81795,0.17037,0.093668,0.0067118,p0107
0.83612,0.17288,0.038396,0.0041276,p0108
1.0524,0.15012,0.021326,0.0028575,p0109
1.1943,0.12232,0.19452,0.0078874,p0110
0.80947,0.11449,0.090337,0.0083061,p0111
1.1425,0.17214,0.24131,0.00031438,p0112
1.1691,0.12941,0.040223,0.0060629,p0113
0.88729,0.12114,0.14717,0.0025751,p0114
1.0857,0.16488,0.19507,0.0011773,p0115
1.1063,0.14611,0.16612,0.0019525,p0116
1.1776,0.17179,0.063687,0.0044147,p0117
0.97676,0.19079,0.25932,0.0038197,p0118
1.1534,0.15266,0.19656,0.0041605,p0119
0.95439,0.19542,0.22776,0.0050079,p0120
1.0905,0.14919,0.099859,0.0035546,p0121
0.86402,0.17819,0.14762,0.0080195,p0122
1.1714,0.12416,0.17415,0.0010887,p0123
0.98291,0.19097,0.27398,0.0053672,p0124
0.95915,0.12569,0.19072,0.0045438,p0125
0.90726,0.1542,0.18997,0.0077007,p0126
1.1202,0.11362,0.01091,0.0073641,p0127
0.93675,0.13284,0.082032,0.0084453,p0128
1.0785,0.11697,0.21142,0.00094225,p0129
1.0855,0.1785,0.28355,0.0085255,p0130
1.1179,0.13665,0.30414,0.0069048,p0131
0.85453,0.13923,0.21889,0.0007552,p0132
1.0168,0.15589,0.075921,0.0017815,p0133
0.99494,0.18063,0.2224,0.0032887,p0134
1.0809,0.11943,0.028018,0.0055575,p0135
0.92826,0.13024,0.2778,0.0057621,p0136
0.85335,0.12906,0.19293,0.0057371,p0137
1.0888,0.10303,0.22737,0.0071449,p0138
0.94999,0.16389,0.27906,0.00057035,p0139
1.195,0.11728,0.23564,0.0032373,p0140
1.1985,0.11783,0.15967,0.0058247,p0141
1.002,0.19863,0.27423,0.005479,p0142
0.96985,0.13056,0.0094862,0.0054706,p0143
1.1839,0.14035,0.015329,0.0038693,p0144
0.9935,0.19801,0.098085,0.0040947,p0145
0.97548,0.15122,0.023263,0.0078769,p0146
1.094,0.13503,0.025085,0.0073477,p0147
1.0164,0.11972,0.21978,0.00095919,p0148
0.84737,0.10749,0.052904,0.001234,p0149
1.1072,0.13908,0.29554,0.0047911,p0150
0.8113,0.12023,0.0080734,0.0040563,p0151
1.0802,0.1983,0.20991,0.0059025,p0152
1.0471,0.18437,0.28914,0.008858,p0153
0.98751,0.18341,0.12397,0.0040791,p0154
1.1652,0.14534,0.14625,0.0018077,p0155
0.82834,0.16822,0.16544,0.0048338,p0156
0.802,0.18141,0.16883,0.0003894,p0157
0.98688,0.17569,0.10463,0.0058096,p0158
