wind_speed,mixing/coef_mix_hyp,light/Kw,par_id
0.97422,8.8462e-05,0.28232,p0001
1.0134,2.7884e-05,0.20041,p0002
1.0838,8.8029e-05,0.25901,p0003
0.99146,1.2244e-05,0.37109,p0004
1.0624,9.5517e-05,0.30718,p0005
1.0686,4.6217e-05,0.37616,p0006
0.8138,8.1051e-06,0.28014,p0007
1.0872,2.0567e-05,0.33104,p0008
1.1523,2.8741e-05,0.26304,p0009
0.87309,1.2889e-05,0.29542,p0010
0.8612,6.4487e-05,0.28093,p0011
0.94732,4.2833e-05,0.30267,p0012
1.1134,2.3956e-05,0.28442,p0013
1.1045,8.1692e-05,0.37328,p0014
0.90945,4.3549e-05,0.36058,p0015
0.84337,6.8899e-05,0.27845,p0016
0.9189,8.5656e-05,0.3568,p0017
0.81843,8.1799e-05,0.35586,p0018
0.99919,9.2915e-05,0.22264,p0019
1.0913,6.9491e-05,0.33874,p0020
1.069,3.5774e-05,0.29317,p0021
1.0943,2.6872e-05,0.25363,p0022
1.0694,6.8779e-05,0.29704,p0023
1.0086,7.9941e-05,0.36408,p0024
0.9526,6.954e-05,0.30164,p0025
1.1271,7.5222e-05,0.34889,p0026
1.1323,7.7817e-05,0.3463,p0027
1.1851,9.0335e-05,0.24626,p0028
1.0256,6.0743e-05,0.30341,p0029
0.81803,1.281e-05,0.32301,p0030
0.96596,6.4019e-05,0.22615,p0031
0.84932,6.8036e-05,0.30701,p0032
0.97585,5.3809e-05,0.22724,p0033
0.87565,4.653e-05,0.23017,p0034
0.96032,1.4064e-05,0.36513,p0035
1.0384,4.8388e-05,0.35441,p0036
1.0261,6.0709e-06,0.24954,p0037
1.0075,4.4952e-05,0.26151,p0038
1.007,9.5355e-05,0.29106,p0039
1.0429,5.8223e-05,0.2545,p0040
0.82778,1.238e-05,0.34811,p0041
1.1959,6.9101e-05,0.206,p0042
1.1765,5.3374e-05,0.31613,p0043
0.80635,6.1249e-05,0.36746,p0044
1.03,5.1127e-05,0.33584,p0045
0.83352,3.0498e-06,0.34575,p0046
1.1612,4.3973e-05,0.34905,p0047
1.1508,2.7752e-05,0.25208,p0048
1.1406,6.9892e-06,0.36426,p0049
1.1094,5.6608e-05,0.21433,p0050
1.0848,9.0019e-05,0.32564,p0051
0.8255,7.6936e-05,0.28047,p0052
0.95105,9.2633e-05,0.31641,p0053
0.99649,2.9399e-05,0.23941,p0054
0.80786,3.0659e-05,0.36677,p0055
0.90551,6.2726e-05,0.21761,p0056
0.91436,9.0648e-05,0.32756,p0057
1.1932,4.4323e-05,0.31694,p0058
0.9555,7.9092e-05,0.31877,p0059
0.88719,3.3803e-05,0.34683,p0060
1.0179,1.3319e-07,0.36476,p0061
0.98934,5.9679e-05,0.23786,p0062
1.0719,7.594e-05,0.26286,p0063
0.89064,8.768e-05,0.30972,p0064
0.88481,8.7585e-05,0.27412,p0065
0.95647,8.2634e-05,0.32475,p0066
0.95356,4.2732e-05,0.32639,p0067
0.97084,3.7956e-05,0.3313,p0068
1.0784,3.8807e-05,0.2929,p0069
0.80109,7.7028e-05,0.28182,p0070
0.99811,5.5785e-05,0.31553,p0071
0.98407,4.242e-05,0.33882,p0072
