wind_speed,swr,turb_param/k_min,par_id
0.91856,0.90108,6.6929e-06,p001
0.82559,0.8628,2.8313e-13,p002
0.87003,0.91385,7.4554e-13,p003
1.0935,0.99315,2.0745e-11,p004
0.99646,0.80706,2.9283e-10,p005
0.98075,0.8849,7.837e-05,p006
1.1255,0.8456,7.9467e-13,p007
1.1898,0.80129,3.9105e-06,p008
1.04,1.0108,7.8975e-08,p009
0.94965,1.0148,9.2737e-15,p010
1.1761,0.97043,1.702e-13,p011
0.89955,0.81943,3.6757e-14,p012
1.0268,0.89357,4.5153e-13,p013
1.0381,0.85856,2.8752e-06,p014
1.1749,0.95572,1.9331e-05,p015
1.1532,0.82443,1.2031e-07,p016
0.8842,0.81621,2.7752e-09,p017
1.0741,0.9656,1.3167e-09,p018
0.82223,0.94155,6.0427e-14,p019
0.95258,0.83475,6.4142e-12,p020
0.84323,0.9163,1.3702e-12,p021
1.0152,0.83581,1.8682e-09,p022
0.968,0.99363,1.5909e-10,p023
1.0655,0.98453,2.1247e-07,p024
1.1318,0.98003,1.0856e-06,p025
1.06,0.87573,5.7319e-11,p026
1.1156,0.89065,3.6611e-10,p027
1.083,0.92704,5.8044e-07,p028
1.108,0.97317,2.8131e-05,p029
0.99035,0.86827,1.5735e-08,p030
0.94187,0.93475,0.00012752,p031
1.0183,0.98552,2.9946e-12,p032
0.83415,0.9079,1.4439e-14,p033
0.90979,0.81289,4.5685e-05,p034
1.0075,0.88288,8.7953e-14,p035
0.89166,0.931,9.1714e-10,p036
1.1027,0.84103,4.8992e-09,p037
0.97383,0.90335,3.6282e-11,p038
1.1982,1.0034,7.8307e-15,p039
0.8482,0.94607,0.00047273,p040
0.93299,0.85259,9.9074e-09,p041
0.81214,0.82917,1.0868e-10,p042
0.92322,0.95873,4.371e-12,p043
1.0484,0.85654,9.6595e-06,p044
0.87636,0.92012,3.1724e-08,p045
1.1434,0.93816,1.1842e-11,p046
1.146,0.87329,0.00025456,p047
1.166,1.0195,3.4917e-08,p048
0.80071,1.0004,3.7954e-07,p049
0.85609,0.95022,1.3212e-06,p050
