wind_speed,turb_param/k_min,par_id
1.1343,6.3469e-07,p001
1.0975,8.7314e-10,p002
1.0864,1.9594e-12,p003
0.8471,0.00020546,p004
1.0522,2.2066e-14,p005
1.1317,3.4036e-13,p006
0.99488,1.402e-10,p007
1.102,1.6352e-14,p008
0.89491,3.3187e-05,p009
1.1002,1.4101e-14,p010
0.99389,4.5564e-12,p011
1.1913,1.9875e-06,p012
0.96802,1.3699e-08,p013
1.0116,5.6322e-15,p014
0.85037,2.0486e-10,p015
1.1275,3.0871e-12,p016
1.0081,2.4003e-13,p017
1.1631,1.4358e-05,p018
1.1724,1.1955e-06,p019
0.87709,3.9122e-11,p020
1.0168,4.3561e-08,p021
1.1675,3.4589e-07,p022
1.1599,1.3475e-06,p023
0.87364,0.00031916,p024
1.038,3.3679e-09,p025
1.185,1.3687e-13,p026
1.0603,4.4791e-10,p027
0.94105,6.5546e-12,p028
0.80095,2.6668e-05,p029
0.94885,4.1647e-09,p030
0.80877,2.2754e-05,p031
0.83414,5.1916e-11,p032
0.92832,1.0001e-07,p033
1.1405,7.906e-06,p034
1.038,2.3272e-08,p035
0.84394,3.5129e-14,p036
0.97294,5.2335e-12,p037
1.1798,1.3421e-14,p038
0.86892,2.7698e-05,p039
1.1895,3.4082e-06,p040
0.88803,0.00022848,p041
0.84926,1.8564e-09,p042
1.1322,1.3296e-07,p043
1.1065,4.9979e-11,p044
1.1961,1.9195e-08,p045
1.0953,1.7007e-09,p046
0.91365,6.0051e-14,p047
1.105,5.6035e-10,p048
1.0021,2.2577e-10,p049
0.99926,3.521e-05,p050
0.901,9.6612e-11,p051
0.92759,2.0016e-07,p052
1.084,4.4988e-11,p053
1.0779,4.8519e-06,p054
0.82532,0.00016188,p055
0.97684,5.5927e-05,p056
1.1999,1.6871e-05,p057
0.80345,1.064e-08,p058
1.0045,7.1058e-14,p059
0.85683,7.222e-15,p060
1.1297,1.1501e-12,p061
1.091,1.9054e-11,p062
1.1541,5.1725e-13,p063
1.021,1.0621e-06,p064
0.95316,1.5586e-11,p065
1.0542,1.5299e-10,p066
0.83308,7.3916e-12,p067
0.94405,8.0625e-11,p068
0.82202,2.6391e-13,p069
1.0739,1.9651e-05,p070
1.1833,2.9648e-13,p071
1.1534,0.00043527,p072
1.0567,3.5455e-12,p073
