wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,par_id
1.0475,1.0546e-05,0.24516,p001
1.1995,2.1862e-06,0.036516,p002
1.1138,4.1255e-06,0.16456,p003
1.0041,1.8086e-05,0.026186,p004
1.0552,5.6858e-05,0.071769,p005
1.1295,5.3792e-05,0.080501,p006
1.153,4.4669e-05,0.27482,p007
0.92924,4.1251e-05,0.22137,p008
0.90595,3.9104e-05,0.14671,p009
0.96804,3.34e-05,0.21231,p010
1.0987,2.8778e-05,0.10669,p011
0.92031,6.7825e-05,0.24404,p012
1.0697,8.6494e-05,0.049986,p013
1.0669,6.6912e-05,0.04501,p014
0.84785,5.2236e-05,0.16794,p015
1.1197,7.7007e-05,0.24105,p016
0.88051,7.3458e-05,0.11584,p017
1.0179,7.4067e-05,0.22845,p018
0.84362,4.5393e-05,0.28586,p019
0.82688,6.0982e-05,0.26656,p020
0.98764,9.482e-05,0.17751,p021
1.1881,7.5542e-07,0.26508,p022
0.99965,1.6281e-05,0.2816,p023
1.14,5.4522e-06,0.25832,p024
1.1397,8.9158e-05,0.078452,p025
0.90847,6.5329e-06,0.19943,p026
0.8595,8.0738e-05,0.12228,p027
1.0143,3.1304e-05,0.05755,p028
1.0099,9.6423e-05,0.13124,p029
0.93303,7.8299e-05,0.2778,p030
0.91814,9.2195e-05,0.20621,p031
1.0205,4.0313e-05,0.041467,p032
1.1041,3.4485e-05,0.17237,p033
0.86797,5.18e-05,0.23075,p034
0.87737,2.9877e-05,0.091504,p035
1.178,5.05e-05,0.11235,p036
0.81905,4.7605e-05,0.28299,p037
1.1866,1.1712e-06,0.29424,p038
0.96699,4.0477e-06,0.13871,p039
0.95246,1.0013e-05,0.25563,p040
1.133,1.3838e-05,0.18281,p041
0.89833,5.8473e-05,0.033719,p042
0.87085,5.9784e-05,0.26813,p043
1.1265,2.233e-05,0.095248,p044
0.95813,7.7157e-05,0.019551,p045
0.94266,1.1168e-05,0.18475,p046
1.0838,9.9105e-05,0.013414,p047
1.0351,5.545e-05,0.11957,p048
0.9727,7.5169e-05,0.15897,p049
0.94592,6.2281e-05,0.030223,p050
1.1711,6.588e-05,0.18893,p051
1.0898,8.4063e-05,0.29219,p052
1.0394,8.147e-05,0.19137,p053
1.166,3.8154e-05,0.23601,p054
1.1033,2.648e-05,0.13252,p055
0.82901,7.1964e-05,0.22349,p056
0.85229,8.2319e-05,0.19576,p057
1.0575,4.2594e-05,0.16297,p058
0.949,5.7264e-05,0.1512,p059
1.031,2.5538e-05,0.084102,p060
1.0402,5.4065e-05,0.10913,p061
1.1811,8.7418e-05,0.12616,p062
1.0746,1.468e-05,0.088777,p063
1.0799,9.7085e-05,0.12437,p064
1.0623,3.2305e-05,0.15608,p065
1.1957,2.3381e-05,0.023304,p066
0.91564,8.3056e-05,0.21743,p067
0.99082,7.9457e-05,0.19305,p068
0.92729,9.0421e-05,0.15456,p069
1.0952,8.8101e-05,0.097377,p070
0.80793,3.572e-05,0.27116,p071
0.93912,6.4407e-05,0.23747,p072
1.1607,8.5716e-05,0.054052,p073
1.0856,3.6675e-05,0.13644,p074
1.1476,2.479e-05,0.25983,p075
0.81424,9.1232e-05,0.07454,p076
1.1209,8.1211e-06,0.21402,p077
0.87584,1.7487e-05,0.10472,p078
0.85187,6.1894e-05,0.011202,p079
1.0519,1.21e-05,0.14262,p080
0.90008,4.6217e-05,0.033005,p081
0.98007,7.2891e-05,0.069728,p082
0.8928,6.8602e-05,0.061677,p083
0.81098,2.0501e-05,0.20417,p084
1.0009,4.9191e-05,0.10199,p085
1.1582,3.0607e-05,0.25131,p086
0.86109,7.0236e-05,0.17841,p087
1.0246,2.1986e-05,0.051155,p088
0.99232,6.9442e-05,0.064886,p089
0.89108,7.1924e-06,0.065352,p090
0.97943,1.5353e-05,0.22538,p091
0.83863,4.3303e-05,0.016013,p092
0.83322,9.5935e-05,0.17324,p093
0.82385,9.3139e-05,0.299,p094
1.1737,6.3162e-05,0.042571,p095
0.80282,4.8265e-05,0.086448,p096
0.96221,1.9398e-05,0.20808,p097
1.1088,9.8796e-05,0.29017,p098
0.88422,3.711e-05,0.24919,p099
1.1494,2.7438e-05,0.14412,p100
