wind_speed,mixing/coef_mix_hyp,par_id
1.1474,1.8007e-05,p001
1.0331,5.2259e-05,p002
1.0809,4.3853e-05,p003
1.1852,7.1332e-05,p004
0.95464,9.1585e-05,p005
0.96542,4.1917e-05,p006
0.87179,7.7135e-05,p007
1.0598,9.9473e-05,p008
0.90377,5.8082e-06,p009
1.0306,2.8706e-05,p010
0.98427,5.0078e-07,p011
1.0459,7.4457e-05,p012
1.1405,4.5706e-05,p013
1.0853,3.1732e-05,p014
1.0079,5.4954e-05,p015
0.97993,9.0351e-05,p016
0.97221,2.6561e-05,p017
0.91072,8.9813e-05,p018
1.1647,5.6547e-05,p019
0.88997,4.2711e-05,p020
0.82445,5.5852e-05,p021
0.84195,1.2507e-05,p022
0.83946,2.9151e-05,p023
1.1058,8.5517e-05,p024
1.038,9.2706e-05,p025
0.99639,4.4968e-05,p026
1.1151,3.273e-05,p027
0.99341,1.385e-05,p028
0.89267,1.5103e-05,p029
0.97172,1.4122e-05,p030
0.92398,6.6961e-06,p031
1.0782,6.0501e-05,p032
0.80317,7.0104e-05,p033
1.0956,1.1685e-05,p034
1.1625,5.0362e-05,p035
1.1507,2.7602e-05,p036
1.0519,5.9042e-05,p037
1.0227,8.0728e-05,p038
1.1729,8.768e-05,p039
1.118,3.0944e-05,p040
0.93629,6.314e-05,p041
0.89889,5.1367e-05,p042
1.1224,9.7814e-05,p043
1.1111,7.6923e-05,p044
1.1927,7.5869e-05,p045
1.09,8.6825e-05,p046
1.1353,6.9046e-05,p047
0.82163,6.6081e-05,p048
1.126,8.4694e-05,p049
0.933,9.4854e-05,p050
1.0533,2.2984e-05,p051
0.9812,1.8394e-05,p052
0.82938,9.5614e-05,p053
1.1825,9.2692e-06,p054
0.83441,8.3716e-05,p055
1.0138,1.0225e-05,p056
1.1994,6.5475e-05,p057
0.85858,2.4548e-05,p058
1.1522,1.6289e-05,p059
1.1563,5.3788e-05,p060
0.87293,9.8198e-05,p061
1.0715,7.9408e-05,p062
1.075,3.2843e-06,p063
1.0167,9.6474e-05,p064
1.0652,4.9717e-05,p065
0.91495,4.6276e-05,p066
1.0428,6.8228e-05,p067
1.1281,2.5554e-05,p068
0.81386,4.8576e-05,p069
1.1795,8.8645e-05,p070
0.96239,4.0338e-05,p071
1.189,3.3788e-05,p072
0.8058,3.9821e-05,p073
0.94724,9.3085e-05,p074
0.84864,3.4641e-05,p075
0.8814,8.3408e-06,p076
0.94327,2.1345e-06,p077
0.95135,2.1487e-05,p078
0.8544,7.8733e-06,p079
0.99058,2.4011e-05,p080
0.81806,7.3508e-05,p081
1.1025,2.0252e-05,p082
0.90535,1.5834e-06,p083
1.0034,3.6288e-05,p084
1.0613,6.2246e-05,p085
1.0279,5.0749e-06,p086
1.1691,5.7521e-05,p087
0.86408,6.1967e-05,p088
1.0976,4.7944e-05,p089
0.91881,6.4473e-05,p090
0.95877,3.5119e-05,p091
0.87679,3.7849e-05,p092
1.0105,6.7326e-05,p093
0.8867,3.9018e-05,p094
0.86212,8.1502e-05,p095
0.92679,8.2371e-05,p096
0.81074,5.8741e-05,p097
0.84426,7.2992e-05,p098
1.1392,7.8847e-05,p099
0.93073,1.9134e-05,p100
