wind_speed,swr,a_seiche,par_id
0.842,0.81787,0.047871,p0001
1.0566,0.84606,0.18296,p0002
1.0557,1.1268,0.04944,p0003
0.92091,1.1168,0.083957,p0004
1.0101,0.82611,0.064946,p0005
0.8853,0.87727,0.097609,p0006
0.93945,1.1472,0.19408,p0007
1.0521,1.0648,0.1607,p0008
1.1525,1.0829,0.044645,p0009
1.0972,0.96841,0.081763,p0010
1.0869,1.1003,0.28236,p0011
0.86251,0.81322,0.2567,p0012
1.0516,0.84151,0.29606,p0013
0.97691,0.90622,0.25162,p0014
1.1986,0.85212,0.18042,p0015
1.0656,1.0116,0.21771,p0016
1.0383,1.0601,0.19075,p0017
1.16,1.1055,0.01374,p0018
1.1579,1.0813,0.05607,p0019
1.0204,1.1721,0.28717,p0020
0.91157,0.83676,0.0070919,p0021
0.92768,1.1251,0.22533,p0022
0.81204,0.91443,0.28937,p0023
0.84825,1.169,0.062368,p0024
1.1183,0.91991,0.041246,p0025
1.0728,0.81629,0.011546,p0026
1.1063,0.87147,0.10926,p0027
1.078,1.0075,0.1738,p0028
0.8009,1.0383,0.17658,p0029
1.1447,0.97923,0.25695,p0030
1.074,0.83405,0.28129,p0031
1.0697,0.80279,0.071136,p0032
0.83981,1.1293,0.0079846,p0033
0.89826,0.87391,0.22425,p0034
0.95382,0.94445,0.011309,p0035
1.1659,0.88666,0.11354,p0036
0.9964,1.1745,0.039916,p0037
0.88205,1.1209,0.059508,p0038
1.0902,1.0993,0.20376,p0039
1.0689,0.98538,0.12295,p0040
0.8228,1.0523,0.0673,p0041
1.0023,1.0976,0.2155,p0042
1.1775,1.0004,0.29327,p0043
1.0375,1.0189,0.13798,p0044
0.90054,0.86974,0.03121,p0045
0.82333,1.0243,0.15864,p0046
1.0027,0.89177,0.25971,p0047
0.89882,0.92484,0.29795,p0048
1.0657,0.94164,0.16707,p0049
0.83446,0.92342,0.048018,p0050
0.9835,0.88071,0.078153,p0051
0.89737,0.9955,0.098894,p0052
0.9284,1.1357,0.0033528,p0053
1.0235,1.1964,0.26234,p0054
0.8838,0.83139,0.11641,p0055
0.80312,0.86451,0.17762,p0056
1.1791,0.98702,0.18626,p0057
0.89387,0.9606,0.042591,p0058
0.97761,0.93275,0.018367,p0059
