wind_speed,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
0.91792,4.1739e-14,1.3132,0.76001,0.99228,p0001
1.131,6.4644e-07,2.6806,0.46006,0.97183,p0002
0.84655,3.3132e-14,0.65434,0.64432,0.81541,p0003
0.92943,1.0872e-12,2.3789,0.77999,0.92062,p0004
0.93865,2.6811e-05,3.3526,0.46124,0.82884,p0005
1.1124,3.9368e-14,0.86029,0.73048,0.74873,p0006
0.92759,2.5909e-05,1.0176,0.40443,0.79651,p0007
1.0657,2.2101e-14,1.3772,0.53906,1.0835,p0008
0.94298,7.9484e-13,2.4478,0.70245,0.84847,p0009
0.80435,1.677e-05,2.3032,0.56803,0.89194,p0010
1.1804,3.248e-09,0.89364,0.43652,0.88868,p0011
1.1552,2.5037e-11,2.7488,0.78115,1.0938,p0012
1.1634,2.6434e-11,2.7527,0.5853,0.81282,p0013
0.88391,5.167e-14,3.0783,0.63981,0.92653,p0014
0.88169,2.6073e-07,3.4145,0.54507,0.84758,p0015
1.0216,5.0112e-15,0.76282,0.54134,0.72983,p0016
1.0072,1.173e-08,1.2567,0.41577,0.9917,p0017
0.97365,1.6575e-10,3.2524,0.5072,0.78093,p0018
1.1076,5.2571e-13,2.9588,0.40483,0.80889,p0019
1.0199,2.9196e-09,2.7295,0.5841,1.0514,p0020
1.1359,7.8388e-08,3.2605,0.7786,0.78586,p0021
1.0048,3.4705e-09,2.1255,0.60853,0.77506,p0022
1.0957,6.6508e-05,0.95021,0.54628,0.71007,p0023
0.97769,1.7525e-13,0.70945,0.74604,0.74379,p0024
0.87993,1.7137e-05,3.4668,0.7857,0.98594,p0025
0.93394,3.1219e-10,1.1899,0.785,0.70039,p0026
0.98744,3.5463e-11,2.2655,0.47446,0.79978,p0027
1.1052,7.3472e-10,1.4083,0.4353,0.88522,p0028
1.1419,2.4083e-11,3.4204,0.57972,0.71302,p0029
1.082,3.2904e-05,2.6228,0.59296,1.0409,p0030
1.0258,6.0269e-12,2.8056,0.71437,0.72824,p0031
0.82078,1.9984e-06,1.9271,0.75548,0.7956,p0032
0.9077,3.2692e-13,1.9817,0.44429,0.71218,p0033
1.1099,5.852e-05,2.7236,0.72413,0.98504,p0034
1.1925,5.5742e-09,2.5424,0.69487,1.0534,p0035
1.1682,2.5323e-10,1.5085,0.70839,0.9999,p0036
1.0361,2.2738e-10,0.72421,0.55291,0.83175,p0037
0.90694,1.0163e-13,1.5748,0.7761,0.79418,p0038
1.1328,4.516e-08,3.2038,0.78812,1.0221,p0039
1.1665,3.5708e-08,1.571,0.69017,0.95384,p0040
1.0103,5.4761e-14,1.2142,0.49931,0.88568,p0041
1.1057,8.2475e-14,1.6516,0.69923,0.95102,p0042
1.1389,5.7016e-12,2.5287,0.52518,0.7151,p0043
0.83402,1.288e-11,1.4832,0.51632,0.98658,p0044
1.0593,1.9313e-09,2.6145,0.74491,1.0286,p0045
1.1429,1.9232e-08,2.2859,0.78429,1.0433,p0046
1.1347,0.00018292,1.0614,0.70653,0.71586,p0047
1.0107,2.4752e-13,1.0929,0.4247,0.80181,p0048
1.1759,2.6553e-14,1.0957,0.58319,0.81171,p0049
1.0311,1.5916e-13,2.6383,0.77006,1.017,p0050
1.0749,0.0002432,1.3952,0.42366,0.94457,p0051
1.0859,1.2636e-10,2.6889,0.77258,0.92434,p0052
0.82186,9.307e-11,1.3401,0.64721,0.83113,p0053
1.0648,5.4089e-15,3.1549,0.72232,0.91505,p0054
1.1027,9.8962e-13,1.4477,0.79291,0.97348,p0055
1.0288,1.2354e-11,3.13,0.74363,0.90448,p0056
0.95097,6.2686e-15,1.2978,0.75357,0.93902,p0057
0.92657,5.2371e-05,3.451,0.71185,0.73256,p0058
1.1484,1.7127e-09,1.1054,0.56461,0.8516,p0059
1.077,5.728e-08,2.6902,0.59536,1.0786,p0060
1.1735,3.4368e-10,2.3603,0.78026,1.0681,p0061
1.1137,1.829e-05,1.4285,0.49465,0.85871,p0062
0.86749,0.0001785,0.56781,0.66024,0.78336,p0063
0.87156,2.1273e-10,2.7099,0.54789,0.96958,p0064
0.85806,3.9551e-06,1.7692,0.55404,0.77215,p0065
0.89532,1.2691e-08,1.8237,0.71543,0.92831,p0066
1.0462,7.6613e-05,3.4096,0.77441,0.84191,p0067
0.80364,4.8434e-09,0.94509,0.49099,1.0769,p0068
0.80223,5.3472e-07,3.4796,0.58927,1.0229,p0069
0.84734,6.8319e-09,2.8853,0.62678,0.89269,p0070
0.82561,6.4283e-09,2.1956,0.45251,0.91947,p0071
1.1517,3.7964e-11,1.809,0.47923,0.99591,p0072
1.1648,3.7186e-09,1.254,0.46677,0.80406,p0073
1.0681,6.6703e-07,0.69713,0.70325,0.9359,p0074
1.018,1.4573e-08,3.1004,0.65751,0.94633,p0075
1.0781,1.9345e-07,2.2162,0.67715,0.92889,p0076
0.89636,2.9042e-07,0.58549,0.41803,1.0252,p0077
1.1114,7.096e-06,3.1517,0.5678,0.85669,p0078
0.90352,0.00010004,1.1268,0.68875,0.81795,p0079
0.899,1.4355e-05,1.3248,0.78162,0.76719,p0080
1.1453,1.1862e-06,1.0743,0.72993,0.86054,p0081
1.0063,2.4435e-14,1.1443,0.78972,0.81973,p0082
0.81469,1.6414e-07,0.66383,0.6154,0.97936,p0083
0.81935,4.1858e-05,0.82703,0.46941,0.97807,p0084
1.0981,3.9673e-05,3.0179,0.59697,0.98199,p0085
0.84609,1.5157e-09,1.6381,0.63741,1.0648,p0086
0.80108,3.2765e-08,1.5425,0.49014,0.91576,p0087
1.0628,4.3238e-13,0.91285,0.76678,0.76261,p0088
1.147,4.8854e-12,2.027,0.49545,0.74783,p0089
1.1903,6.3272e-14,1.7449,0.75967,1.0103,p0090
1.0996,3.9955e-10,2.3352,0.68957,0.80747,p0091
0.87112,0.00016732,2.8521,0.41055,0.90138,p0092
1.1005,2.0048e-12,2.3206,0.64692,0.89297,p0093
1.0474,2.3226e-12,2.373,0.69679,1.0698,p0094
1.0573,4.5014e-12,0.81577,0.63595,1.0367,p0095
0.90039,5.051e-14,0.67336,0.44756,0.75114,p0096
