Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2006-01-01 00:00:00,85.439922,215.39246,-2.8290276,80.772435,2.7538044,0,0
2006-01-02 00:00:00,59.899779,243.10881,-2.0572293,86.436655,3.0167605,0.0013625149,0.0013625149
2006-01-03 00:00:00,61.45924,218.17686,-4.4100405,84.87146,3.171425,0.0021456919,0.0021456919
2006-01-04 00:00:00,78.533347,211.82088,-5.4668024,81.861402,3.3033742,0,0
2006-01-05 00:00:00,74.318425,231.43057,-2.1961809,85.671144,4.2213468,0,0
2006-01-06 00:00:00,62.899934,282.33872,1.3833092,88.958709,4.5695418,0,0
2006-01-07 00:00:00,27.504664,266.22126,0.43611674,89.832339,3.7364457,0.0034101747,0
2006-01-08 00:00:00,76.561981,244.73959,-3.1913288,87.078491,3.013485,0.00099908248,0.00099908248
2006-01-09 00:00:00,58.430566,300.39224,0.80355502,93.38671,2.524905,0.0017565314,0
2006-01-10 00:00:00,52.093021,308.47363,-2.0270744,92.767776,2.7620892,0.012903183,0.012903183
2006-01-11 00:00:00,67.717161,283.72436,-3.6973819,92.68425,1.4609538,0.0028824649,0.0028824649
2006-01-12 00:00:00,59.000151,298.12886,-2.7608158,94.744542,1.6145577,0.0094959509,0.0094959509
2006-01-13 00:00:00,83.367969,202.84125,-7.1757004,89.377939,1.2261072,0,0
2006-01-14 00:00:00,89.076952,207.98639,-8.9738373,89.566697,1.7640623,0,0
2006-01-15 00:00:00,60.52401,277.29663,-2.6228894,91.948899,2.3147535,0.0011972128,0.0011972128
2006-01-16 00:00:00,92.140306,221.86174,-3.5734677,85.197118,3.6373851,0.0029909138,0.0029909138
2006-01-17 00:00:00,56.798484,207.38975,-7.5458734,80.629318,3.1982177,0.0021074344,0.0021074344
2006-01-18 00:00:00,88.035603,215.05411,-9.8670117,82.9256,1.4278248,0.0072044116,0.0072044116
2006-01-19 00:00:00,95.301306,179.58131,-10.621332,81.757157,2.756071,0,0
2006-01-20 00:00:00,100.62961,204.66725,-5.2713369,86.886702,3.0163553,0,0
