wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,mixing/coef_wind_stir,mixing/coef_mix_shear,mixing/coef_mix_conv,mixing/coef_mix_turb,meteorology/cd,par_id
0.8898,0.67986,0.16694,0.78146,0.82408,0.2442,0.85876,0.001327,p001
1.1547,0.093637,0.18529,0.81322,0.41589,0.87836,0.88582,0.00047841,p002
0.91183,0.35179,0.40829,0.51671,0.48392,0.65695,0.57561,0.0010021,p003
0.8186,0.98335,0.4269,0.79176,0.3308,0.55668,0.44059,0.00036905,p004
0.92023,0.48693,0.66868,0.61925,0.68427,0.52695,0.39131,0.00029317,p005
0.94423,0.063833,0.13344,0.41669,0.19659,0.6372,0.582,0.00032604,p006
0.87022,0.89484,0.206,0.26061,0.62375,0.85421,0.2572,0.0012909,p007
1.1481,0.32414,0.86431,0.81102,0.67529,0.2095,0.82712,0.0013697,p008
1.022,0.54156,0.71098,0.31657,0.40705,0.26588,0.29272,1.6306e-05,p009
1.1988,0.85405,0.48346,0.43218,0.51034,0.6497,0.4698,0.00011313,p010
0.82974,0.71115,0.7277,0.59999,0.30079,0.38323,0.87764,0.0019999,p011
1.1678,0.44964,0.16055,0.29565,0.85557,0.46838,0.30082,0.0023972,p012
0.91858,0.47797,0.54294,0.1723,0.83075,0.44755,0.51919,0.0026339,p013
0.98363,0.11238,0.53814,0.18129,0.86979,0.30506,0.46043,0.00054038,p014
1.0243,0.86633,0.80487,0.30086,0.28501,0.17878,0.33081,0.0029915,p015
0.87592,0.95342,0.60764,0.80324,0.49619,0.46044,0.317,0.0024466,p016
0.95472,0.46904,0.29369,0.16538,0.46298,0.68728,0.61256,0.001804,p017
0.88236,0.53991,0.52761,0.50131,0.88593,0.2219,0.2012,0.0019817,p018
1.035,0.16551,0.46814,0.58418,0.48456,0.45201,0.18109,0.00104,p019
1.0456,0.92343,0.33747,0.63782,0.74486,0.63525,0.55226,0.00016488,p020
1.1159,0.63528,0.37794,0.88645,0.1902,0.75046,0.6806,0.0020414,p021
1.1736,0.7936,0.38377,0.13028,0.54272,0.56969,0.77666,0.00076598,p022
0.86792,0.72937,0.84036,0.55273,0.37036,0.7392,0.75804,0.0017493,p023
1.0735,0.23288,0.35465,0.47606,0.21255,0.84024,0.53313,0.0022106,p024
0.83726,0.55157,0.11493,0.28812,0.10688,0.48238,0.63806,0.00074372,p025
0.86022,0.070754,0.50057,0.64675,0.22566,0.38828,0.13092,0.0023209,p026
0.93681,0.22698,0.25203,0.23287,0.57304,0.18424,0.22564,0.0019253,p027
1.096,0.64213,0.63892,0.24768,0.68016,0.73128,0.81955,0.0015104,p028
1.1898,0.68756,0.68479,0.40779,0.5176,0.83348,0.35631,0.0026893,p029
0.8573,0.10667,0.51313,0.82869,0.63135,0.69717,0.84614,0.00070737,p030
0.82143,0.69967,0.22789,0.37747,0.34307,0.12282,0.44911,0.0018873,p031
0.93504,0.1743,0.30451,0.10128,0.45748,0.51972,0.60181,0.00051664,p032
0.80103,0.30165,0.48553,0.49611,0.17151,0.28005,0.1045,0.002883,p033
0.82708,0.75429,0.20308,0.20099,0.69954,0.41668,0.11377,0.0021248,p034
1.1064,0.50749,0.56473,0.86769,0.7853,0.31241,0.79254,0.0020848,p035
1.0948,0.12124,0.71813,0.7142,0.70736,0.77801,0.50896,0.0029146,p036
1.079,0.34826,0.65793,0.75342,0.25746,0.53821,0.13928,0.0020644,p037
0.92528,0.02443,0.3152,0.5445,0.80254,0.32671,0.27987,0.0009009,p038
0.96428,0.19724,0.57701,0.69186,0.27444,0.8618,0.42269,0.0011589,p039
1.1364,0.41295,0.62354,0.56085,0.75626,0.8485,0.34578,0.00036351,p040
0.97945,0.8313,0.8694,0.72682,0.59291,0.7085,0.59072,0.0011132,p041
1.0713,0.43514,0.75606,0.45396,0.84172,0.60246,0.6103,0.0014039,p042
0.888,0.20962,0.29017,0.20442,0.29912,0.71952,0.41973,0.0021826,p043
1.1018,0.8101,0.84893,0.57303,0.77985,0.34932,0.6206,0.0012986,p044
1.1806,0.99564,0.24283,0.52747,0.38035,0.16677,0.36612,0.0011352,p045
1.0059,0.28145,0.28162,0.38176,0.50058,0.23052,0.26934,0.002533,p046
1.1412,0.18526,0.33115,0.51598,0.42835,0.13222,0.1194,0.0018461,p047
1.0027,0.58391,0.76741,0.11257,0.1387,0.23634,0.8089,0.0027344,p048
1.0905,0.84086,0.49731,0.77844,0.47232,0.42643,0.16944,0.0016,p049
0.99596,0.91809,0.64471,0.4264,0.32032,0.34466,0.22811,0.0028062,p050
0.90464,0.31442,0.58873,0.33401,0.86275,0.19915,0.73819,0.0022396,p051
0.97569,0.26675,0.21813,0.66523,0.26274,0.50249,0.80083,0.0026582,p052
0.94861,0.38403,0.44285,0.59487,0.66514,0.89539,0.55953,0.0012472,p053
0.80672,0.05761,0.6011,0.89302,0.37997,0.11048,0.33385,0.0025984,p054
