wind_speed,mixing/coef_mix_hyp,mixing/coef_mix_KH,mixing/coef_wind_stir,mixing/coef_mix_shear,meteorology/cd,par_id
1.0884,0.0021419,0.16169,0.26742,0.15917,0.00023325,p00001
0.9466,0.0023143,0.2775,0.18417,0.5487,0.00063627,p00002
1.1777,0.0092389,0.47989,0.12518,0.86851,0.00096602,p00003
0.87438,0.0052974,0.13903,0.16432,0.70462,6.3445e-05,p00004
0.96858,0.00588,0.87638,0.61603,0.84171,0.0018716,p00005
1.0644,0.0076327,0.68802,0.59459,0.42845,0.00068448,p00006
1.0106,0.0048983,0.64514,0.64497,0.31507,0.0019372,p00007
1.118,0.0099892,0.85874,0.84171,0.36162,0.0027219,p00008
0.95937,0.004755,0.8743,0.33821,0.21472,0.0018237,p00009
1.0945,0.0023329,0.69198,0.5882,0.61609,0.0014764,p00010
0.83909,0.0043056,0.47674,0.44536,0.85343,0.0006372,p00011
1.1431,0.0051654,0.6494,0.71093,0.62618,0.001297,p00012
1.1052,0.0017227,0.5698,0.10154,0.46649,0.002524,p00013
1.0255,0.009154,0.10172,0.29887,0.68881,0.0019053,p00014
0.98011,0.0014029,0.74147,0.39111,0.32129,0.0011368,p00015
0.89332,0.00086244,0.63032,0.85271,0.41402,0.0012129,p00016
0.87995,0.0098981,0.62744,0.3429,0.21182,0.0018427,p00017
1.1136,0.006028,0.50184,0.11001,0.75981,0.001508,p00018
1.0038,0.00083184,0.57422,0.86332,0.1507,0.00086133,p00019
1.0843,0.0075014,0.4108,0.80804,0.36804,0.0025458,p00020
1.0127,0.0078325,0.28022,0.62813,0.36154,0.0019992,p00021
0.97582,0.0013338,0.5203,0.18458,0.15358,0.0019402,p00022
0.82975,0.0080422,0.47477,0.19731,0.35048,0.0011281,p00023
0.8624,0.006044,0.75338,0.41335,0.11294,0.0025053,p00024
1.1049,0.0042366,0.53011,0.65485,0.30602,0.0011743,p00025
0.9234,0.0040405,0.39481,0.81045,0.69203,0.002074,p00026
0.88556,0.0071791,0.53999,0.20888,0.28864,0.00059901,p00027
1.1902,0.008906,0.83722,0.3733,0.51174,0.0025608,p00028
0.94471,0.009929,0.49281,0.19563,0.80369,0.0022508,p00029
0.88877,0.009153,0.79311,0.35513,0.74104,0.0010436,p00030
1.1309,0.0068151,0.35908,0.16617,0.29531,0.00059861,p00031
0.86558,0.0063569,0.29555,0.35122,0.71384,0.0012859,p00032
0.89163,0.0046604,0.5541,0.74709,0.51927,0.0012825,p00033
0.86122,0.0005605,0.11703,0.83275,0.64278,0.00032308,p00034
1.1944,0.0069587,0.11726,0.4215,0.16209,0.0012483,p00035
0.88602,0.0056652,0.56042,0.50278,0.32569,7.9438e-05,p00036
0.98941,0.0050124,0.69663,0.86513,0.86847,0.0002465,p00037
1.0105,0.0080142,0.61139,0.18451,0.26077,0.0011005,p00038
0.8948,0.00096359,0.43942,0.79275,0.21538,0.0015455,p00039
1.0131,0.0053583,0.89923,0.54158,0.47243,0.0021174,p00040
0.8266,0.0073744,0.17797,0.21357,0.75717,0.001361,p00041
0.88136,0.0072297,0.47249,0.30562,0.37629,0.0017389,p00042
1.1319,0.0054721,0.81074,0.50381,0.2443,0.0017342,p00043
1.0815,0.008642,0.1092,0.29704,0.89532,0.0024073,p00044
0.80203,0.001615,0.15879,0.88809,0.70486,0.0025337,p00045
1.0455,0.0024503,0.7769,0.45741,0.22815,0.0021145,p00046
1.0402,0.0029349,0.31147,0.66145,0.50725,0.0007324,p00047
0.81061,0.0077566,0.78138,0.59522,0.83131,0.0026733,p00048
0.86147,0.0029912,0.49596,0.75743,0.35348,0.0029281,p00049
0.82484,0.009711,0.29979,0.53953,0.5363,0.00071773,p00050
0.91515,0.00058687,0.12967,0.52654,0.34319,0.00086863,p00051
1.1744,0.0090455,0.68111,0.80502,0.75112,0.0021379,p00052
1.0885,0.0038083,0.8055,0.87875,0.71054,0.00024895,p00053
1.104,0.0034943,0.83501,0.86615,0.41745,0.0022251,p00054
1.015,0.0079419,0.53333,0.45984,0.47614,0.0027235,p00055
0.98995,0.0071459,0.18976,0.14217,0.69706,0.0024245,p00056
0.98481,0.0049252,0.26764,0.27122,0.4987,0.00080394,p00057
1.0487,0.0024064,0.39369,0.87167,0.41666,0.0018282,p00058
1.0721,0.0076245,0.41905,0.51261,0.754,0.00060696,p00059
1.1306,0.0068664,0.30717,0.22597,0.66455,0.0022964,p00060
0.81366,0.00045307,0.7791,0.65469,0.81288,0.0023216,p00061
0.83004,0.0032031,0.64469,0.86198,0.40328,0.0029675,p00062
1.035,0.0095169,0.20322,0.1086,0.24307,0.0012941,p00063
1.0748,0.0085239,0.66948,0.79739,0.52581,0.0024148,p00064
1.0806,0.0023016,0.64147,0.62387,0.29139,0.0016904,p00065
1.1705,0.0057951,0.55241,0.48279,0.74431,0.0017411,p00066
0.99109,0.0021435,0.36601,0.47711,0.19026,7.5713e-05,p00067
