datetime,Flow_metersCubedPerSecond,Water_Temperature_celsius,Salinity_practicalSalinityUnits
1970-01-01 00:00:00,17.7402289148148,3.22789408359592,0
1970-01-02 00:00:00,17.6420822474074,2.81605060615403,0
1970-01-03 00:00:00,17.4749745874074,2.73791586090671,0
1970-01-04 00:00:00,17.4665036655556,2.71083184789445,0
1970-01-05 00:00:00,17.5159052348148,3.1731876269151,0
1970-01-06 00:00:00,17.5220340548148,3.01953766822003,0
1970-01-07 00:00:00,17.6081127011111,2.55459637230014,0
1970-01-08 00:00:00,17.7497996033333,2.64828520647847,0
1970-01-09 00:00:00,17.5965162944444,2.56025243141796,0
1970-01-10 00:00:00,17.4704115648148,2.9138199159152,0
1970-01-11 00:00:00,17.1733482522222,2.86104325814339,0
1970-01-12 00:00:00,16.9337572777778,3.28763540145716,0
1970-01-13 00:00:00,16.9287455251852,2.94107739704139,0
1970-01-14 00:00:00,16.992245377037,2.81618144848558,0
1970-01-15 00:00:00,16.7450157703704,2.95508251199577,0
1970-01-16 00:00:00,16.6732876777778,3.35135720176989,0
1970-01-17 00:00:00,17.1066470203704,3.27298432005675,0
1970-01-18 00:00:00,17.1449766674074,3.10584975113104,0
1970-01-19 00:00:00,16.9384387048148,3.10021956787142,0
1970-01-20 00:00:00,17.2947516555556,2.62485679739379,0
1970-01-21 00:00:00,17.2279078785185,2.51623016618379,0
1970-01-22 00:00:00,17.18636187,2.84138918242325,0
1970-01-23 00:00:00,17.1240887481481,2.36802916409212,0
1970-01-24 00:00:00,17.0404620907407,2.56580262674685,0
1970-01-25 00:00:00,16.9070060096296,2.53552101267252,0
1970-01-26 00:00:00,16.9387011788889,2.69659554685572,0
1970-01-27 00:00:00,16.9941617451852,2.87034268118967,0
1970-01-28 00:00:00,17.0027698411111,2.89261707773263,0
1970-01-29 00:00:00,17.0207870066667,2.80702395593074,0
1970-01-30 00:00:00,17.2333817414815,2.5469714838459,0
1970-01-31 00:00:00,18.3440843274074,2.19179536043752,0
1970-02-01 00:00:00,18.2903498296296,3.260403675288,0
1970-02-02 00:00:00,18.1641362159259,3.08426175290731,0
1970-02-03 00:00:00,17.8605022911111,2.73476321516881,0
1970-02-04 00:00:00,17.5885052311111,2.39853172797304,0
1970-02-05 00:00:00,17.4288189807407,1.76839390846113,0
1970-02-06 00:00:00,17.1791766933333,1.96828545570012,0
1970-02-07 00:00:00,16.638211642963,2.14500330364154,0
1970-02-08 00:00:00,16.1923018592593,2.65833743418556,0
1970-02-09 00:00:00,16.181966182963,2.44655672978986,0
1970-02-10 00:00:00,16.2001378577778,2.48021049426749,0
1970-02-11 00:00:00,16.1170700588889,2.30948941427042,0
1970-02-12 00:00:00,16.1343131759259,2.13561738468013,0
1970-02-13 00:00:00,16.4540543011111,2.08318511728604,0
1970-02-14 00:00:00,16.809468452963,1.84163990487384,0
1970-02-15 00:00:00,16.8921671818519,1.77258738128525,0
1970-02-16 00:00:00,17.0723488848148,1.67183754071216,0
1970-02-17 00:00:00,17.2042954296296,1.59131659074371,0
1970-02-18 00:00:00,17.4064248692593,1.90553157312702,0
1970-02-19 00:00:00,17.6164218337037,3.04003167768706,0
1970-02-20 00:00:00,17.7937111203704,3.00594576339849,0
1970-02-21 00:00:00,17.9114892611111,2.73098895181712,0
1970-02-22 00:00:00,18.1645162733333,2.51465094707351,0
1970-02-23 00:00:00,18.541406802963,2.08358587047065,0
1970-02-24 00:00:00,18.2885379981481,1.99199461063608,0
1970-02-25 00:00:00,18.2003829992593,2.16194838210138,0
1970-02-26 00:00:00,18.3327718162963,2.43296222579354,0
1970-02-27 00:00:00,18.2878043144444,2.73345204199323,0
1970-02-28 00:00:00,18.3662264274074,2.85005966808745,0
1970-03-01 00:00:00,18.2707116392593,2.90230370850914,0
1970-03-02 00:00:00,17.9584162074074,2.70292478126499,0
1970-03-03 00:00:00,19.0691799314815,2.81086242858104,0
1970-03-04 00:00:00,19.7280553648148,2.8435616962554,0
1970-03-05 00:00:00,20.1747598888889,3.40780262249408,0
1970-03-06 00:00:00,20.3300522648148,3.50071633460529,0
1970-03-07 00:00:00,20.5286622818519,3.39698998644851,0
1970-03-08 00:00:00,20.7793519588889,2.96576595672693,0
1970-03-09 00:00:00,21.0849752211111,2.82461999398872,0
1970-03-10 00:00:00,21.8516190377778,3.19297633316047,0
