wind_speed,swr,a_seiche,q_nn,k_min,par_id
0.86072,0.9137,0.2297,0.86626,5.1445e-11,p001
1.1187,0.86353,0.18653,0.35214,3.9402e-10,p002
1.0229,0.81367,0.27198,0.49526,1.6634e-13,p003
0.94502,0.93629,0.17978,0.43095,1.3037e-09,p004
0.90998,1.0118,0.17129,0.84677,2.4576e-13,p005
0.89999,1.0456,0.034879,0.75938,9.8871e-09,p006
0.91164,0.94306,0.13761,0.74948,1.671e-11,p007
1.1314,1.1015,0.1302,0.86774,8.564e-15,p008
0.96817,0.98726,0.068505,0.7927,1.7264e-06,p009
1.1847,1.0437,0.073055,0.28167,1.2777e-12,p010
1.1247,0.82703,0.065383,0.34092,7.4112e-13,p011
1.0248,1.0629,0.23085,0.36382,2.2225e-07,p012
1.0443,0.92705,0.26346,0.88277,1.2082e-12,p013
0.97855,1.1422,0.0097389,0.85786,0.00032466,p014
0.80896,1.0313,0.24536,0.60241,1.7277e-14,p015
1.0947,1.0989,0.26436,0.40065,4.0459e-11,p016
1.077,1.1072,0.015486,0.46847,9.0269e-09,p017
1.146,0.88724,0.17657,0.6281,3.3709e-08,p018
1.0013,0.89389,0.19081,0.31534,2.8792e-09,p019
1.0526,1.0338,0.20495,0.20246,2.7278e-09,p020
1.0796,0.95736,0.20281,0.91268,1.9421e-13,p021
0.92872,1.1587,0.17574,0.23029,5.6923e-05,p022
0.88256,0.89031,0.086634,0.44941,1.1693e-14,p023
1.11,1.0064,0.027344,0.37148,1.4826e-13,p024
1.1374,1.0544,0.22111,0.94151,1.5003e-05,p025
0.86893,1.1789,0.033874,0.46084,1.8136e-11,p026
0.95172,1.1695,0.13141,0.31361,2.0525e-12,p027
1.1068,1.1143,0.19521,0.3835,9.1262e-14,p028
1.1871,1.195,0.15213,0.76573,4.0091e-06,p029
0.84149,0.90087,0.27569,0.95875,2.2117e-12,p030
0.98609,0.85055,0.070222,0.73635,1.2136e-06,p031
0.88406,1.0043,0.046675,0.67226,5.8518e-09,p032
1.1854,1.1506,0.2196,0.61018,1.2169e-13,p033
1.1427,1.1451,0.26772,0.57357,2.8227e-05,p034
0.92598,1.1255,0.074716,0.27043,4.1687e-09,p035
0.81232,0.8989,0.16057,0.97625,4.5754e-12,p036
1.093,1.1321,0.13384,0.83586,1.5822e-10,p037
0.93387,1.0862,0.20587,0.8941,5.9379e-13,p038
0.97311,1.193,0.088551,0.60661,6.4755e-07,p039
1.1001,0.94527,0.22725,0.80429,7.364e-15,p040
0.96252,0.93266,0.29279,0.39621,1.8129e-13,p041
0.94046,0.89717,0.19387,0.75332,6.1512e-05,p042
1.1441,0.95153,0.051179,0.47206,3.7273e-13,p043
0.97168,0.96341,0.1709,0.22435,2.9698e-05,p044
0.95555,0.85676,0.24444,0.283,7.2151e-09,p045
1.0546,1.1579,0.21398,0.33189,3.1369e-11,p046
0.83609,1.1974,0.12486,0.96701,7.6836e-12,p047
1.0021,1.0021,0.095192,0.22366,1.2212e-05,p048
1.0614,0.97013,0.25185,0.94061,9.3405e-12,p049
0.88683,1.0803,0.04469,0.24092,1.01e-12,p050
0.89627,1.0783,0.22484,0.9307,3.1482e-13,p051
0.93768,0.92541,0.2768,0.45599,3.8582e-12,p052
1.1783,0.91804,0.061149,0.50208,6.6805e-12,p053
1.0028,1.1483,0.20968,0.8129,5.8032e-10,p054
1.0459,1.0661,0.01674,0.92351,1.1553e-08,p055
1.1949,0.93155,0.11207,0.64714,8.312e-11,p056
1.1049,1.1438,0.12865,0.69231,6.5731e-13,p057
1.1881,1.1657,0.010048,0.31854,6.0973e-06,p058
1.1127,1.1817,0.039872,0.72607,0.00029658,p059
1.0399,1.1604,0.094639,0.83798,1.1718e-09,p060
1.1969,1.1277,0.11553,0.8778,0.00011951,p061
1.1683,1.0623,0.17205,0.23861,3.6124e-14,p062
0.98439,1.1775,0.19201,0.43208,1.2982e-07,p063
0.92723,0.90272,0.14027,0.83135,6.9645e-05,p064
1.1509,1.1803,0.075853,0.62978,2.4606e-11,p065
1.1662,0.89525,0.24362,0.24759,5.0723e-08,p066
1.0429,0.87242,0.28421,0.5487,2.1975e-14,p067
0.87267,1.0292,0.18873,0.99452,5.6336e-07,p068
0.91614,1.1386,0.27336,0.43705,2.4575e-08,p069
1.0271,0.98665,0.20711,0.93553,5.7481e-11,p070
0.9252,0.91955,0.035965,0.71695,8.4515e-14,p071
0.91827,0.81635,0.25646,0.30255,1.9796e-14,p072
0.81842,1.1848,0.28916,0.29624,6.4948e-11,p073
1.137,1.0818,0.10944,0.62287,7.2528e-07,p074
1.1525,1.1569,0.12127,0.46965,2.0284e-07,p075
1.1261,1.1671,0.16544,0.86173,1.4057e-10,p076
0.90745,0.99652,0.2596,0.74833,3.0376e-14,p077
0.92185,0.85814,0.10162,0.3902,2.4241e-13,p078
1.1635,0.81951,0.026263,0.79843,4.469e-05,p079
0.83066,0.96909,0.22323,0.90107,2.4449e-12,p080
1.0752,1.0223,0.14876,0.61072,2.688e-13,p081
1.0079,0.83295,0.14125,0.99834,6.7554e-08,p082
1.1424,0.83813,0.10661,0.82172,9.8922e-07,p083
0.85287,0.93518,0.28113,0.97885,9.3718e-11,p084
1.0578,1.0704,0.29011,0.88209,1.5763e-14,p085
1.1235,0.84027,0.090768,0.94958,2.7848e-11,p086
0.84948,1.0963,0.19903,0.36819,1.0897e-11,p087
0.9956,1.1692,0.0012223,0.7897,2.725e-10,p088
1.1763,0.90526,0.26585,0.42735,2.4948e-09,p089
0.96771,1.1171,0.16959,0.70533,2.443e-14,p090
1.0166,0.80568,0.25884,0.29935,2.1362e-06,p091
0.85652,1.0647,0.031633,0.38885,2.3083e-09,p092
1.1389,0.88329,0.29914,0.74476,7.8559e-06,p093
0.81514,1.0873,0.12029,0.23331,3.6616e-10,p094
1.026,1.1718,0.16423,0.65532,3.3217e-12,p095
0.80298,0.84324,0.21247,0.46643,3.6689e-07,p096
0.80415,1.045,0.067686,0.5988,2.9643e-13,p097
1.1582,1.0903,0.21593,0.91635,4.9993e-08,p098
0.94303,1.1641,0.080284,0.42426,2.2766e-11,p099
0.95226,1.1311,0.043578,0.88843,0.00021201,p100
0.88287,0.98269,0.11965,0.41948,1.4886e-08,p101
0.92127,1.0366,0.23381,0.4431,1.936e-08,p102
0.95989,1.1226,0.059492,0.2674,4.3565e-08,p103
0.85499,1.1739,0.0074583,0.77373,1.9404e-07,p104
0.82152,0.98859,0.02121,0.61767,5.2556e-15,p105
1.0159,0.80876,0.0049287,0.88768,3.8724e-09,p106
0.87924,1.0479,0.15493,0.52082,1.4841e-07,p107
1.021,0.83091,0.29166,0.78768,4.732e-14,p108
0.90929,1.068,0.038608,0.97235,4.1069e-14,p109
1.0774,1.1186,0.13967,0.21721,6.3268e-10,p110
0.91593,0.96763,0.2546,0.54508,9.0772e-06,p111
1.0691,0.94735,0.2689,0.72838,1.7504e-10,p112
1.1295,1.1988,0.18439,0.72339,2.5479e-11,p113
1.1486,1.1242,0.04979,0.21196,6.2774e-09,p114
1.1641,1.1891,0.20188,0.85525,5.9681e-08,p115
1.159,1.173,0.13468,0.95358,5.2192e-10,p116
0.88849,0.94666,0.18255,0.20962,1.4002e-13,p117
0.80245,1.0923,0.048764,0.37818,3.2161e-09,p118
0.90336,1.1527,0.091462,0.87012,1.3907e-08,p119
0.99917,1.1098,0.21118,0.55255,2.9649e-12,p120
1.1055,0.81506,0.012999,0.49238,8.2614e-06,p121
1.0631,0.88925,0.16167,0.69995,6.8806e-10,p122
0.99318,0.91628,0.29458,0.74127,1.4862e-06,p123
0.84717,0.86763,0.15621,0.65274,0.00019136,p124
0.93873,0.97963,0.054638,0.9862,4.4473e-10,p125
0.85764,1.0495,0.097949,0.79643,7.9143e-08,p126
1.1288,0.96228,0.017006,0.21949,2.0808e-13,p127
1.0722,1.1156,0.052721,0.3254,2.3164e-05,p128
0.94851,0.84463,0.079077,0.89086,2.7917e-06,p129
1.0051,0.94987,0.093006,0.32207,5.1292e-13,p130
1.0174,1.0306,0.29598,0.57214,1.2103e-10,p131
0.84826,0.82984,0.14442,0.90429,8.8772e-08,p132
