wind_speed,swr,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
1.0506,1.0183,1.9599e-07,0.90461,0.77326,0.90123,p001
0.85352,0.96269,2.7818e-06,3.3933,0.63145,0.80099,p002
1.1614,0.98471,4.0597e-11,0.88357,0.40998,1.0468,p003
1.093,0.84222,0.00010836,0.50166,0.5515,0.77259,p004
1.0983,1.065,2.8284e-08,2.5643,0.48096,0.94958,p005
1.0456,1.0578,2.5534e-14,0.80865,0.63443,1.0558,p006
1.0544,0.96843,8.9416e-07,1.1747,0.55668,0.7685,p007
0.9897,1.1196,3.5664e-06,3.1865,0.44421,0.80828,p008
0.94231,1.0264,7.1621e-06,2.3191,0.57223,1.0255,p009
1.1832,1.0317,3.9702e-13,1.5055,0.53465,1.0021,p010
0.83488,0.80644,1.4428e-07,1.0644,0.41247,1.0201,p011
1.1223,1.1496,0.00035287,1.981,0.45666,0.86976,p012
1.0312,0.81485,2.9563e-05,1.7283,0.43983,0.94607,p013
0.97283,1.1299,7.5722e-13,1.3045,0.66809,0.91615,p014
1.1176,1.0418,1.8908e-06,1.0305,0.44123,0.74559,p015
1.1849,0.97774,3.7759e-07,3.0147,0.71253,1.017,p016
0.8391,1.1627,0.00015546,1.0978,0.46906,0.73395,p017
0.97881,1.0068,7.6868e-10,2.1948,0.54772,1.0605,p018
1.0909,1.1431,1.8404e-05,1.1946,0.41862,0.90662,p019
0.89488,1.1812,3.6956e-08,1.4363,0.56873,1.072,p020
1.1595,0.92537,3.3984e-09,1.9692,0.71859,0.78383,p021
0.99246,1.1727,2.0901e-05,0.68179,0.73243,0.98828,p022
0.96032,0.81968,5.3737e-11,1.3911,0.72497,0.80606,p023
1.1955,0.88163,1.9069e-10,1.2737,0.62369,1.0313,p024
1.0065,1.0923,1.4331e-14,1.5587,0.53074,0.74257,p025
0.93468,0.91229,2.1369e-12,0.56953,0.72257,0.93853,p026
1.1303,0.90774,2.4447e-08,2.2953,0.67515,0.73127,p027
0.90078,1.0811,1.397e-06,0.54456,0.42034,0.71557,p028
1.0827,0.94834,0.00030089,3.3495,0.40413,0.95286,p029
0.86577,0.82244,1.5417e-12,3.38,0.77637,0.70875,p030
0.88977,0.86314,1.205e-14,1.5837,0.5259,1.0928,p031
0.9315,0.88985,2.5493e-11,0.85309,0.7067,0.93373,p032
1.1119,1.0107,1.9957e-11,1.5201,0.78633,1.0066,p033
1.175,0.90198,8.3633e-09,1.331,0.67922,0.79632,p034
0.88075,1.1664,2.3335e-12,2.0489,0.61925,0.98249,p035
0.90546,1.1786,1.2236e-12,3.1597,0.53952,0.87719,p036
1.1338,0.84871,1.4013e-11,2.4464,0.48788,1.0326,p037
1.1698,0.82689,9.3947e-09,0.93115,0.45363,0.90827,p038
0.91359,1.1928,3.0963e-05,1.6166,0.48934,0.79269,p039
1.0609,1.0227,4.4422e-07,1.6548,0.659,0.97291,p040
1.0793,1.096,1.257e-08,0.64939,0.42788,0.92192,p041
1.0087,0.87606,0.0002316,2.4578,0.4513,0.82314,p042
1.0728,0.99561,8.9652e-15,3.4491,0.7407,0.82411,p043
1.1917,0.84563,4.0362e-12,3.4122,0.65057,0.77748,p044
0.84086,1.0127,0.00046446,2.6177,0.68887,0.89456,p045
0.8626,1.0479,1.7405e-08,0.65974,0.62719,0.85049,p046
0.85632,1.0501,2.5148e-09,1.129,0.79814,0.70159,p047
0.93689,0.95655,1.3481e-10,0.59873,0.43575,0.92861,p048
1.1278,1.0699,1.4736e-13,1.0018,0.69266,1.0499,p049
1.0336,0.85724,2.2929e-10,2.5272,0.74993,1.0961,p050
0.80584,1.1978,3.6572e-13,3.2508,0.70942,0.87416,p051
1.1015,0.93838,9.3715e-08,3.2843,0.79069,0.86045,p052
0.98585,1,8.2043e-07,1.4232,0.7823,0.70794,p053
1.0214,0.86981,5.3162e-12,2.387,0.65397,0.84665,p054
1.1411,0.90855,1.9859e-13,1.8369,0.69811,0.86672,p055
0.82879,0.8743,5.8438e-07,0.77522,0.56287,0.89063,p056
1.197,0.95302,8.8202e-06,2.4187,0.60267,1.0122,p057
1.137,0.85279,2.2504e-06,1.8153,0.46257,1.0896,p058
1.0842,0.91834,4.3153e-14,3.2214,0.75379,0.83478,p059
1.0659,0.83855,3.37e-12,2.2157,0.49321,0.95697,p060
0.99745,0.9325,3.1956e-10,1.881,0.75888,0.85247,p061
1.0413,0.94185,7.4396e-08,2.7551,0.79525,0.75299,p062
0.80057,0.81055,8.9822e-14,1.4892,0.58514,0.81392,p063
0.9571,1.1227,4.3837e-05,3.0367,0.76112,0.97136,p064
1.146,1.074,5.9063e-11,2.9857,0.70381,1.0087,p065
0.84429,1.0554,1.2054e-10,0.73286,0.64701,0.71748,p066
1.0261,1.1453,7.0302e-05,1.3657,0.76587,0.97831,p067
1.0188,0.99083,7.4764e-12,3.4852,0.66322,0.83666,p068
0.92326,0.86548,1.992e-09,1.856,0.49898,0.96309,p069
0.92797,1.1326,1.241e-13,2.7111,0.51109,0.81966,p070
0.89609,0.9982,1.3153e-09,2.9095,0.46505,1.039,p071
0.98075,0.8988,5.4054e-14,2.1203,0.56493,0.78946,p072
0.81713,1.1581,5.0399e-10,1.7434,0.58285,0.88052,p073
1.0575,0.93113,9.8503e-12,1.7693,0.73086,0.72423,p074
0.91821,1.1546,4.7896e-09,2.8284,0.51203,0.75897,p075
1.0015,1.1156,3.4149e-11,3.1156,0.47404,0.92708,p076
0.94946,0.88512,4.2704e-08,2.3441,0.50044,0.99382,p077
0.95218,0.83543,3.3354e-14,2.9355,0.59032,0.96697,p078
1.1158,1.1386,6.8487e-10,3.106,0.54321,1.0853,p079
0.87967,1.1713,5.9176e-08,3.3096,0.74546,1.0805,p080
1.1776,1.1073,8.0757e-14,2.1196,0.60528,0.7384,p081
0.94772,1.0854,5.7969e-05,1.6896,0.73657,0.89913,p082
0.81552,0.96659,4.79e-06,2.0097,0.50668,0.76785,p083
1.1657,1.0908,7.8658e-11,2.1673,0.68512,1.0423,p084
1.0137,1.0778,1.7426e-07,0.76214,0.59602,1.0737,p085
0.87101,1.0603,6.2036e-09,1.2453,0.55285,0.7492,p086
0.91174,1.0333,6.9346e-15,2.6752,0.77122,0.76018,p087
0.85027,0.82927,3.4826e-10,2.5857,0.66737,0.94291,p088
1.0712,0.92325,5.314e-06,2.7974,0.47877,0.82927,p089
1.0388,0.89399,3.2803e-09,1.1574,0.63891,1.0785,p090
0.97141,1.1872,1.9252e-14,2.0841,0.51772,0.98678,p091
0.81089,0.94618,6.4144e-15,2.8444,0.64261,0.72162,p092
0.82209,1.124,0.00012568,0.96464,0.68063,1.0599,p093
1.1528,1.0395,3.0032e-07,2.2677,0.61152,0.84241,p094
1.1514,1.1022,9.9347e-13,2.7281,0.42863,1.0647,p095
0.88509,0.98295,1.1479e-11,2.6459,0.5955,0.99817,p096
1.1059,1.1898,2.4495e-13,2.4935,0.61422,0.88498,p097
0.96787,0.9743,1.3644e-05,3.0746,0.57627,0.91474,p098
0.87265,0.8026,1.1262e-09,2.8854,0.5227,0.78555,p099
0.82482,1.1085,5.2053e-13,1.9283,0.40306,0.85629,p100
