wind_speed,swr,a_seiche,q_nn,k_min,par_id
1.0362,0.73815,0.0063981,0.91996,5.127e-09,p001
1.1611,0.74367,0.0081883,0.94346,1.3322e-05,p002
1.1925,0.83575,0.0075253,0.59801,6.3725e-09,p003
1.1438,0.84045,0.005754,0.85771,0.0017467,p004
1.1508,0.80587,0.0084529,0.5844,0.00064195,p005
1.0078,0.72104,0.0052254,0.83704,9.8962e-06,p006
1.0182,0.81249,0.00037219,0.56833,1.9169e-06,p007
1.1906,0.75972,0.0038641,0.74898,0.00015853,p008
1.1093,0.70549,0.0070502,0.76562,7.0065e-08,p009
1.0507,0.80251,0.0067636,0.57959,5.464e-05,p010
1.1854,0.93611,0.0077045,0.68303,3.3972e-06,p011
1.226,0.9262,0.0033662,0.71361,8.4549e-09,p012
1.1052,0.86548,0.0023867,0.88596,1.0252e-05,p013
1.1791,0.95319,0.0044924,0.71796,7.1185e-09,p014
1.2026,0.9928,0.00097036,0.54283,1.3448e-06,p015
1.0819,0.93704,0.0035653,0.662,1.5341e-07,p016
1.001,0.78312,0.0030116,0.53282,0.00018243,p017
1.1495,0.92111,0.0045316,0.89595,4.1228e-07,p018
1.0933,0.91648,0.0060536,0.51075,3.2677e-08,p019
1.0795,0.98527,0.0046539,0.68551,1.2504e-07,p020
1.0322,0.97304,0.0031324,0.67014,0.002492,p021
1.196,0.7015,0.003997,0.96171,3.7721e-05,p022
1.1301,0.84627,0.0083205,0.95243,5.2442e-07,p023
1.2429,0.8739,0.0066626,0.75736,3.9087e-08,p024
1.0397,0.95046,0.0047194,0.86384,9.1082e-08,p025
1.0496,0.724,0.0029311,0.62495,1.6051e-08,p026
1.098,0.73443,0.003688,0.63214,0.00419,p027
1.01,0.8241,0.0012738,0.70489,2.1897e-08,p028
1.2387,0.81065,0.0095929,0.95587,5.1969e-06,p029
1.1662,0.96853,0.0043305,0.80297,0.0047245,p030
1.1703,0.97023,0.0099207,0.84185,3.0744e-07,p031
1.2139,0.88728,0.00022006,0.65265,2.6474e-08,p032
1.0333,0.85081,0.0050823,0.62541,0.00011498,p033
1.2424,0.78012,0.0055961,0.99748,2.4842e-06,p034
1.1296,0.76234,0.0080767,0.52966,9.7677e-05,p035
1.0827,0.95823,0.0062234,0.69136,3.5163e-07,p036
1.2227,0.7521,0.0017564,0.695,6.4484e-08,p037
1.0272,0.96282,0.002023,0.85315,2.069e-05,p038
1.1129,0.85838,0.0025211,0.78623,0.00013496,p039
1.0722,0.94472,0.0010894,0.93094,2.8474e-05,p040
1.2053,0.90765,0.0093505,0.97452,1.1768e-07,p041
1.0903,0.88081,0.0072752,0.74307,0.0029897,p042
1.1186,0.91034,0.0022272,0.89372,2.6211e-06,p043
1.1115,0.89213,0.003725,0.73512,6.3535e-05,p044
1.1346,0.7505,0.0018776,0.67977,9.3136e-09,p045
1.1997,0.79031,0.00055248,0.63901,7.7435e-06,p046
1.0727,0.88595,0.0082359,0.81638,0.0002664,p047
1.0856,0.9286,0.0076229,0.6181,0.0035579,p048
1.0532,0.78802,0.0048795,0.55908,0.0012696,p049
1.0653,0.77763,0.0071467,0.87154,7.4684e-06,p050
1.1361,0.73089,0.00065058,0.53948,0.0012265,p051
1.2471,0.70718,0.0049716,0.8281,1.1039e-08,p052
1.1693,0.97751,0.00080214,0.79688,2.4165e-07,p053
1.0456,0.82679,0.0059391,0.98375,1.1757e-05,p054
1.236,0.89799,0.0042467,0.76065,0.00051051,p055
1.0238,0.85961,0.0058222,0.51551,1.6842e-06,p056
1.0046,0.74543,0.0080015,0.84903,1.7823e-05,p057
1.1599,0.94658,0.0034298,0.6001,6.0759e-07,p058
1.1627,0.84192,0.005442,0.92649,0.00023395,p059
1.1726,0.85305,0.0088521,0.90097,4.7171e-08,p060
1.1268,0.77436,0.0040764,0.64682,0.00028513,p061
1.0551,0.71035,0.0011724,0.57023,2.2964e-07,p062
1.0412,0.9909,0.0061871,0.8204,0.0026129,p063
1.2284,0.83288,0.0098636,0.64191,2.3628e-08,p064
1.2188,0.87711,0.0086992,0.77282,0.0015474,p065
1.1201,0.83116,0.0065891,0.87716,9.0219e-08,p066
1.2499,0.75585,0.0097231,0.78449,0.00039669,p067
1.0617,0.89911,0.0073973,0.77775,1.6156e-07,p068
1.2161,0.72981,0.0078205,0.58503,0.00079211,p069
1.1888,0.78592,0.006428,0.7252,2.9392e-06,p070
1.2098,0.99627,0.0015358,0.81336,0.0020153,p071
1.1389,0.96496,0.0041194,0.99197,1.5815e-06,p072
1.0057,0.91517,0.0094928,0.86627,1.4509e-08,p073
1.1564,0.7132,0.0027552,0.7345,7.009e-07,p074
1.1756,0.98343,0.0085016,0.55188,4.4991e-07,p075
1.0213,0.7674,0.0015027,0.98808,0.00045123,p076
1.0631,0.999,0.0068774,0.90897,0.00033869,p077
1.0162,0.8181,0.0087653,0.88201,4.4884e-05,p078
1.2349,0.76462,0.001707,0.59376,8.0627e-05,p079
1.1235,0.90558,0.0089141,0.945,0.00060097,p080
1.231,0.86348,0.0019921,0.91483,0.0010599,p081
1.1458,0.77093,0.0024117,0.50778,5.2587e-08,p082
1.115,0.90329,0.0053094,0.52189,1.8812e-08,p083
1.1418,0.86934,0.0021342,0.72413,4.2095e-08,p084
1.1802,0.81669,0.0013587,0.97835,3.9818e-06,p085
1.0592,0.88945,0.0090403,0.54949,0.00087355,p086
1.2122,0.8003,0.0092804,0.66559,1.1124e-06,p087
1.1039,0.73909,0.00042028,0.83318,7.3626e-07,p088
1.0889,0.97952,0.0026123,0.56294,1.2509e-08,p089
1.0289,0.71554,0.007425,0.79308,1.6857e-05,p090
1.0136,0.79437,0.0032481,0.96944,5.7901e-06,p091
1.1548,0.92326,0.0028402,0.61238,4.913e-05,p092
1.102,0.87648,0.0091012,0.93938,7.1768e-05,p093
1.2201,0.7185,0.0069986,0.80647,4.4887e-06,p094
1.0765,0.79802,0.005193,0.92263,2.2938e-05,p095
1.0441,0.84781,4.077e-05,0.70569,1.9532e-07,p096
1.0676,0.82252,0.0096298,0.75297,9.7194e-07,p097
1.1841,0.94117,0.0056236,0.65867,0.00013977,p098
