wind_speed,swr,a_seiche,q_nn,k_min,par_id
1.0603,0.86936,0.28749,0.22459,2.2528e-10,p001
0.83796,0.90433,0.12812,0.8289,1.111e-09,p002
0.93084,1.1245,0.16472,0.29749,6.859e-05,p003
0.81295,1.1141,0.04126,0.91928,1.5777e-10,p004
0.80153,1.0959,0.042643,0.41562,2.9673e-13,p005
0.92388,0.84964,0.19611,0.60696,7.7026e-13,p006
1.0303,1.0788,0.070529,0.20915,3.2954e-10,p007
1.0103,1.1968,0.18741,0.89368,1.6577e-10,p008
0.98399,1.0266,0.034379,0.92622,2.2396e-07,p009
0.99734,0.85473,0.088574,0.32343,2.3418e-05,p010
1.0263,1.0395,0.10671,0.85824,2.0683e-11,p011
1.1274,1.1733,0.20226,0.45743,8.4393e-13,p012
0.91303,0.92328,0.014694,0.54212,4.931e-11,p013
0.98688,1.075,0.16575,0.6472,2.8515e-14,p014
0.93642,0.97492,0.2541,0.8084,4.6902e-05,p015
0.91048,1.103,0.26817,0.39356,1.5503e-09,p016
0.84389,0.80806,0.21493,0.62122,8.006e-11,p017
1.1227,1.0435,0.051195,0.94115,4.8222e-08,p018
1.1303,1.1915,0.14821,0.63792,1.1822e-07,p019
1.0827,1.1553,0.17216,0.50631,5.0912e-10,p020
0.95683,0.84283,0.18906,0.62564,1.6134e-06,p021
0.85538,0.95517,0.13193,0.80114,6.5075e-11,p022
0.88139,0.8965,0.21953,0.33895,8.7611e-15,p023
0.99138,1.1196,0.2292,0.89641,4.2188e-10,p024
1.0148,1.0509,0.15778,0.58858,2.897e-12,p025
1.0408,0.98164,0.059345,0.33004,9.3549e-14,p026
1.0569,1.0617,0.046132,0.51618,4.8883e-09,p027
1.1484,1.1943,0.26378,0.86504,0.00041453,p028
1.0745,1.1088,0.10992,0.93481,1.2209e-06,p029
0.96878,1.1719,0.18454,0.65401,6.9774e-12,p030
0.94786,0.9594,0.27139,0.66906,5.1691e-14,p031
1.069,0.91401,0.25019,0.20117,0.00019138,p032
0.84411,1.0909,0.153,0.76062,2.9392e-11,p033
1.065,0.8953,0.1172,0.61099,5.793e-05,p034
