wind_speed,swr,a_seiche,q_nn,k_min,par_id
1.0143,0.77324,0.0045871,0.96185,6.1531e-08,p0001
1.107,0.78677,0.0064813,0.84587,3.1495e-06,p0002
1.1956,0.99819,0.0024384,0.95476,6.9721e-08,p0003
1.0516,0.91862,0.0077777,0.83329,0.0026377,p0004
1.0533,0.72563,0.0080805,0.80764,0.0013772,p0005
1.0616,0.77162,0.0019614,0.55032,0.00028743,p0006
1.025,0.90575,0.0048739,0.90224,1.5491e-07,p0007
1.1064,0.84689,0.0037903,0.95891,2.9056e-08,p0008
1.0406,0.70573,0.002732,0.84479,7.8025e-07,p0009
1.193,0.83648,0.0092867,0.75492,2.3503e-07,p0010
1.2079,0.81514,0.0036675,0.63138,1.0045e-07,p0011
1.1042,0.93757,0.0019289,0.52794,3.8859e-08,p0012
1.1019,0.75754,0.0055343,0.89071,6.2586e-09,p0013
1.2105,0.91048,0.0020903,0.98104,3.177e-07,p0014
1.0137,0.95344,0.0049107,0.81515,1.5515e-08,p0015
1.0364,0.70746,0.0027178,0.95909,2.7531e-06,p0016
1.1717,0.77928,0.003421,0.99172,1.2852e-06,p0017
1.0129,0.86185,0.0058156,0.6972,1.3857e-06,p0018
1.2442,0.72682,0.0062641,0.55677,8.8513e-09,p0019
1.1328,0.97229,0.0027787,0.86511,5.6658e-07,p0020
1.0755,0.96315,0.0039314,0.64689,2.1064e-06,p0021
1.1639,0.77997,0.0084285,0.94933,7.0365e-05,p0022
1.0016,0.90892,0.0093596,0.6149,6.6813e-07,p0023
1.0701,0.87082,0.0022766,0.78575,4.8494e-05,p0024
1.0299,0.9295,0.0030278,0.87003,2.2276e-07,p0025
1.0423,0.73827,0.0010717,0.58742,0.00017409,p0026
1.2273,0.8742,0.005767,0.62753,5.8873e-05,p0027
1.1866,0.71742,0.0004992,0.6917,1.8998e-07,p0028
1.077,0.89236,0.0047416,0.60748,8.2472e-08,p0029
1.1656,0.80199,0.003261,0.85919,1.0703e-05,p0030
1.2457,0.89184,0.0096716,0.8125,0.00013995,p0031
1.2006,0.88306,0.0078245,0.88106,0.0030838,p0032
1.0631,0.99537,0.00064524,0.56942,7.0301e-07,p0033
1.2286,0.84195,0.0073111,0.80809,6.4545e-06,p0034
1.0708,0.84453,0.0024221,0.50204,1.8046e-06,p0035
1.1554,0.71443,0.00391,0.73929,3.1388e-05,p0036
1.0191,0.99006,0.0083333,0.97665,0.0023508,p0037
1.1611,0.91715,0.0089789,0.60316,0.00010964,p0038
1.2452,0.96167,0.0045175,0.60233,6.9404e-09,p0039
1.1248,0.8219,0.0089554,0.57555,3.2281e-06,p0040
1.1012,0.75362,0.0016581,0.56897,2.467e-05,p0041
1.0339,0.79069,0.0074857,0.70458,0.0044517,p0042
1.0009,0.7669,0.0056996,0.81429,1.044e-06,p0043
1.0543,0.78909,0.0099177,0.58456,1.4111e-05,p0044
1.1474,0.88923,0.0035045,0.74893,1.6295e-07,p0045
1.0806,0.7567,0.0035462,0.99666,2.6646e-07,p0046
1.1943,0.88165,0.0084553,0.90542,0.0020561,p0047
1.0969,0.90397,0.0036051,0.92609,3.0231e-05,p0048
1.0078,0.8109,0.00045551,0.75004,2.7386e-07,p0049
