wind_speed,swr,mixing/coef_mix_hyp,light/Kw,par_id
1.1023,1.1678,6.8287e-05,0.53602,p0001
0.94058,0.84276,5.5453e-05,0.6459,p0002
0.81303,0.93202,2.1173e-05,0.33375,p0003
0.8512,1.1521,7.0711e-05,0.20925,p0004
1.123,0.96748,4.4989e-05,0.74208,p0005
0.88016,0.86636,2.5989e-05,0.75185,p0006
0.94951,0.84538,7.1602e-05,0.6812,p0007
0.94714,0.82224,4.388e-05,0.5945,p0008
0.8992,0.80865,8.091e-05,0.39013,p0009
0.92442,0.95456,1.2006e-05,0.75687,p0010
1.0161,0.88662,8.7322e-05,0.63422,p0011
0.88685,1.1582,4.4372e-05,0.45463,p0012
0.99281,0.97817,9.4946e-05,0.77927,p0013
1.0416,0.91225,2.7126e-05,0.78164,p0014
1.0065,0.8619,2.3361e-05,0.42915,p0015
0.8851,1.1955,9.6138e-05,0.43667,p0016
0.93359,1.1251,8.0344e-05,0.5211,p0017
0.86562,1.0636,4.946e-05,0.28147,p0018
1.069,1.1173,9.2292e-05,0.36474,p0019
1.1115,1.0561,1.605e-05,0.5244,p0020
0.83496,0.95273,5.5576e-05,0.71224,p0021
0.99268,1.1623,7.1303e-06,0.3349,p0022
0.80412,1.0394,1.9277e-05,0.74005,p0023
0.907,0.98727,2.072e-05,0.21115,p0024
1.0592,0.88993,4.8144e-05,0.36848,p0025
1.1604,0.90376,9.5599e-05,0.67102,p0026
0.98573,0.95114,1.1161e-05,0.38377,p0027
1.1054,1.1874,9.0426e-05,0.21915,p0028
1.02,1.1947,1.9984e-05,0.75049,p0029
1.0342,1.1066,2.4844e-05,0.45878,p0030
1.1439,0.9981,8.2109e-05,0.42482,p0031
1.1136,1.1286,8.8762e-05,0.22762,p0032
0.93011,0.97675,9.996e-05,0.37462,p0033
1.1883,1.0531,3.8398e-05,0.428,p0034
1.1787,0.93414,9.2347e-05,0.30642,p0035
1.1569,0.93965,8.1815e-05,0.68904,p0036
1.1233,1.0535,5.0994e-05,0.29907,p0037
1.1919,0.82764,5.1955e-05,0.23605,p0038
1.0738,0.96628,1.52e-05,0.25271,p0039
0.90051,0.94091,5.6298e-05,0.61029,p0040
0.86319,0.99061,8.2656e-05,0.77809,p0041
0.80963,1.0427,1.3611e-06,0.21376,p0042
1.0082,1.1715,1.9105e-05,0.28383,p0043
1.0326,0.86489,5.3655e-05,0.46975,p0044
0.80183,0.86693,2.7991e-05,0.36759,p0045
1.0721,1.1331,5.8137e-05,0.73671,p0046
0.89498,1.0138,7.3463e-06,0.2841,p0047
0.95021,1.0866,8.6059e-05,0.35073,p0048
0.87508,1.1723,6.4834e-05,0.34762,p0049
0.85221,0.94697,6.7724e-05,0.20494,p0050
0.8332,1.1169,8.9127e-05,0.20094,p0051
1.0798,0.99914,4.5373e-05,0.53343,p0052
1.0185,0.89105,5.4933e-05,0.5685,p0053
0.97744,0.91189,8.8371e-05,0.40809,p0054
1.1324,0.86969,4.9351e-05,0.27477,p0055
0.97464,1.1138,8.3711e-05,0.41477,p0056
0.81841,1.025,6.013e-05,0.37683,p0057
1.0814,0.82406,1.4009e-06,0.71933,p0058
0.85242,0.92458,9.9431e-05,0.26545,p0059
0.84334,0.99778,9.293e-05,0.64687,p0060
0.98692,1.1231,4.5091e-05,0.77416,p0061
0.91857,0.84183,3.294e-05,0.37265,p0062
1.0601,0.80608,6.9379e-05,0.70668,p0063
1.0477,0.93626,9.22e-05,0.56167,p0064
1.0805,0.93874,6.6721e-05,0.5007,p0065
0.96857,0.89812,2.7878e-05,0.44096,p0066
0.84501,0.8137,3.5862e-05,0.22043,p0067
0.91992,1.1056,7.8641e-06,0.67007,p0068
0.97645,0.85006,8.5333e-05,0.70185,p0069
0.83713,0.94619,1.8344e-05,0.73393,p0070
0.84428,0.89754,7.2909e-05,0.75394,p0071
1.1264,1.0814,7.177e-05,0.6791,p0072
1.1674,0.85887,9.5383e-05,0.54317,p0073
1.1542,1.1913,8.5447e-05,0.42959,p0074
1.1915,1.1646,8.0007e-06,0.55409,p0075
0.97899,1.0284,1.9552e-05,0.42418,p0076
0.84957,0.91279,4.2608e-05,0.22274,p0077
1.0472,1.0796,9.7908e-05,0.21385,p0078
0.92176,0.83697,2.0844e-05,0.71663,p0079
1.0147,0.82686,4.926e-05,0.65339,p0080
0.82619,1.0579,4.6372e-05,0.78214,p0081
0.882,0.99846,1.9837e-06,0.27513,p0082
0.94804,1.1736,9.6885e-05,0.38657,p0083
0.95399,1.0636,7.5972e-05,0.56181,p0084
0.98187,0.87243,1.6769e-05,0.60957,p0085
1.0024,0.89875,5.9947e-05,0.20705,p0086
1.0657,0.88305,1.1675e-05,0.20185,p0087
0.96306,1.1598,1.1771e-05,0.63264,p0088
0.95636,0.81996,1.4187e-05,0.21006,p0089
0.96639,0.88712,2.7004e-06,0.60871,p0090
0.87439,1.0809,9.7881e-05,0.21268,p0091
1.0928,0.81164,4.61e-05,0.76996,p0092
0.976,0.82384,4.2038e-05,0.55797,p0093
1.1815,0.88381,5.4087e-05,0.49805,p0094
1.0499,0.90568,4.8699e-05,0.27203,p0095
1.0571,1.0816,1.5558e-05,0.75887,p0096
0.96484,1.0431,1.4889e-05,0.26277,p0097
0.87892,1.1003,6.7427e-05,0.54231,p0098
1.0662,1.1098,4.4739e-05,0.23109,p0099
1.1805,0.80825,6.9649e-05,0.35773,p0100
1.1631,1.1208,1.2238e-05,0.5253,p0101
0.99004,0.91473,9.3462e-05,0.23056,p0102
0.9355,1.0253,2.8416e-05,0.55511,p0103
0.83814,1.0158,6.5914e-05,0.6448,p0104
0.85767,1.0133,8.2815e-05,0.4161,p0105
1.1524,1.1798,3.4399e-06,0.41682,p0106
1.0371,1.0452,2.7517e-05,0.29335,p0107
0.80116,1.1701,5.3083e-05,0.216,p0108
0.95643,0.929,1.3736e-05,0.41265,p0109
0.93466,1.0552,8.3744e-05,0.33399,p0110
1.0844,0.86286,6.7304e-05,0.539,p0111
1.0857,0.98292,5.2403e-05,0.32403,p0112
0.95944,1.0017,7.7371e-05,0.25782,p0113
