wind_speed,swr,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
1.1702,0.80207,0.16011,0.029525,0.0047645,p0001
1.0863,0.89728,0.17841,0.18151,0.006353,p0002
1.0923,1.1524,0.17012,0.040611,0.0087488,p0003
1.101,0.80631,0.19924,0.057968,0.0018881,p0004
0.8842,0.80692,0.13321,0.14534,0.0073994,p0005
1.0394,1.1405,0.1285,0.027032,0.0081138,p0006
1.0879,0.94172,0.12542,0.054883,0.0058402,p0007
1.0914,1.1669,0.12098,0.21959,0.00050958,p0008
1.0534,1.1969,0.18055,0.22443,0.0084318,p0009
0.93413,1.132,0.10861,0.26692,0.001662,p0010
0.85969,1.159,0.13701,0.22548,0.0047135,p0011
1.172,1.0249,0.1093,0.18623,0.0088075,p0012
1.052,1.1073,0.13924,0.18551,0.00068627,p0013
1.0514,1.1296,0.17899,0.15284,0.0054809,p0014
1.1555,0.95408,0.16385,0.02197,0.0066462,p0015
1.1638,1.1737,0.13804,0.032075,0.00079567,p0016
1.1825,0.91901,0.17942,0.30646,0.0054609,p0017
0.98687,1.0098,0.17502,0.2306,0.0050739,p0018
0.93344,0.98335,0.13164,0.069491,0.0076338,p0019
0.87738,1.0694,0.16731,0.30471,0.0017489,p0020
0.80167,0.84752,0.14334,0.041358,0.0034179,p0021
0.8414,0.94321,0.10911,0.27199,0.0085208,p0022
0.87786,1.0071,0.1838,0.2805,0.0023334,p0023
0.81559,0.94072,0.17381,0.065571,0.003831,p0024
1.1221,1.0809,0.10945,0.15796,0.0022832,p0025
1.165,0.91076,0.13028,0.1877,0.0087276,p0026
1.0594,0.97861,0.15307,0.15302,0.0066833,p0027
0.92043,1.0858,0.12991,0.028957,0.0052626,p0028
0.91561,1.1336,0.15377,0.023783,0.007026,p0029
1.1819,1.0177,0.17676,0.28947,0.00085481,p0030
1.1296,1.0061,0.16405,0.12284,0.0073184,p0031
0.87178,1.1632,0.12046,0.18055,0.0082097,p0032
0.89103,1.161,0.1686,0.23249,0.0071278,p0033
0.8013,1.0599,0.19419,0.26321,0.00015375,p0034
1.1541,1.0949,0.16613,0.047893,0.0025624,p0035
0.91533,1.1123,0.10027,0.22959,0.001075,p0036
0.8559,1.0184,0.1076,0.11092,0.0053669,p0037
