wind_speed,swr,a_seiche,par_id
0.8958,1.0111,0.2182,p0001
0.88417,1.01,0.18705,p0002
0.81349,1.0498,0.28894,p0003
1.0455,1.0414,0.066495,p0004
1.1105,0.89674,0.22093,p0005
1.0542,0.92002,0.15152,p0006
0.85295,1.0104,0.03803,p0007
0.92999,0.87021,0.066861,p0008
1.0886,0.81855,0.077955,p0009
0.96855,0.88984,0.27002,p0010
0.95578,0.82925,0.037208,p0011
0.82721,1.1893,0.077446,p0012
0.93942,1.118,0.25135,p0013
0.98043,1.1774,0.16196,p0014
1.1976,0.88034,0.16778,p0015
0.96653,1.1506,0.079364,p0016
1.1522,0.96593,0.21087,p0017
0.9369,1.022,0.10067,p0018
0.80035,1.1989,0.14818,p0019
1.1807,1.1479,0.034585,p0020
1.0407,0.93853,0.20956,p0021
1.1618,0.98639,0.038983,p0022
0.80537,1.0615,0.19492,p0023
1.1885,0.97758,0.13603,p0024
0.88461,1.0861,0.2357,p0025
1.1643,0.82092,0.14944,p0026
0.81395,0.84055,0.16117,p0027
1.1971,1.0605,0.075645,p0028
0.89502,1.1523,0.051837,p0029
0.9468,0.94264,0.0067058,p0030
1.0447,1.1458,0.19363,p0031
0.8965,1.0279,0.12119,p0032
1.0365,1.1581,0.1771,p0033
1.0567,0.90314,0.28803,p0034
0.98119,0.91355,0.04026,p0035
0.91051,0.9842,0.019452,p0036
1.016,0.90145,0.27596,p0037
1.0308,0.84759,0.25017,p0038
1.0259,1.1395,0.0092714,p0039
0.87678,0.8533,0.08726,p0040
0.93648,1.0135,0.11749,p0041
1.1477,1.1922,0.15982,p0042
0.97788,0.84778,0.26099,p0043
1.1265,1.0159,0.25685,p0044
1.05,0.9895,0.14988,p0045
0.84902,1.0333,0.13168,p0046
1.1052,1.1529,0.29808,p0047
1.1138,1.0514,0.10769,p0048
0.92609,1.0326,0.15558,p0049
0.9441,1.076,0.12369,p0050
1.1344,1.0186,0.1614,p0051
0.8917,1.0583,0.07259,p0052
1.0604,0.96893,0.26657,p0053
1.011,0.91955,0.076881,p0054
1.0314,1.0995,0.011913,p0055
1.087,1.1297,0.16308,p0056
1.0865,0.92581,0.13767,p0057
0.86015,1.1439,0.22255,p0058
0.92345,0.81432,0.2576,p0059
1.1082,0.83768,0.14165,p0060
0.89331,1.1226,0.24103,p0061
0.93197,1.0998,0.071716,p0062
1.1388,0.99829,0.046322,p0063
