wind_speed,swr,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
0.96857,1.0357,1.4279e-05,0.60857,0.51597,0.86046,p001
0.83218,1.0571,0.00041062,0.74191,0.74942,0.75589,p002
1.04,1.1161,7.1771e-09,2.4663,0.40855,0.83799,p003
0.88036,1.1887,5.1942e-07,1.0799,0.62968,0.8834,p004
0.95969,1.0583,5.7213e-08,1.5792,0.55259,1.02,p005
1.0689,1.0871,6.4049e-10,0.58662,0.49548,0.76945,p006
0.91119,1.0407,0.00010454,3.4933,0.62416,0.90793,p007
0.98532,1.1297,8.6573e-05,1.8793,0.76219,0.81601,p008
1.1376,0.91816,6.3161e-07,2.2505,0.77186,0.92154,p009
0.86806,0.92958,2.4162e-11,0.63667,0.45076,0.86646,p010
1.1492,1.1637,1.2373e-05,1.9172,0.5801,1.0678,p011
0.84205,0.80425,1.3776e-14,3.0186,0.41819,0.90414,p012
1.1003,1.1133,5.1817e-09,0.51528,0.74435,0.89544,p013
0.92444,1.0896,1.5757e-07,0.66813,0.57061,0.7667,p014
0.9002,0.86743,1.1765e-09,0.99054,0.7902,0.87872,p015
1.0854,0.87469,1.5082e-05,3.3601,0.70377,0.92754,p016
0.94548,1.1305,2.6741e-13,1.255,0.42513,1.0398,p017
1.0783,0.93607,1.4241e-13,2.4957,0.52545,1.0332,p018
1.0024,1.0133,2.1367e-08,1.7785,0.65889,0.7801,p019
0.93883,1.0533,2.9935e-07,1.6716,0.62183,0.7851,p020
0.88944,0.92653,1.4153e-12,1.3771,0.7167,0.76175,p021
1.0735,0.91137,9.699e-11,2.5211,0.44592,0.82596,p022
1.1471,1.1378,1.3048e-12,2.8812,0.52011,0.93184,p023
0.84563,0.98659,3.1041e-08,2.6913,0.49113,1.0282,p024
0.95304,1.0115,1.9764e-09,2.7967,0.70861,0.94661,p025
0.81669,0.87387,1.2165e-10,0.91415,0.69412,0.79307,p026
0.91412,1.1777,1.7061e-05,0.97545,0.44048,1.0963,p027
1.1404,0.9034,2.0343e-06,2.3544,0.67385,1.0539,p028
1.0877,0.87807,3.924e-14,1.4409,0.51264,0.97321,p029
1.1888,0.90909,3.1896e-11,1.0222,0.4836,1.0274,p030
1.1575,1.1781,2.6764e-08,1.497,0.57561,0.91571,p031
0.97103,0.82039,6.2824e-11,2.9296,0.79676,0.77167,p032
0.95601,0.83981,5.4928e-06,1.9264,0.58319,1.0052,p033
1.0112,0.93821,1.0078e-11,2.0456,0.44885,0.89601,p034
0.99135,1.1529,8.1516e-13,2.4446,0.54259,0.89351,p035
0.97478,0.94296,5.2215e-13,2.3095,0.59808,0.77517,p036
1.1065,1.1836,7.3645e-10,1.7003,0.78949,1.0079,p037
0.83849,1.0468,7.4246e-07,1.2749,0.68606,0.84566,p038
0.88682,1.0072,3.4281e-14,2.9941,0.67472,0.92333,p039
1.033,0.89295,7.2858e-09,0.71502,0.43408,1.0603,p040
1.185,0.85174,0.0003029,1.3182,0.44699,0.8277,p041
0.88218,1.1606,3.283e-13,1.749,0.4544,1.0258,p042
