wind_speed,swr,fetch_lk,c_relax_C,par_id
0.89852,0.99833,26065,0.070375,p0001
1.0748,1.0671,22492,0.075859,p0002
0.88962,0.95227,34705,0.015518,p0003
0.80227,0.81694,43858,0.049863,p0004
1.162,1.0317,17952,0.0035113,p0005
1.0524,1.1174,32641,0.028331,p0006
0.98803,0.87263,15968,0.028741,p0007
1.0262,0.91025,24469,0.013141,p0008
1.169,1.0322,19117,0.011408,p0009
1.0266,0.86384,58781,0.062651,p0010
1.0836,1.0146,7710.1,0.074069,p0011
1.129,1.0154,8782.1,0.058772,p0012
1.1328,0.97084,27927,0.030246,p0013
0.99139,0.98386,71963,0.015306,p0014
0.83253,0.83688,62546,0.017948,p0015
0.88547,0.82158,27440,0.073819,p0016
0.8801,1.0222,55651,0.073422,p0017
1.0073,1.1069,47329,0.018137,p0018
0.82973,0.81762,2065,0.087654,p0019
0.82793,1.188,20155,0.041562,p0020
0.94386,0.85358,8534.5,0.039831,p0021
0.89169,0.87589,21360,0.056984,p0022
0.84996,0.86582,19856,0.07959,p0023
0.9732,0.88803,44307,0.088404,p0024
0.81859,1.0103,60313,0.081181,p0025
1.0387,0.96549,21010,0.031797,p0026
1.1115,0.81976,24674,0.054409,p0027
0.81788,1.1794,68202,0.045956,p0028
1.0605,0.98163,46943,0.078878,p0029
1.0906,0.90679,71602,0.087712,p0030
1.1574,1.1074,48860,0.084415,p0031
0.82885,0.94193,28937,0.041608,p0032
1.006,0.83606,56377,0.020401,p0033
1.0198,0.80222,18491,0.05028,p0034
1.1783,0.91957,33554,0.027512,p0035
1.032,1.1659,71694,0.055183,p0036
1.1439,0.84942,29166,0.012402,p0037
0.99717,0.84825,55505,0.074152,p0038
0.8109,0.93695,11188,0.016219,p0039
1.1862,0.82056,37452,0.060985,p0040
1.0089,0.95529,57987,0.057262,p0041
1.1237,1.0752,63172,0.012666,p0042
1.1187,0.80793,31885,0.026161,p0043
0.86443,0.93737,58664,0.040967,p0044
1.1324,1.0386,8163.3,0.08575,p0045
0.81963,0.81297,14669,0.068759,p0046
1.0454,0.9034,35341,0.024761,p0047
0.86119,0.9283,36763,0.02108,p0048
1.1296,1.0806,4815.4,0.026882,p0049
1.0373,0.9845,70871,0.085604,p0050
1.161,0.90252,65342,0.075491,p0051
0.80256,1.1666,32522,0.016496,p0052
1.1138,1.0619,41599,0.008799,p0053
1.0323,0.85834,54277,0.02126,p0054
1.1807,1.05,51119,0.098172,p0055
1.1637,1.0609,47269,0.016841,p0056
1.0744,0.80089,1081.4,0.075757,p0057
1.0314,0.86327,57606,0.015995,p0058
1.016,1.0874,7576.1,0.098246,p0059
0.89716,1.1858,62241,0.038186,p0060
0.83755,0.97936,4532.4,0.028563,p0061
1.0064,1.0754,33414,0.052095,p0062
0.90148,1.0157,72075,0.024659,p0063
1.145,1.1013,48241,0.032684,p0064
0.92758,0.83342,71118,0.05322,p0065
0.8074,0.84183,46576,0.04533,p0066
0.89657,0.97066,34928,0.071183,p0067
1.0554,0.84544,25883,0.039533,p0068
0.84728,1.1443,50488,0.082166,p0069
1.0617,1.1236,38576,0.017481,p0070
0.98157,1.1046,14306,0.099378,p0071
1.0936,1.1369,22454,0.044065,p0072
1.1812,0.81661,55430,0.037721,p0073
1.0842,0.96367,8300.3,0.082837,p0074
1.0825,1.0006,49007,0.019279,p0075
0.92208,1.1504,67643,0.056252,p0076
1.1729,1.0057,57644,0.056102,p0077
0.95381,1.0141,54426,0.011114,p0078
1.1446,1.147,1451.7,0.0038024,p0079
0.81063,0.94335,72676,0.055886,p0080
0.84318,1.148,66901,0.07865,p0081
0.96091,1.1345,28555,0.0030445,p0082
1.065,1.0673,15483,0.091791,p0083
1.0396,0.87728,36290,0.022147,p0084
0.85903,0.86245,21064,0.0055529,p0085
0.87623,0.82596,23357,0.059171,p0086
0.88468,0.91101,45345,0.024967,p0087
1.0866,1.0421,54173,0.087532,p0088
0.93318,0.91386,21526,0.042126,p0089
0.89888,1.1489,49628,0.0089238,p0090
0.94071,1.1896,27226,0.070259,p0091
0.84625,0.891,65219,0.074581,p0092
0.99322,0.99683,25711,0.025341,p0093
0.92593,0.85074,64286,0.069104,p0094
1.1256,0.93679,22232,0.0631,p0095
0.82637,0.92194,43040,0.0083451,p0096
0.82923,0.8762,63025,0.010832,p0097
1.0575,1.1214,47568,0.0043401,p0098
1.097,1.0979,32261,0.016955,p0099
1.1167,0.90548,53965,0.085149,p0100
0.95009,1.1898,21709,0.0075197,p0101
0.87897,0.95567,55002,0.0098354,p0102
1.1704,0.89333,38341,0.073048,p0103
1.0506,1.1034,35605,0.053703,p0104
1.1463,1.031,50560,0.06613,p0105
1.1938,1.1935,52465,0.059021,p0106
1.0401,0.90847,29933,0.095061,p0107
1.126,1.1084,41975,0.02085,p0108
1.084,1.0613,59019,0.097309,p0109
1.048,1.0063,51355,0.0042633,p0110
1.0035,1.1856,72492,0.071548,p0111
1.1855,1.1707,25800,0.047009,p0112
0.82286,0.83863,39122,0.090105,p0113
0.85667,1.0552,20793,0.026427,p0114
0.9092,0.89896,27585,0.024443,p0115
0.88755,0.814,70737,0.025763,p0116
0.96658,0.82177,34074,0.074338,p0117
1.0848,0.99799,6936.2,0.090399,p0118
1.0531,1.0814,12803,0.073175,p0119
1.0979,0.99362,7442.3,0.084573,p0120
1.1111,0.88856,42213,0.074913,p0121
1.1874,0.86772,48041,0.059954,p0122
0.92799,1.1846,25954,0.075203,p0123
0.83028,0.93884,45391,0.069017,p0124
1.1408,1.0766,3752.4,0.0059229,p0125
1.0509,1.0841,36891,0.025549,p0126
1.0119,1.0869,17062,0.060401,p0127
0.98279,0.93581,1108.5,0.055391,p0128
0.90964,1.0292,5515.4,0.0038196,p0129
1.1843,0.98767,9700.7,0.025067,p0130
1.0081,1.0858,42238,0.062901,p0131
1.0901,1.1387,47750,0.025925,p0132
0.81834,1.0248,60619,0.047305,p0133
0.96496,0.97748,24311,0.098905,p0134
0.95793,1.1082,48471,0.032859,p0135
1.1058,1.0003,21477,0.022908,p0136
1.1648,1.0108,1638.3,0.070599,p0137
1.1174,1.1285,57237,0.099081,p0138
1.1265,0.82357,3592.8,0.021453,p0139
0.82586,0.99077,67160,0.072648,p0140
1.044,0.84691,15299,0.079911,p0141
0.92978,0.99165,74334,0.096147,p0142
1.022,1.0458,46402,0.097956,p0143
1.086,0.86402,70343,0.027727,p0144
0.95071,1.0966,11149,0.0033281,p0145
1.0808,0.872,10502,0.022286,p0146
