wind_speed,swr,turb_param/k_min,g2/constant_value,g1/constant_value,A/constant_value,par_id
1.0592,0.96949,3.5104e-09,1.7435,0.49782,1.0836,p0001
0.86659,1.041,1.4931e-12,2.3,0.79268,0.77421,p0002
0.80205,1.1082,3.0886e-10,1.9184,0.49459,1.0727,p0003
1.0286,1.1949,4.6794e-05,0.55422,0.74184,0.71698,p0004
0.97147,0.80331,8.0029e-11,0.59686,0.79585,0.71507,p0005
0.94694,0.98357,0.00015205,2.3856,0.49666,0.77025,p0006
0.81658,0.95339,3.4953e-11,3.3528,0.78709,0.81507,p0007
1.081,0.84133,7.2415e-05,2.86,0.45182,0.74535,p0008
0.9115,1.0774,1.1814e-08,0.78146,0.50715,0.89954,p0009
0.84465,0.88101,1.0843e-06,1.6665,0.58072,0.85528,p0010
1.0261,0.99583,5.5334e-07,1.2664,0.66211,1.0482,p0011
0.96598,1.1664,1.2302e-09,2.6094,0.66005,0.8744,p0012
0.99487,0.94372,0.0001584,1.9347,0.5713,1.0714,p0013
1.0781,0.8291,1.6701e-10,3.1222,0.56243,0.71449,p0014
0.89791,0.98075,3.2893e-06,3.0482,0.55723,1.0768,p0015
1.012,1.1696,2.667e-09,3.3561,0.60926,1.039,p0016
0.87123,1.0213,1.0161e-14,3.3358,0.75106,0.7101,p0017
1.0139,1.0883,6.0552e-06,2.5076,0.65957,0.74843,p0018
1.1944,0.98534,2.0034e-07,0.8419,0.4008,1.0199,p0019
1.1843,1.125,5.1361e-12,3.263,0.73477,0.75161,p0020
1.1687,1.0195,7.0264e-13,1.7115,0.51378,0.80913,p0021
0.87527,0.84037,0.00033972,1.7794,0.71284,0.8803,p0022
1.0325,1.082,1.972e-11,3.1102,0.46824,1.0394,p0023
1.1609,1.0286,4.1433e-08,3.027,0.55426,0.88672,p0024
0.94341,0.86996,2.0698e-13,2.1909,0.5916,1.0581,p0025
1.1781,0.92229,7.5993e-06,2.0759,0.71989,0.79392,p0026
0.91833,1.072,0.00024724,2.3763,0.43958,1.0086,p0027
0.8506,0.95071,9.2549e-06,3.2165,0.52924,1.0675,p0028
1.0852,0.94099,2.5041e-13,1.5396,0.71329,0.88546,p0029
0.80069,0.96218,1.7656e-05,2.1974,0.71936,1.0719,p0030
0.93884,1.0458,1.4208e-09,3.4555,0.58964,1.0412,p0031
0.95692,1.0586,1.2606e-09,1.4751,0.79406,0.71186,p0032
1.1318,0.91536,2.3822e-09,1.5483,0.64969,0.82525,p0033
0.86404,1.1084,5.0012e-06,1.5676,0.6655,0.88632,p0034
1.0916,1.0279,2.2378e-07,1.5325,0.41821,0.7175,p0035
0.9169,1.105,2.1356e-13,1.3365,0.45542,0.84171,p0036
1.091,1.1125,3.8792e-14,3.4348,0.47874,0.73833,p0037
1.0986,1.1725,0.00026156,2.2135,0.79899,0.89168,p0038
0.94533,1.0432,1.3374e-10,0.94752,0.50319,0.89411,p0039
0.87186,0.85746,2.7829e-07,1.2205,0.54488,1.0322,p0040
0.99961,0.87296,1.3319e-13,0.73249,0.77103,0.70014,p0041
1.1069,1.0918,2.336e-08,1.294,0.64627,0.8507,p0042
0.88535,1.138,1.7492e-08,2.067,0.67458,0.73143,p0043
0.90971,1.1119,8.7544e-05,2.268,0.69909,0.74972,p0044
0.8264,1.1163,2.5464e-07,1.9477,0.49089,1.0223,p0045
0.82802,1.0505,2.1606e-07,2.1592,0.7498,0.75973,p0046
1.075,0.8907,5.4937e-08,2.0819,0.4141,0.80194,p0047
0.89458,0.9125,2.4288e-07,1.9006,0.6359,0.90728,p0048
1.03,0.85763,8.6159e-07,1.8168,0.41173,0.70044,p0049
1.1174,0.99493,3.6676e-10,3.1348,0.60352,1.0966,p0050
1.0981,1.1307,8.0444e-13,3.3535,0.60791,0.9368,p0051
1.1353,1.1357,2.8931e-08,1.4632,0.69606,0.90852,p0052
0.81352,1.1019,0.00024507,2.8273,0.60463,0.90903,p0053
0.84243,0.88328,0.00032805,0.91079,0.46361,0.7346,p0054
0.90513,1.0545,1.1719e-07,3.1742,0.43262,1.0806,p0055
0.96075,0.97325,3.9258e-11,2.9686,0.45415,1.0025,p0056
1.1503,1.0034,1.1498e-05,1.5763,0.64746,0.74132,p0057
0.98939,1.169,7.7047e-06,2.849,0.47887,1.0742,p0058
0.81368,0.95303,1.1423e-07,1.0218,0.42791,0.92184,p0059
0.83872,1.0632,0.00010185,2.6211,0.58094,1.0836,p0060
0.95398,1.1636,4.0572e-13,1.4289,0.52827,0.83999,p0061
1.1655,1.1579,1.3712e-06,0.76223,0.66056,0.78713,p0062
0.818,1.1707,1.4959e-14,2.8466,0.63453,0.82796,p0063
0.9797,0.90266,1.2527e-08,2.2442,0.40261,0.82885,p0064
0.95943,0.94342,8.2365e-10,2.1091,0.47176,0.92083,p0065
0.92337,0.92299,1.4117e-07,1.5564,0.49238,0.84987,p0066
0.81312,1.0911,1.4199e-11,2.0329,0.75977,0.7753,p0067
1.0766,1.0109,1.7139e-12,1.8439,0.45817,0.83889,p0068
1.0231,1.0305,7.6911e-09,1.8724,0.73423,0.91764,p0069
1.1074,0.97208,3.8526e-08,1.1402,0.60613,1.0968,p0070
1.1848,1.1766,3.4141e-09,2.4874,0.69158,1.0503,p0071
0.81819,1.1098,1.9304e-06,0.93575,0.74468,0.84885,p0072
0.93777,0.9718,6.1455e-07,1.0158,0.70544,0.81363,p0073
0.96724,1.0378,3.5405e-10,3.1469,0.73789,0.99625,p0074
0.85779,1.1864,8.2022e-12,2.1374,0.42083,0.97875,p0075
1.1369,1.0662,1.9719e-05,2.4316,0.42463,0.96956,p0076
0.87488,1.1405,1.0322e-14,2.2533,0.64191,0.9286,p0077
1.1196,1.0544,1.3655e-12,1.4334,0.43456,1.0648,p0078
1.0367,0.81301,2.4648e-05,1.1136,0.60821,1.0252,p0079
1.1634,0.90337,0.00046032,2.4513,0.40464,1.031,p0080
0.92893,1.0113,8.7358e-07,1.2161,0.63733,0.88234,p0081
1.0804,1.01,4.3243e-14,2.4539,0.79859,0.73864,p0082
0.91462,0.94992,4.7462e-07,1.1003,0.59688,0.92264,p0083
1.0472,0.97476,4.4561e-09,0.77474,0.75251,1.0757,p0084
0.99542,0.87055,4.3303e-09,3.3879,0.72347,0.90537,p0085
0.93846,1.0599,1.1376e-11,0.62757,0.78741,0.97289,p0086
1.1726,0.99788,2.9287e-10,3.3149,0.6322,0.85838,p0087
1.0445,1.1885,3.8145e-06,1.7931,0.47689,0.8789,p0088
1.0442,0.85532,1.6775e-08,1.1961,0.79538,0.9757,p0089
1.1005,0.90511,1.8007e-05,0.63052,0.49883,0.99138,p0090
1.1336,0.89995,8.8662e-15,0.77179,0.4145,0.94145,p0091
0.90925,1.0138,2.9866e-12,2.0441,0.46869,0.96141,p0092
1.1131,1.0956,3.7543e-14,1.0929,0.47402,1.0862,p0093
1.1789,1.0175,1.2682e-13,1.4071,0.63038,0.86146,p0094
1.0437,1.0444,1.2854e-10,2.3619,0.74593,1.0292,p0095
0.97779,1.0849,9.9365e-09,0.84207,0.52562,0.8429,p0096
