wind_speed,swr,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
0.87224,0.87436,0.19395,0.051259,0.0040512,p001
0.85714,1.1389,0.13575,0.30091,0.0044003,p002
1.0309,1.1935,0.19505,0.0091005,0.008796,p003
1.1116,0.81493,0.16658,0.10358,0.0045263,p004
1.0675,0.82358,0.1304,0.047873,0.0056145,p005
1.1941,0.86388,0.15316,0.22407,0.0014121,p006
0.89866,0.89762,0.15031,0.25843,0.0045551,p007
1.1229,1.1726,0.18473,0.12232,0.0063113,p008
0.88162,1.0494,0.17158,0.060822,0.0066905,p009
1.1649,0.95155,0.10393,0.039343,0.0068447,p010
1.126,1.1328,0.17115,0.032685,0.0086483,p011
0.98844,1.0518,0.19767,0.053199,0.0087246,p012
0.92767,0.95332,0.14046,0.16714,0.0057765,p013
1.1401,0.86024,0.15947,0.10957,0.005646,p014
0.88928,0.89446,0.10579,0.18415,0.0022556,p015
0.97048,0.99112,0.14241,0.28384,0.0010981,p016
0.97949,1.154,0.19744,0.29239,0.0035217,p017
0.92038,0.89108,0.10533,0.0060974,0.0059673,p018
1.1085,0.87856,0.15378,0.18563,0.00030135,p019
0.84554,1.0585,0.11327,0.20742,0.0052986,p020
1.1618,1.0767,0.14374,0.055949,0.0058424,p021
1.0817,1.1451,0.14999,0.23343,0.0063994,p022
1.1223,0.86629,0.19919,0.21445,0.0039553,p023
0.89895,0.92811,0.16167,0.24055,0.0032296,p024
0.88094,0.85895,0.1327,0.20518,0.0075574,p025
0.95394,1.1423,0.17796,0.13914,0.0047445,p026
1.1484,0.98392,0.11102,0.07907,0.0017786,p027
1.1891,0.8687,0.19362,0.01797,0.0042779,p028
0.86029,1.1892,0.16958,0.28491,0.0012606,p029
1.1508,1.0627,0.14068,0.044218,0.0036352,p030
1.1628,0.88975,0.17172,0.22878,0.0039243,p031
0.90645,0.90585,0.15076,0.070224,0.0014491,p032
0.81145,0.83464,0.12566,0.029976,0.0085357,p033
0.84035,0.98471,0.13436,0.23518,0.0020696,p034
0.91778,1.1095,0.1924,0.028305,0.0025625,p035
1.1999,0.89958,0.13245,0.21785,0.0032378,p036
