wind_speed,swr,fetch_lk,c_relax_C,par_id
0.94327,1.0301,69426,0.065649,p001
0.95289,1.0772,63413,0.037063,p002
0.94755,0.94988,70510,0.070761,p003
0.90292,1.0225,54751,0.0072686,p004
0.88485,1.1996,26878,0.021894,p005
0.83324,1.0792,50091,0.048644,p006
1.1227,1.1894,40850,0.088828,p007
1.0401,0.86305,8617.6,0.0083845,p008
0.99651,1.0523,61019,0.0011004,p009
0.8999,0.83792,48624,0.076597,p010
1.0384,0.90974,1534,0.030637,p011
1.13,1.0997,64581,0.075769,p012
0.9935,0.95582,45191,0.050875,p013
0.98679,1.046,29930,0.073759,p014
1.0097,0.97344,8213.4,0.061419,p015
0.9385,1.0884,19691,0.048253,p016
1.0744,0.97762,51264,0.098786,p017
1.1008,0.98812,37758,0.027493,p018
0.87352,0.83015,2882.6,0.074153,p019
1.1257,1.0658,13412,0.077283,p020
1.1173,0.88841,25235,0.015843,p021
0.89083,1.0425,48419,0.045682,p022
0.98185,1.0116,41634,0.003898,p023
1.1156,1.0738,73817,0.079408,p024
1.0674,1.063,9446.9,0.060175,p025
1.1273,1.1875,13090,0.084896,p026
1.144,0.99142,65708,0.054985,p027
0.8299,0.80721,51662,0.093025,p028
1.0997,0.80144,60485,0.066106,p029
1.0565,0.93285,48947,0.030242,p030
1.0474,0.85102,37610,0.097587,p031
0.86561,1.1456,59191,0.069345,p032
1.0767,1.1611,24864,0.040285,p033
1.0627,0.84916,52397,0.047423,p034
0.88208,0.94146,38388,0.05965,p035
0.87772,1.0471,42741,0.0017209,p036
0.88649,1.0014,31054,0.043689,p037
1.1566,1.1033,67841,0.014078,p038
0.98298,1.0946,31936,0.041272,p039
0.96487,0.89008,23059,0.038179,p040
1.1813,0.87398,67534,0.091436,p041
1.1331,0.99274,46282,0.096624,p042
1.0437,0.9596,17203,0.078045,p043
0.89216,1.1753,52667,0.01165,p044
1.1342,0.82709,718.56,0.0025332,p045
0.86057,1.1858,6031.1,0.014796,p046
1.1213,1.111,3230.6,0.080102,p047
1.0925,1.1581,42020,0.085429,p048
0.90887,1.061,58743,0.033393,p049
0.97771,1.0359,35449,0.042835,p050
1.1763,0.87964,15774,0.089333,p051
1.1656,1.1436,35540,0.072287,p052
1.1994,0.83319,47960,0.059261,p053
0.96778,1.1081,1205.9,0.0066636,p054
1.0233,0.81689,59988,0.00085955,p055
0.81219,0.80201,46722,0.016654,p056
1.1875,0.94478,29468,0.020708,p057
0.80575,0.8691,7360.1,0.010547,p058
0.98465,0.97045,33724,0.087057,p059
0.85296,1.0255,31761,0.061735,p060
0.91809,1.1042,66821,0.078795,p061
0.80783,1.0745,1841.8,0.066904,p062
0.91391,0.89563,39536,0.015182,p063
0.92899,1.0131,14620,0.07314,p064
1.0614,0.90739,66347,0.077804,p065
0.85432,0.82546,14247,0.076148,p066
1.1635,1.1514,28123,0.019918,p067
0.9151,1.1124,70767,0.045456,p068
0.96309,1.1196,17727,0.06077,p069
0.882,0.99463,11408,0.022499,p070
0.85093,0.86757,29731,0.086004,p071
0.84846,0.95754,29149,0.0085855,p072
1.0367,1.1738,6410,0.072811,p073
0.95744,0.81982,13540,0.054053,p074
0.95839,0.92619,18835,0.036997,p075
1.1954,0.89906,54162,0.090211,p076
1.119,0.87491,14917,0.091754,p077
0.80026,1.1013,33312,0.032349,p078
1.145,0.84629,63718,0.06966,p079
0.82335,1.114,64970,0.0091667,p080
1.1744,0.96968,2060.5,0.098124,p081
