wind_speed,swr,Phys.par/C_shelter,Phys.par/Kz_ak,Phys.par/Kz_ak_ice,par_id
1.1003,1.1911,0.18493,0.15304,0.0043806,p0001
0.84331,0.91088,0.12383,0.27776,0.00017386,p0002
0.87947,1.0474,0.10727,0.22705,0.0024301,p0003
1.0851,0.90439,0.16302,0.26814,0.0033829,p0004
0.98354,1.1361,0.11874,0.11871,0.0062673,p0005
0.90101,1.0388,0.1543,0.2862,0.004517,p0006
0.8443,1.0308,0.14893,0.15138,0.0016234,p0007
0.90723,0.97932,0.14598,0.28174,0.0035913,p0008
0.91676,0.92706,0.1498,0.019258,0.0023221,p0009
0.92316,1.1762,0.14849,0.29832,0.00407,p0010
1.196,0.86624,0.13332,0.069584,0.00090006,p0011
0.91391,1.0204,0.19479,0.23712,0.0061808,p0012
0.97844,0.82605,0.16356,0.24873,0.0027057,p0013
1.1036,1.08,0.15888,0.0033372,0.0074051,p0014
0.85882,1.0743,0.12506,0.080917,0.0083754,p0015
0.86093,0.84418,0.16547,0.17832,0.003566,p0016
1.1251,1.0262,0.13257,0.16649,0.0085293,p0017
1.1329,0.93177,0.19231,0.089934,0.0048287,p0018
0.96493,0.97039,0.1923,0.06297,0.0064883,p0019
1.0642,1.0009,0.11694,0.065108,0.007609,p0020
0.97273,0.89256,0.15973,0.16721,0.0045984,p0021
1.0488,1.0239,0.1977,0.30482,0.0080081,p0022
0.80729,0.82255,0.18718,0.12173,0.0078713,p0023
0.89929,1.1859,0.11733,0.017926,0.0068454,p0024
1.1581,1.0549,0.17682,0.040827,0.0041579,p0025
0.80047,1.1284,0.12224,0.1526,0.0003121,p0026
0.8341,0.9509,0.12199,0.05195,0.0051753,p0027
0.852,1.1124,0.159,0.18261,0.0059413,p0028
1.0716,1.0443,0.11071,0.11152,0.0013953,p0029
1.1358,0.80297,0.18014,0.2652,0.0053195,p0030
0.8513,1.1736,0.1026,0.05747,0.0022326,p0031
1.0843,0.91398,0.17289,0.2303,0.0018572,p0032
1.191,0.93344,0.11413,0.10506,0.0066681,p0033
0.93153,1.1556,0.10509,0.29652,0.0042364,p0034
1.1542,1.1349,0.19073,0.067016,0.0055004,p0035
1.0689,1.1734,0.14524,0.06055,0.0067256,p0036
0.81556,1.0492,0.17996,0.25483,0.008819,p0037
1.0151,1.1967,0.16942,0.23369,0.0060048,p0038
0.9546,1.1814,0.10563,0.15363,0.0078623,p0039
1.1113,0.94914,0.18639,0.03469,0.0039166,p0040
1.1587,1.0505,0.18618,0.20609,0.0029737,p0041
0.9825,1.1057,0.15382,0.25099,0.00013837,p0042
1.0304,0.98044,0.1599,0.15346,0.0086853,p0043
0.86688,0.99754,0.13429,0.2005,0.0040929,p0044
0.87444,1.0457,0.13092,0.14718,0.0050906,p0045
1.0924,1.0313,0.13859,0.08054,0.0059916,p0046
1.0966,1.1652,0.14934,0.19637,0.0052439,p0047
1.0917,1.1256,0.10204,0.19247,0.0031058,p0048
1.0856,0.93853,0.16399,0.10663,0.0027388,p0049
0.81876,1.0852,0.17101,0.27734,0.0047139,p0050
1.0544,1.1949,0.14458,0.2742,0.0077921,p0051
0.95035,0.9136,0.17656,0.27837,0.0079259,p0052
0.96867,1.0909,0.18369,0.28239,0.0032332,p0053
1.1349,0.86589,0.14953,0.21516,0.0011353,p0054
0.96784,0.95237,0.13263,0.13685,0.0029913,p0055
1.0504,1.1445,0.12001,0.22357,0.001272,p0056
1.0997,0.91998,0.18321,0.30347,0.0069445,p0057
1.1811,0.84941,0.16606,0.24201,0.0052011,p0058
1.0823,0.94091,0.15175,0.19045,0.004214,p0059
0.91021,1.1634,0.16513,0.24329,0.003896,p0060
0.88551,1.1871,0.14944,0.16598,0.0071512,p0061
1.1346,1.1533,0.13641,0.30535,0.0038058,p0062
0.9192,0.80654,0.13651,0.1734,0.0043063,p0063
1.0897,0.80458,0.19759,0.039447,0.005861,p0064
0.91316,0.88793,0.12102,0.27514,0.0015402,p0065
1.0975,1.1648,0.13722,0.145,0.0035348,p0066
1.0681,0.82676,0.19789,0.050151,0.0085431,p0067
0.85974,1.1519,0.16659,0.02883,0.0049064,p0068
1.1316,1.1795,0.19216,0.10199,0.0050091,p0069
1.0526,0.95732,0.18373,0.047962,0.0018393,p0070
0.87094,1.1643,0.11379,0.11095,0.0036835,p0071
0.83972,1.0247,0.16069,0.23857,0.0077254,p0072
0.83218,1.0536,0.13545,0.04817,0.0010635,p0073
1.0528,0.82482,0.14854,0.16485,0.0004078,p0074
0.89524,1.1425,0.18573,0.26931,0.00057974,p0075
1.1434,0.86982,0.14501,0.29222,0.0018684,p0076
1.0399,1.0771,0.13326,0.048629,0.0045699,p0077
1.1332,1.0875,0.14989,0.094801,0.0052922,p0078
0.90429,1.1471,0.17273,0.26775,0.0041274,p0079
1.0924,1.0127,0.14689,0.046401,0.007802,p0080
1.1498,1.1716,0.18506,0.07623,0.0088559,p0081
0.93535,1.1832,0.11391,0.075314,0.0042268,p0082
0.80941,1.1496,0.14466,0.15034,0.0082138,p0083
0.92614,1.1646,0.13451,0.053668,0.0057691,p0084
0.8805,0.89351,0.16006,0.12084,0.0024996,p0085
1.12,1.1164,0.17365,0.10843,0.002195,p0086
0.93881,1.1439,0.18107,0.28483,0.0047077,p0087
0.87572,1.1003,0.19811,0.10828,0.0032158,p0088
0.87619,1.0694,0.1006,0.18802,0.0078075,p0089
1.0495,0.84741,0.18875,0.14356,0.0056161,p0090
1.1687,0.99138,0.17477,0.27206,0.00091578,p0091
0.81679,0.94481,0.18087,0.20029,0.0022202,p0092
0.88354,1.1805,0.14633,0.24018,0.0040188,p0093
1.0473,1.1389,0.1065,0.079867,0.001969,p0094
0.83275,1.078,0.18552,0.25028,0.00013036,p0095
0.9409,0.87383,0.11816,0.11218,0.0025584,p0096
1.0932,0.87238,0.16852,0.035032,0.0045449,p0097
1.0901,0.93264,0.11305,0.1895,0.00086421,p0098
1.0025,0.94138,0.11158,0.068154,0.0020394,p0099
0.86472,0.82747,0.19461,0.090182,0.0078841,p0100
0.93966,1.0129,0.11087,0.01443,0.0008456,p0101
1.0819,1.0638,0.15937,0.099648,0.0022714,p0102
1.0047,0.81471,0.13141,0.1138,0.007123,p0103
1.1182,0.90579,0.16816,0.073239,0.00025213,p0104
0.87915,0.87303,0.18753,0.22234,0.0079692,p0105
0.98017,0.94382,0.15127,0.13922,0.0046145,p0106
0.92447,0.89986,0.1416,0.28625,0.00093605,p0107
0.98462,1.0989,0.14431,0.24495,0.0072782,p0108
1.027,0.85617,0.16559,0.056585,0.00045317,p0109
1.0873,0.97984,0.15594,0.052892,0.00039744,p0110
0.96063,1.0941,0.11828,0.17501,0.0085945,p0111
1.0015,1.166,0.15448,0.14058,0.0081988,p0112
0.85733,1.0612,0.10557,0.19833,0.00061671,p0113
1.1509,0.99109,0.1288,0.054026,0.0016658,p0114
0.92342,0.90878,0.12024,0.21836,0.0031758,p0115
0.98969,1.0233,0.186,0.1423,0.0031897,p0116
